feature_id,taris_score,saeuron_score,taris_rank,saeuron_rank,rank_delta_saeuron_minus_taris
0,0.0,0.0,1583,8096,6513
1,0.0,0.0,6527,6617,90
2,0.0,0.0,6528,6618,90
3,0.0,0.0,6529,6619,90
4,0.0,0.0,6530,6620,90
5,1.4723354070156347e-05,0.11346614360809326,440,947,507
6,0.0,0.0,6531,6621,90
7,0.0,0.0,6532,6622,90
8,0.0,0.0,6533,6623,90
9,0.0,0.0,6534,6624,90
10,0.0,0.0,6526,6616,90
11,0.0,0.0,6536,6626,90
12,0.0,0.0,6537,6627,90
13,0.0,0.0,6538,6628,90
14,-0.000673876260407269,-0.3755355477333069,10199,10181,-18
15,0.0,0.0,6539,6629,90
16,0.0,0.0,6540,6630,90
17,-6.722398393321782e-05,-0.24786004424095154,9955,10098,143
18,0.0,0.0,6541,6631,90
19,0.0,0.0,6542,6632,90
20,0.0,0.0,6517,6607,90
21,0.0,0.0,6509,6599,90
22,0.0,0.0,6510,6600,90
23,0.0,0.0,6511,6601,90
24,0.0,0.0,6512,6602,90
25,0.0,0.0,6513,6603,90
26,0.0,0.0,6514,6604,90
27,0.0,0.0,6515,6605,90
28,0.0,0.0,6516,6606,90
29,-4.462079346012615e-07,-0.02826998196542263,9219,9424,205
30,0.0,0.0,6508,6598,90
31,0.0,0.0,6518,6608,90
32,0.0,0.0,6519,6609,90
33,0.0,0.0,6520,6610,90
34,0.0,0.0,6521,6611,90
35,0.0,0.0,6522,6612,90
36,0.0,0.0,6523,6613,90
37,0.0,0.0,6524,6614,90
38,0.0,0.0,6525,6615,90
39,0.0,0.0,6535,6625,90
40,0.0,0.0,6562,6652,90
41,0.0,0.0,6563,6653,90
42,0.0,0.0,6564,6654,90
43,0.0,0.0,6565,6655,90
44,0.0,0.0,6566,6656,90
45,-9.209365998685826e-07,-0.028277333825826645,9389,9503,114
46,0.0,0.0,6567,6657,90
47,0.0,0.0,6568,6658,90
48,0.0,0.0,6569,6659,90
49,0.0,0.0,6561,6651,90
50,0.0,0.0,6571,6661,90
51,0.0,0.0,6572,6662,90
52,0.0,0.0,6573,6663,90
53,7.115280459402129e-05,0.22538980841636658,283,827,544
54,0.0,0.0,6574,6664,90
55,0.0,0.0,6575,6665,90
56,-1.1754896149795968e-06,-0.0282786525785923,9425,9511,86
57,0.0,0.0,6576,6666,90
58,0.0,0.0,6577,6667,90
59,0.0,0.0,6552,6642,90
60,0.0,0.0,6544,6634,90
61,0.0,0.0,6545,6635,90
62,0.0,0.0,6546,6636,90
63,0.0,0.0,6547,6637,90
64,1.0108601600222755e-07,0.007930874824523926,968,1119,151
65,0.0,0.0,6548,6638,90
66,0.0,0.0,6549,6639,90
67,0.0,0.0,6550,6640,90
68,0.0,0.0,6551,6641,90
69,0.0,0.0,6543,6633,90
70,0.0002533079241402447,0.4028681814670563,137,715,578
71,0.0,0.0,6553,6643,90
72,0.0,0.0,6554,6644,90
73,0.0,0.0,6555,6645,90
74,0.0,0.0,6556,6646,90
75,-6.196610797815083e-07,55.208534240722656,9296,510,-8786
76,0.0,0.0,6557,6647,90
77,0.0,0.0,6558,6648,90
78,3.959636887884699e-05,0.1039511188864708,354,957,603
79,0.0,0.0,6559,6649,90
80,0.0,0.0,6560,6650,90
81,0.0,0.0,6500,6590,90
82,0.0,0.0,6457,6547,90
83,0.0,0.0,6458,6548,90
84,0.0,0.0,6459,6549,90
85,0.0,0.0,6460,6550,90
86,0.0,0.0,6461,6551,90
87,0.0,0.0,6462,6552,90
88,-1.832899442888447e-06,-0.06739993393421173,9495,9703,208
89,0.0,0.0,6463,6553,90
90,0.0,0.0,6464,6554,90
91,0.0,0.0,6456,6546,90
92,0.0,0.0,6466,6556,90
93,0.0,0.0,6467,6557,90
94,0.0,0.0,6468,6558,90
95,0.0,0.0,6469,6559,90
96,0.0002591840166132897,0.16798019409179688,132,877,745
97,0.0,0.0,6470,6560,90
98,3.3976288250414655e-05,0.0054798424243927,371,1124,753
99,0.0,0.0,6471,6561,90
100,0.0,0.0,6472,6562,90
101,0.0,0.0,6447,6537,90
102,0.0,0.0,6439,6529,90
103,-3.5833775768878695e-07,-0.028266096487641335,9063,9258,195
104,0.0,0.0,6440,6530,90
105,0.0,0.0,6441,6531,90
106,0.0,0.0,6442,6532,90
107,0.0,0.0,6443,6533,90
108,0.0,0.0,6444,6534,90
109,0.0,0.0,6445,6535,90
110,0.0,0.0,6446,6536,90
111,-3.8198317042770213e-07,-0.02826721966266632,9106,9300,194
112,0.0,0.0,6438,6528,90
113,-4.1759508917493804e-07,-0.028268465772271156,9176,9356,180
114,8.898074156604707e-05,0.015256792306900024,250,1100,850
115,0.0,0.0,6448,6538,90
116,0.0,0.0,6449,6539,90
117,0.0,0.0,6450,6540,90
118,0.0,0.0,6451,6541,90
119,0.0,0.0,6452,6542,90
120,0.0,0.0,6453,6543,90
121,0.0,0.0,6454,6544,90
122,-9.219582352670841e-06,-0.14711430668830872,9677,9930,253
123,0.0,0.0,6455,6545,90
124,0.0,0.0,6465,6555,90
125,0.0,0.0,6492,6582,90
126,0.0,0.0,6493,6583,90
127,0.0,0.0,6494,6584,90
128,0.0,0.0,6495,6585,90
129,0.0,0.0,6496,6586,90
130,-3.1781161169419647e-07,-0.028264185413718224,9004,9209,205
131,0.00011535563680808991,0.009796147234737873,221,1111,890
132,0.0,0.0,6497,6587,90
133,0.0,0.0,6498,6588,90
134,0.0,0.0,6499,6589,90
135,0.0,0.0,6491,6581,90
136,0.0,0.0,6501,6591,90
137,0.0,0.0,6502,6592,90
138,0.0,0.0,6503,6593,90
139,0.0,0.0,6504,6594,90
