rank,feature_id,rank_by,rank_score,active_ratio,mean_activation,std_activation
1,6529,active_ratio,1.0,1.0,55.367591857910156,2.819626808166504
2,3686,active_ratio,1.0,1.0,1.0766091346740723,0.5930143594741821
3,3725,active_ratio,1.0,1.0,0.8053195476531982,0.28030088543891907
4,9775,active_ratio,1.0,1.0,0.7023900151252747,0.2558574676513672
5,28,active_ratio,1.0,1.0,0.6916294693946838,0.29775986075401306
6,337,active_ratio,1.0,1.0,0.6863015294075012,0.2503145933151245
7,9008,active_ratio,1.0,1.0,0.6218984127044678,0.2179638296365738
8,4962,active_ratio,1.0,1.0,0.6137173175811768,0.22940278053283691
9,9874,active_ratio,1.0,1.0,0.6070828437805176,0.21979562938213348
10,6775,active_ratio,1.0,1.0,0.5831640958786011,0.19068220257759094
11,6161,active_ratio,1.0,1.0,0.5673799514770508,0.2232385277748108
12,8102,active_ratio,1.0,1.0,0.5509170889854431,0.20342959463596344
13,1403,active_ratio,1.0,1.0,0.539594292640686,0.21994251012802124
14,979,active_ratio,1.0,1.0,0.5389740467071533,0.2638440728187561
15,9732,active_ratio,1.0,1.0,0.5356760025024414,0.22612951695919037
16,6819,active_ratio,1.0,1.0,0.5344797968864441,0.18509306013584137
17,8814,active_ratio,1.0,1.0,0.5108850598335266,0.27910351753234863
18,3668,active_ratio,1.0,1.0,0.510063111782074,0.17294754087924957
19,1001,active_ratio,1.0,1.0,0.5098369717597961,0.3114685118198395
20,455,active_ratio,1.0,1.0,0.502056896686554,0.19985118508338928
21,1599,active_ratio,1.0,1.0,0.4978819489479065,0.17057184875011444
22,8133,active_ratio,1.0,1.0,0.48854729533195496,0.21274703741073608
23,8713,active_ratio,1.0,1.0,0.4825921654701233,0.15003079175949097
24,10059,active_ratio,1.0,1.0,0.4742768406867981,0.22396034002304077
25,8169,active_ratio,1.0,1.0,0.4694816768169403,0.19390486180782318
26,167,active_ratio,1.0,1.0,0.46666020154953003,0.216551274061203
27,65,active_ratio,1.0,1.0,0.4617502987384796,0.1743333637714386
28,2784,active_ratio,1.0,1.0,0.4615461826324463,0.22917823493480682
29,8812,active_ratio,1.0,1.0,0.46083927154541016,0.21658043563365936
30,1541,active_ratio,1.0,1.0,0.45853090286254883,0.16429464519023895
31,6458,active_ratio,1.0,1.0,0.4495874047279358,0.16267244517803192
32,2568,active_ratio,1.0,1.0,0.44720128178596497,0.1658255010843277
33,3684,active_ratio,1.0,1.0,0.44377440214157104,0.24390578269958496
34,467,active_ratio,1.0,1.0,0.43570584058761597,0.2021307349205017
35,1018,active_ratio,1.0,1.0,0.4341222643852234,0.20818300545215607
36,354,active_ratio,1.0,1.0,0.4329116642475128,0.22450919449329376
37,450,active_ratio,1.0,1.0,0.42584028840065,0.17985999584197998
38,5843,active_ratio,1.0,1.0,0.42504242062568665,0.24963229894638062
39,9112,active_ratio,1.0,1.0,0.4221253991127014,0.15639451146125793
40,2246,active_ratio,1.0,1.0,0.4171912968158722,0.16524150967597961
41,9160,active_ratio,1.0,1.0,0.4144016206264496,0.17045240104198456
42,2466,active_ratio,1.0,1.0,0.4069814383983612,0.1843576729297638
43,457,active_ratio,1.0,1.0,0.40123358368873596,0.17420856654644012
44,1081,active_ratio,1.0,1.0,0.3966974914073944,0.20532046258449554
45,13,active_ratio,1.0,1.0,0.39263486862182617,0.24515576660633087
46,2337,active_ratio,1.0,1.0,0.3877151906490326,0.21342723071575165
