rank,feature_id,rank_by,rank_score,active_ratio,mean_activation,std_activation
1,3636,active_ratio,1.0,1.0,41.96318817138672,1.3430224657058716
2,823,active_ratio,1.0,1.0,0.5378948450088501,0.21227534115314484
3,1934,active_ratio,1.0,1.0,0.4305543899536133,0.2523573637008667
4,2038,active_ratio,1.0,1.0,0.4255734086036682,0.23991312086582184
5,3204,active_ratio,1.0,1.0,0.39057981967926025,0.22073553502559662
6,175,active_ratio,1.0,1.0,0.3751499056816101,0.19654981791973114
7,2573,active_ratio,1.0,1.0,0.3696489930152893,0.1815025508403778
8,548,active_ratio,1.0,1.0,0.31322434544563293,0.17390790581703186
9,1784,active_ratio,1.0,1.0,0.29123160243034363,0.13977782428264618
10,4684,active_ratio,1.0,1.0,0.25593677163124084,0.15949685871601105
11,345,active_ratio,1.0,1.0,0.2527717649936676,0.13592323660850525
12,341,active_ratio,1.0,1.0,0.22524195909500122,0.12846991419792175
13,1867,active_ratio,1.0,1.0,0.22281989455223083,0.14200150966644287
14,200,active_ratio,1.0,1.0,0.20248021185398102,0.14153346419334412
15,2367,active_ratio,1.0,1.0,0.18568992614746094,0.10658084601163864
16,4200,active_ratio,1.0,1.0,0.1295533925294876,0.05086600035429001
17,2214,active_ratio,0.9990000128746033,0.9990000128746033,0.26580747961997986,0.18459443747997284
18,687,active_ratio,0.9990000128746033,0.9990000128746033,0.2440415471792221,0.16390961408615112
19,446,active_ratio,0.9990000128746033,0.9990000128746033,0.23193830251693726,0.15249377489089966
20,4230,active_ratio,0.9990000128746033,0.9990000128746033,0.21112596988677979,0.12750376760959625
21,3381,active_ratio,0.9990000128746033,0.9990000128746033,0.14364230632781982,0.0811157152056694
22,3932,active_ratio,0.9980000257492065,0.9980000257492065,0.3384621739387512,0.24103640019893646
23,5095,active_ratio,0.9980000257492065,0.9980000257492065,0.2353586107492447,0.20204177498817444
24,1125,active_ratio,0.9980000257492065,0.9980000257492065,0.2118149846792221,0.15241383016109467
25,2929,active_ratio,0.9980000257492065,0.9980000257492065,0.1952585130929947,0.1163216084241867
26,1616,active_ratio,0.9980000257492065,0.9980000257492065,0.1126074343919754,0.07011594623327255
27,3865,active_ratio,0.996999979019165,0.996999979019165,0.27785906195640564,0.21796849370002747
28,975,active_ratio,0.996999979019165,0.996999979019165,0.27250003814697266,0.22912222146987915
29,4356,active_ratio,0.996999979019165,0.996999979019165,0.2694036662578583,0.19279035925865173
30,1069,active_ratio,0.996999979019165,0.996999979019165,0.24329081177711487,0.17183846235275269
31,1812,active_ratio,0.996999979019165,0.996999979019165,0.22353294491767883,0.17941568791866302
32,478,active_ratio,0.996999979019165,0.996999979019165,0.19846080243587494,0.1604376584291458
33,1556,active_ratio,0.996999979019165,0.996999979019165,0.18433217704296112,0.11196132004261017
34,1833,active_ratio,0.996999979019165,0.996999979019165,0.11740688979625702,0.06800032407045364
35,459,active_ratio,0.9959999918937683,0.9959999918937683,0.3105737268924713,0.2069542407989502
36,4040,active_ratio,0.9959999918937683,0.9959999918937683,0.2160996049642563,0.15692418813705444
37,3189,active_ratio,0.9959999918937683,0.9959999918937683,0.2068690061569214,0.13869823515415192
38,4060,active_ratio,0.9959999918937683,0.9959999918937683,0.19310998916625977,0.1356016844511032
39,3909,active_ratio,0.9959999918937683,0.9959999918937683,0.12856443226337433,0.10246066004037857
40,2597,active_ratio,0.9950000047683716,0.9950000047683716,0.24612721800804138,0.18880391120910645
