step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,1,ablation,6.729455769881129,0.2198486328125,0.222412109375,0.07061767578125,0.01531982421875,0.01523590087890625,0.1025390625,0.026210683974032242,1102 3865 3607 3809 1517 1603 4259 3873 2866 2057,1102 3865 3809 1517 1603 4259 2866,1102 3865 2866 3809 4259,0.384277 0.150513 0.0863647 0.0596924 0.0138245
1,925,1,ablation,6.729455769881129,0.2113037109375,0.409423828125,0.13916015625,0.0299835205078125,0.030181884765625,0.203125,0.04999999999998769,1102 3865 3607 3809 1517 1603 4259 3873 2866 2057,1102 3865 3607 3809 1517 1603 2866,3865 1102 3809 2866 1603,0.739258 0.424805 0.18457 0.0171814 0.014061
2,892,1,ablation,6.729455769881129,0.250244140625,0.52587890625,0.1885986328125,0.040313720703125,0.04046630859375,0.272216796875,0.06518942937323041,1102 3865 3607 3809 1517 1603 4259 3873 2866 2057,1102 3865 3809 1517 1603 2057,3865 1102 3809 2057 1517,0.873047 0.627441 0.26123 0.0734863 0.0391846
3,859,1,ablation,6.729455769881129,0.460693359375,0.58056640625,0.28515625,0.06048583984375,0.06103515625,0.410888671875,0.09510623869798883,1102 3865 3607 3809 1517 1603 4259 3873 2866 2057,1102 3865 3809 1517 1603 2057,1102 3865 2057 3809 1603,1.1543 0.911133 0.443848 0.317627 0.0145798
4,826,1,ablation,6.729455769881129,0.66064453125,0.59326171875,0.373779296875,0.0777587890625,0.07855224609375,0.52880859375,0.12054764024930466,1102 3865 3607 3809 1517 1603 4259 3873 2866 2057,1102 3865 3607 3809 1517 1603 4259 2057,1102 2057 3865 3809 1603,1.40625 0.90918 0.907715 0.367432 0.0557251
5,793,1,ablation,6.729455769881129,0.6240234375,0.5810546875,0.359375,0.07550048828125,0.07635498046875,0.513671875,0.1165780141843707,1102 3865 3607 3809 1517 1603 4259 3873 2866 2057,1102 3865 3607 3809 1517 1603 4259 2866 2057,1102 3865 2057 3809 1603,1.4541 1.02832 0.494873 0.432861 0.0632324
6,760,1,ablation,6.729455769881129,0.64892578125,0.58935546875,0.38134765625,0.08038330078125,0.08123779296875,0.546875,0.12378426171526817,1102 3865 3607 3809 1517 1603 4259 3873 2866 2057,1102 3865 3607 3809 1517 1603 4259 3873 2866 2057,1102 3865 2057 3809 1603,1.36035 1.11914 0.701172 0.442139 0.0640869
7,727,1,ablation,6.729455769881129,0.62109375,0.6083984375,0.392333984375,0.08221435546875,0.08319091796875,0.5595703125,0.12643424536625564,1102 3865 3607 3809 1517 1603 4259 3873 2866 2057,1102 3865 3607 3809 1517 1603 4259 3873 2866 2057,3865 1102 2057 3809 1603,1.21094 1.14453 0.888672 0.458496 0.0820923
8,694,1,ablation,6.729455769881129,0.572265625,0.6064453125,0.370361328125,0.07672119140625,0.077880859375,0.52392578125,0.11817180616737423,1102 3865 3607 3809 1517 1603 4259 3873 2866 2057,1102 3865 3607 3809 1517 1603 3873 2866 2057,3865 1102 2057 3809 1517,1.30664 0.893555 0.862793 0.362305 0.111694
9,661,1,ablation,6.729455769881129,0.57275390625,0.60302734375,0.379150390625,0.07855224609375,0.07965087890625,0.53564453125,0.12039069359084212,1102 3865 3607 3809 1517 1603 4259 3873 2866 2057,1102 3865 3607 3809 1517 1603 3873 2866 2057,3865 2057 1102 3809 1517,1.52148 0.836914 0.671875 0.399414 0.174316
