step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,1,ablation,3.741438769450705,0.379150390625,0.41162109375,0.71923828125,0.146484375,0.1463623046875,0.54736328125,0.171511627906923,825 3460 455 2727 460 3553 454 828 702 1973,2727 460 3553 828 1973,2727 1973 460 828 3553,6.98047 0.165527 0.0244293 0.0189209 0.00251389
1,925,1,ablation,3.741438769450705,0.97119140625,0.4912109375,0.73779296875,0.1429443359375,0.1441650390625,0.53955078125,0.16164423639550451,825 3460 455 2727 460 3553 454 828 702 1973,825 3460 2727 460 3553 828 702 1973,2727 1973 460 3460 3553,5.47266 0.643555 0.568359 0.376221 0.224976
2,892,1,ablation,3.741438769450705,0.72021484375,0.5400390625,0.2132568359375,0.043243408203125,0.044158935546875,0.165283203125,0.04722377232141508,825 3460 455 2727 460 3553 454 828 702 1973,825 3460 2727 460 3553 828 702 1973,1973 3460 2727 460 3553,0.710449 0.454102 0.434814 0.187988 0.180664
3,859,1,ablation,3.741438769450705,0.916015625,0.69970703125,0.6767578125,0.132568359375,0.1341552734375,0.501953125,0.13794954374660728,825 3460 455 2727 460 3553 454 828 702 1973,825 3460 2727 460 3553 828 702 1973,2727 3460 1973 828 3553,4.23438 1.06152 0.780273 0.225952 0.19104
4,826,1,ablation,3.741438769450705,1.0576171875,0.74462890625,0.85693359375,0.16357421875,0.1650390625,0.6171875,0.16675461741420297,825 3460 455 2727 460 3553 454 828 702 1973,825 3460 2727 460 3553 828 702 1973,2727 3460 1973 460 3553,5.64844 1.38086 0.85498 0.283203 0.270752
5,793,1,ablation,3.741438769450705,1.20703125,0.80322265625,1.091796875,0.206298828125,0.2083740234375,0.779296875,0.20890052356015343,825 3460 455 2727 460 3553 454 828 702 1973,825 3460 2727 460 3553 828 702 1973,2727 3460 1973 460 3553,7.85156 1.19434 0.991699 0.337158 0.314697
6,760,1,ablation,3.741438769450705,1.318359375,0.826171875,1.265625,0.24169921875,0.2435302734375,0.9111328125,0.24021627188459166,825 3460 455 2727 460 3553 454 828 702 1973,825 3460 2727 460 3553 454 828 702 1973,2727 1973 3460 460 3553,9.96875 0.949219 0.65332 0.321533 0.2771
7,727,1,ablation,3.741438769450705,1.3466796875,0.85546875,1.439453125,0.28076171875,0.282470703125,1.056640625,0.27715163934418957,825 3460 455 2727 460 3553 454 828 702 1973,3460 2727 460 3553 828 702 1973,2727 1973 460 828 702,12.1016 0.85498 0.44458 0.424072 0.261963
8,694,1,ablation,3.741438769450705,1.4677734375,0.896484375,1.7998046875,0.351806640625,0.3525390625,1.3193359375,0.347122302158182,825 3460 455 2727 460 3553 454 828 702 1973,3460 2727 460 3553 828 702 1973,2727 460 1973 828 702,15.3359 0.810547 0.742676 0.501953 0.381836
9,661,1,ablation,3.741438769450705,1.56640625,0.927734375,2.07421875,0.401611328125,0.403564453125,1.509765625,0.3953964194372366,825 3460 455 2727 460 3553 454 828 702 1973,825 3460 2727 460 3553 828 702 1973,2727 460 1973 828 702,17.6719 1.25781 0.717285 0.486816 0.408203
10,628,1,ablation,3.741438769450705,1.6025390625,0.9541015625,2.23828125,0.432861328125,0.435546875,1.62890625,0.42529321774593687,825 3460 455 2727 460 3553 454 828 702 1973,825 3460 2727 460 3553 828 702 1973,2727 460 1973 828 702,19.0469 1.25781 0.706055 0.626953 0.358398
