step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,1,ablation,5.021909022537444,0.5068359375,0.435302734375,0.254150390625,0.04962158203125,0.049896240234375,0.25048828125,0.09018987341768904,4494 4921 3222 338 4518 1363 274 3407 4364 3659,4494 4921 3222 338 1363 3407 4364 3659,3407 4494 3222 3659 4364,1.62891 0.505859 0.190552 0.145874 0.0271606
1,925,1,ablation,5.021909022537444,0.66748046875,0.630859375,0.419677734375,0.08233642578125,0.08123779296875,0.407958984375,0.14445020746882853,4494 4921 3222 338 4518 1363 274 3407 4364 3659,4494 4921 3222 338 1363 274 3407 4364 3659,3407 4494 3222 4921 3659,1.22656 1.0127 0.682617 0.579102 0.566895
2,892,1,ablation,5.021909022537444,0.6171875,0.68115234375,0.41455078125,0.08062744140625,0.080078125,0.402099609375,0.14149484536077495,4494 4921 3222 338 4518 1363 274 3407 4364 3659,4494 4921 3222 338 1363 274 3407 3659,4494 3407 3659 4921 3222,1.51855 0.79834 0.661133 0.649902 0.416992
3,859,1,ablation,5.021909022537444,0.417236328125,0.71728515625,0.32275390625,0.06402587890625,0.064453125,0.32373046875,0.1125254582484334,4494 4921 3222 338 4518 1363 274 3407 4364 3659,4494 4921 3222 338 1363 3407 4364 3659,4494 4921 3659 3407 3222,1.56348 0.605469 0.591797 0.268311 0.104553
4,826,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
5,793,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
6,760,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
7,727,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
8,694,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
9,661,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
10,628,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
11,595,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
12,562,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
13,529,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
14,496,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
15,463,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
16,430,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
17,397,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
18,364,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
19,331,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
20,298,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
21,265,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
22,232,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
23,199,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
24,166,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
25,133,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
26,100,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
27,67,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
28,34,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
29,1,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
