step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
1,925,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
2,892,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
3,859,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
4,826,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
5,793,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
6,760,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
7,727,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
8,694,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
9,661,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
10,628,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
11,595,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
12,562,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
13,529,1,ablation,5.021909022537444,0.5791015625,0.712890625,0.465087890625,0.09490966796875,0.09503173828125,0.47705078125,0.1524656679150574,4494 4921 3222 338 4518 1363 274 3407 4364 3659,4494 4921 3222 338 1363 274 3407 3659,4921 4494 3222 338 3407,1.70801 0.732422 0.49292 0.478271 0.443359
14,496,1,ablation,5.021909022537444,0.56396484375,0.708984375,0.458984375,0.09332275390625,0.09344482421875,0.46923828125,0.15006246096185083,4494 4921 3222 338 4518 1363 274 3407 4364 3659,4494 4921 3222 338 1363 274 3407 3659,4921 4494 3222 3407 3659,1.82324 0.811035 0.480713 0.416504 0.352783
15,463,1,ablation,5.021909022537444,0.55224609375,0.7021484375,0.44921875,0.091552734375,0.091796875,0.4609375,0.14713216957601288,4494 4921 3222 338 4518 1363 274 3407 4364 3659,4494 4921 3222 338 1363 274 3407 3659,4921 4494 3222 3407 1363,1.89062 0.840332 0.455322 0.403809 0.337891
16,430,1,ablation,5.021909022537444,0.5390625,0.69384765625,0.430419921875,0.0875244140625,0.08795166015625,0.441650390625,0.14018908865463622,4494 4921 3222 338 4518 1363 274 3407 4364 3659,4494 4921 3222 338 1363 274 3407 3659,4921 4494 3407 3222 1363,1.91504 0.751953 0.4375 0.422607 0.332275
17,397,1,ablation,5.021909022537444,0.53466796875,0.6865234375,0.41943359375,0.0853271484375,0.0858154296875,0.430908203125,0.13610425663166584,4494 4921 3222 338 4518 1363 274 3407 4364 3659,4494 4921 3222 338 1363 274 3407 3659,4921 4494 3407 3222 1363,1.96387 0.673828 0.473145 0.394043 0.343994
18,364,1,ablation,5.021909022537444,0.51171875,0.6806640625,0.394775390625,0.08013916015625,0.08050537109375,0.404296875,0.12738461538457524,4494 4921 3222 338 4518 1363 274 3407 4364 3659,4494 4921 3222 338 1363 274 3407 3659,4921 4494 3407 3222 1363,1.8418 0.634766 0.449463 0.377441 0.342773
