step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,0,ablation,3.741438769450705,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
1,925,0,ablation,3.741438769450705,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
2,892,0,ablation,3.741438769450705,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
3,859,0,ablation,3.741438769450705,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
4,826,0,ablation,3.741438769450705,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
5,793,0,ablation,3.741438769450705,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
6,760,0,ablation,3.741438769450705,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
7,727,0,ablation,3.741438769450705,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
8,694,0,ablation,3.741438769450705,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
9,661,0,ablation,3.741438769450705,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
10,628,0,ablation,3.741438769450705,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
11,595,0,ablation,3.741438769450705,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
12,562,0,ablation,3.741438769450705,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
13,529,1,ablation,3.741438769450705,2.0703125,1.017578125,3.341796875,0.6015625,0.61083984375,2.287109375,0.534703196346907,825 3460 455 2727 460 3553 454 828 702 1973,825 3460 2727 460 3553 828 702 1973,2727 3460 1973 460 828,25.5156 4.32812 1.44238 0.95166 0.571289
14,496,1,ablation,3.741438769450705,1.9736328125,1.02734375,3.580078125,0.6767578125,0.68310546875,2.556640625,0.611111111110965,825 3460 455 2727 460 3553 454 828 702 1973,825 3460 2727 460 3553 454 828 702 1973,2727 3460 1973 460 3553,30.8281 2.42578 1.17773 0.39917 0.380127
15,463,1,ablation,3.741438769450705,2.015625,1.03125,3.931640625,0.767578125,0.771484375,2.88671875,0.7126325940210391,825 3460 455 2727 460 3553 454 828 702 1973,825 3460 2727 460 3553 454 828 702 1973,2727 3460 1973 828 3553,35.5312 1.55566 0.970703 0.481934 0.450928
16,430,1,ablation,3.741438769450705,2.01953125,1.025390625,4.17578125,0.83251953125,0.83544921875,3.126953125,0.7906172839504174,825 3460 455 2727 460 3553 454 828 702 1973,825 3460 2727 460 3553 454 828 702 1973,2727 3460 1973 828 3553,38.75 0.933594 0.739258 0.649414 0.413818
17,397,1,ablation,3.741438769450705,2.099609375,1.0185546875,4.52734375,0.9111328125,0.9130859375,3.416015625,0.8793363499243588,825 3460 455 2727 460 3553 454 828 702 1973,825 3460 2727 460 3553 454 828 702 1973,2727 828 1973 3460 3553,42.6875 0.733398 0.616211 0.501465 0.410645
18,364,1,ablation,3.741438769450705,2.234375,1.013671875,5.05859375,1.013671875,1.0146484375,3.794921875,0.985294117646803,825 3460 455 2727 460 3553 454 828 702 1973,825 3460 2727 460 3553 454 828 1973,2727 825 828 3553 1973,47.4375 1.22266 0.700195 0.480713 0.467773
19,331,1,ablation,3.741438769450705,2.4296875,1.0126953125,5.74609375,1.1494140625,1.1494140625,4.30078125,1.122324159021114,825 3460 455 2727 460 3553 454 828 702 1973,825 3460 2727 460 3553 454 828 1973,2727 825 828 3553 1973,53.5312 2.29688 0.695801 0.475342 0.358398
20,298,1,ablation,3.741438769450705,2.654296875,1.0126953125,6.578125,1.3193359375,1.3193359375,4.9375,1.2891381947982354,825 3460 455 2727 460 3553 454 828 702 1973,825 3460 2727 3553 454 828 1973,2727 825 828 3553 1973,61.9375 2.21094 0.67334 0.42041 0.270996
21,265,1,ablation,3.741438769450705,3.095703125,1.0048828125,7.8515625,1.5654296875,1.568359375,5.8671875,1.5256475368203244,825 3460 455 2727 460 3553 454 828 702 1973,825 3460 2727 460 3553 828 1973,2727 825 3460 828 3553,74.125 2.3418 0.762695 0.711914 0.383789
22,232,1,ablation,3.741438769450705,3.654296875,0.99365234375,9.5,1.900390625,1.91015625,7.1484375,1.8391959798990243,825 3460 455 2727 460 3553 454 828 702 1973,825 3460 2727 460 3553 828 702 1973,2727 825 3460 828 3553,90.75 1.67969 1.19238 0.884766 0.286865
23,199,1,ablation,3.741438769450705,4.328125,0.98193359375,11.5859375,2.330078125,2.3515625,8.796875,2.2024449877745096,825 3460 455 2727 460 3553 454 828 702 1973,825 3460 2727 460 3553 828 1973,2727 3460 825 828 3553,111.875 1.42285 1.2832 0.955566 0.213989
24,166,1,ablation,3.741438769450705,4.65625,0.96533203125,13.0390625,2.64453125,2.68359375,10.046875,2.43100189035858,825 3460 455 2727 460 3553 454 828 702 1973,825 3460 2727 460 3553 828 1973,2727 3460 828 825 3553,128 1.2334 0.662109 0.383545 0.119873
25,133,1,ablation,3.741438769450705,4.69921875,0.9501953125,13.765625,2.80859375,2.87109375,10.7421875,2.5137111517361577,825 3460 455 2727 460 3553 454 828 702 1973,825 3460 2727 460 3553 828,2727 3460 828 3553 825,136.375 0.643066 0.439697 0.109009 0.0663452
26,100,1,ablation,3.741438769450705,4.65234375,0.92578125,14.0625,2.87890625,2.96875,11.109375,2.5079365079359417,825 3460 455 2727 460 3553 454 828 702 1973,3460 2727 3553 828,2727 828 3460 3553 825,139.875 0.320312 0.284912 0.141357 0
27,67,1,ablation,3.741438769450705,4.58203125,0.9033203125,14.5859375,2.990234375,3.1171875,11.6640625,2.530508474575722,825 3460 455 2727 460 3553 454 828 702 1973,3460 2727 3553 828,2727 828 3460 3553 825,145.375 0.185669 0.144897 0.111023 0
28,34,1,ablation,3.741438769450705,4.47265625,0.861328125,14.671875,3.009765625,3.189453125,11.9296875,2.4569589702328005,825 3460 455 2727 460 3553 454 828 702 1973,3460 2727 460 3553 828,2727 828 3553 3460 460,146.375 0.151978 0.14563 0.0529785 0.0266724
29,1,1,ablation,3.741438769450705,4.00390625,0.638671875,12.6171875,2.58984375,2.853515625,10.671875,2.06344410876093,825 3460 455 2727 460 3553 454 828 702 1973,3460 2727 460 3553 828,2727 828 3553 460 3460,125.812 0.183716 0.0931396 0.0158844 0.00369072
