step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
1,925,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
2,892,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
3,859,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
4,826,1,ablation,5.021909022537444,0.50927734375,0.71728515625,0.401123046875,0.08148193359375,0.081787109375,0.41064453125,0.14026017344891806,4494 4921 3222 338 4518 1363 274 3407 4364 3659,4494 4921 3222 338 1363 274 3407 3659,4921 4494 3659 1363 3407,1.52832 1.07031 0.566895 0.320557 0.262695
5,793,1,ablation,5.021909022537444,0.468505859375,0.72900390625,0.3779296875,0.075927734375,0.07586669921875,0.381103515625,0.12871042216354492,4494 4921 3222 338 4518 1363 274 3407 4364 3659,4494 4921 3222 338 1363 3407 3659,4921 4494 3659 1363 3407,1.27441 1.10938 0.519043 0.275879 0.237549
6,760,1,ablation,5.021909022537444,0.461669921875,0.732421875,0.36962890625,0.07281494140625,0.07257080078125,0.364501953125,0.12197712418296572,4494 4921 3222 338 4518 1363 274 3407 4364 3659,4494 4921 3222 338 1363 274 3407 4364 3659,4494 4921 3659 3407 1363,1.43555 0.92041 0.451904 0.278809 0.250488
7,727,1,ablation,5.021909022537444,0.50439453125,0.73193359375,0.404296875,0.07867431640625,0.07830810546875,0.393310546875,0.1309330299089291,4494 4921 3222 338 4518 1363 274 3407 4364 3659,4494 4921 3222 338 1363 274 3407 3659,4494 4921 3659 3407 3222,1.77832 0.86084 0.419678 0.386719 0.256348
8,694,1,ablation,5.021909022537444,0.53076171875,0.72900390625,0.43310546875,0.0841064453125,0.08380126953125,0.4208984375,0.13957253886005733,4494 4921 3222 338 4518 1363 274 3407 4364 3659,4494 4921 3222 338 1363 274 3407 3659,4494 4921 3407 3659 3222,1.88086 0.964355 0.421387 0.373047 0.345947
9,661,1,ablation,5.021909022537444,0.51611328125,0.72802734375,0.438720703125,0.08599853515625,0.085693359375,0.43017578125,0.14218850871525318,4494 4921 3222 338 4518 1363 274 3407 4364 3659,4494 4921 3222 338 1363 274 3407 3659,4494 4921 3407 3222 3659,1.87109 1.125 0.381104 0.365479 0.307861
10,628,1,ablation,5.021909022537444,0.499755859375,0.72216796875,0.433837890625,0.0855712890625,0.08551025390625,0.42919921875,0.14131832797423,4494 4921 3222 338 4518 1363 274 3407 4364 3659,4494 4921 3222 338 1363 274 3407 3659,4494 4921 3222 3407 1363,1.78418 1.25 0.368652 0.316406 0.28125
11,595,1,ablation,5.021909022537444,0.477294921875,0.71826171875,0.41259765625,0.08148193359375,0.08160400390625,0.409912109375,0.13436299615872677,4494 4921 3222 338 4518 1363 274 3407 4364 3659,4494 4921 3222 338 1363 274 3407 3659,4494 4921 3222 1363 3659,1.56934 1.24121 0.396973 0.31665 0.261719
12,562,1,ablation,5.021909022537444,0.466796875,0.71484375,0.40087890625,0.07916259765625,0.07928466796875,0.398193359375,0.13002232142852896,4494 4921 3222 338 4518 1363 274 3407 4364 3659,4494 4921 3222 338 1363 274 3407 3659,4494 4921 3222 1363 3659,1.37695 1.24707 0.460205 0.342041 0.264893
13,529,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
14,496,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
15,463,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
16,430,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
17,397,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
18,364,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
19,331,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
20,298,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
21,265,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
22,232,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
23,199,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
24,166,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
25,133,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
26,100,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
27,67,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
28,34,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
29,1,0,ablation,5.021909022537444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
