step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,0,ablation,6.729455769881129,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
1,925,0,ablation,6.729455769881129,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
2,892,0,ablation,6.729455769881129,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
3,859,0,ablation,6.729455769881129,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
4,826,1,ablation,6.729455769881129,1.2451171875,0.59326171875,0.5166015625,0.10650634765625,0.10638427734375,0.7158203125,0.16202475685230638,1102 3865 3607 3809 1517 1603 4259 3873 2866 2057,1102 3865 3607 3809 1517 1603 3873 2866 2057,2057 1102 3865 3809 3873,2.23047 0.925781 0.693359 0.532227 0.468994
5,793,1,ablation,6.729455769881129,1.2861328125,0.5810546875,0.463623046875,0.09600830078125,0.096435546875,0.64892578125,0.1458516242317495,1102 3865 3607 3809 1517 1603 4259 3873 2866 2057,1102 3865 3607 3809 1517 1603 3873 2866 2057,2057 1102 3865 3809 3873,1.63379 0.893066 0.877441 0.587891 0.44458
6,760,1,ablation,6.729455769881129,1.15625,0.58935546875,0.5029296875,0.10394287109375,0.10455322265625,0.70361328125,0.1581431079894289,1102 3865 3607 3809 1517 1603 4259 3873 2866 2057,1102 3865 3607 3809 1517 1603 3873 2866 2057,2057 1102 3865 3809 3873,1.88477 1.15234 1.10645 0.61084 0.175903
7,727,1,ablation,6.729455769881129,1.0791015625,0.6083984375,0.55810546875,0.11431884765625,0.1151123046875,0.7744140625,0.17359894921187002,1102 3865 3607 3809 1517 1603 4259 3873 2866 2057,1102 3865 3809 1517 1603 3873 2866 2057,2057 1102 3865 3809 3873,2.39062 1.25684 1.10547 0.658203 0.0773315
8,694,1,ablation,6.729455769881129,0.91552734375,0.6064453125,0.51220703125,0.10498046875,0.10601806640625,0.71337890625,0.16033801580330023,1102 3865 3607 3809 1517 1603 4259 3873 2866 2057,1102 3865 3809 1517 1603 3873 2866 2057,2057 1102 3865 3809 1517,2.28125 1.24902 0.947754 0.555664 0.0436707
9,661,1,ablation,6.729455769881129,0.81396484375,0.60302734375,0.466552734375,0.09442138671875,0.094970703125,0.63916015625,0.14302884615381414,1102 3865 3607 3809 1517 1603 4259 3873 2866 2057,1102 3865 3809 1517 1603 4259 3873 2866 2057,2057 1102 3865 3809 1517,2.2793 0.948242 0.900879 0.395264 0.0551758
10,628,1,ablation,6.729455769881129,0.78369140625,0.58447265625,0.431396484375,0.0875244140625,0.088134765625,0.5927734375,0.13195652173910105,1102 3865 3607 3809 1517 1603 4259 3873 2866 2057,1102 3865 3607 3809 1517 1603 3873 2866 2057,2057 1102 3865 3809 1517,2.19336 0.810547 0.706055 0.310059 0.115234
11,595,1,ablation,6.729455769881129,0.75439453125,0.56884765625,0.415771484375,0.0845947265625,0.08514404296875,0.57275390625,0.12672860847015346,1102 3865 3607 3809 1517 1603 4259 3873 2866 2057,1102 3865 3607 3809 1517 1603 4259 3873 2866 2057,2057 1102 3865 3809 1517,1.89355 0.997559 0.722168 0.156738 0.102356
12,562,1,ablation,6.729455769881129,0.724609375,0.56103515625,0.3994140625,0.08209228515625,0.08251953125,0.55517578125,0.12231067125642744,1102 3865 3607 3809 1517 1603 4259 3873 2866 2057,1102 3865 3607 3809 1517 1603 4259 3873 2866 2057,2057 1102 3865 3607 1517,1.61816 1.01562 0.708008 0.202148 0.107788
13,529,0,ablation,6.729455769881129,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
14,496,0,ablation,6.729455769881129,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
15,463,0,ablation,6.729455769881129,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
16,430,0,ablation,6.729455769881129,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
17,397,0,ablation,6.729455769881129,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
18,364,0,ablation,6.729455769881129,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
19,331,0,ablation,6.729455769881129,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
20,298,0,ablation,6.729455769881129,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
21,265,0,ablation,6.729455769881129,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
22,232,0,ablation,6.729455769881129,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
23,199,0,ablation,6.729455769881129,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
24,166,0,ablation,6.729455769881129,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
25,133,0,ablation,6.729455769881129,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
26,100,0,ablation,6.729455769881129,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
27,67,0,ablation,6.729455769881129,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
28,34,0,ablation,6.729455769881129,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
29,1,0,ablation,6.729455769881129,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
