step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,0,ablation,3.741438769450705,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
1,925,0,ablation,3.741438769450705,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
2,892,0,ablation,3.741438769450705,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
3,859,0,ablation,3.741438769450705,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
4,826,1,ablation,3.741438769450705,1.431640625,0.74462890625,1.162109375,0.206298828125,0.20703125,0.77490234375,0.1981768231767725,825 3460 455 2727 460 3553 454 828 702 1973,3460 2727 460 3553 828 702 1973,2727 3460 1973 460 3553,5.45312 2.63672 1.67969 1.0752 0.522949
5,793,1,ablation,3.741438769450705,1.4755859375,0.80322265625,1.34375,0.241455078125,0.24169921875,0.904296875,0.22774225282827515,825 3460 455 2727 460 3553 454 828 702 1973,825 3460 2727 460 3553 828 702 1973,2727 3460 1973 460 3553,7.27734 2.82617 1.95215 0.932617 0.364258
6,760,1,ablation,3.741438769450705,1.603515625,0.826171875,1.5224609375,0.271484375,0.2724609375,1.01953125,0.2561334641805048,825 3460 455 2727 460 3553 454 828 702 1973,825 3460 2727 460 3553 828 702 1973,2727 1973 3460 460 3553,10.1016 2.0625 1.87207 0.630371 0.335205
7,727,1,ablation,3.741438769450705,1.69140625,0.85546875,1.779296875,0.334228515625,0.33544921875,1.2548828125,0.3149509803920778,825 3460 455 2727 460 3553 454 828 702 1973,3460 2727 460 3553 828 702 1973,2727 1973 3460 460 828,14.0469 1.97656 0.552734 0.504395 0.357422
8,694,1,ablation,3.741438769450705,1.7568359375,0.896484375,2.205078125,0.429931640625,0.43212890625,1.6162109375,0.4098563645367955,825 3460 455 2727 460 3553 454 828 702 1973,3460 2727 460 3553 828 702 1973,2727 1973 460 828 3553,19.2188 1.48926 0.52002 0.45752 0.231201
9,661,1,ablation,3.741438769450705,1.85546875,0.927734375,2.626953125,0.51953125,0.52197265625,1.9521484375,0.4987524950098526,825 3460 455 2727 460 3553 454 828 702 1973,3460 2727 460 3553 828 702 1973,2727 1973 460 828 3553,23.8125 1.04395 0.639648 0.386719 0.265137
10,628,1,ablation,3.741438769450705,1.869140625,0.9541015625,2.890625,0.57421875,0.5771484375,2.158203125,0.5575176589302293,825 3460 455 2727 460 3553 454 828 702 1973,3460 2727 460 3553 828 702 1973,2727 1973 460 828 3553,26.7812 0.739258 0.725098 0.340332 0.203125
11,595,1,ablation,3.741438769450705,1.97265625,0.9765625,3.28125,0.65478515625,0.65673828125,2.45703125,0.6363176530094458,825 3460 455 2727 460 3553 454 828 702 1973,825 3460 2727 460 3553 828 702 1973,2727 460 1973 828 3553,30.625 0.748535 0.635742 0.441162 0.140381
12,562,1,ablation,3.741438769450705,2.126953125,0.99951171875,3.78125,0.75390625,0.75390625,2.822265625,0.7429305912594445,825 3460 455 2727 460 3553 454 828 702 1973,825 3460 2727 460 3553 828 702 1973,2727 460 1973 828 825,35.25 0.708984 0.566895 0.520996 0.326904
13,529,0,ablation,3.741438769450705,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
14,496,0,ablation,3.741438769450705,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
15,463,0,ablation,3.741438769450705,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
16,430,0,ablation,3.741438769450705,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
17,397,0,ablation,3.741438769450705,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
18,364,0,ablation,3.741438769450705,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
19,331,0,ablation,3.741438769450705,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
20,298,0,ablation,3.741438769450705,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
21,265,0,ablation,3.741438769450705,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
22,232,0,ablation,3.741438769450705,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
23,199,0,ablation,3.741438769450705,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
24,166,0,ablation,3.741438769450705,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
25,133,0,ablation,3.741438769450705,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
26,100,0,ablation,3.741438769450705,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
27,67,0,ablation,3.741438769450705,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
28,34,0,ablation,3.741438769450705,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
29,1,0,ablation,3.741438769450705,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
