step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,1,ablation,5.849209898625565,0.66064453125,0.705078125,0.7216796875,0.1494140625,0.1490478515625,0.87158203125,0.3187499999998834,274 1590 3409 1950 3804 4175 886 4639 3485 1842,274 1590 3409 1950 3804 4175 4639 3485,1950 1590 3409 3804 274,4.60156 1.03711 0.746582 0.364502 0.348877
1,925,1,ablation,5.849209898625565,0.654296875,0.8916015625,0.755859375,0.1533203125,0.1533203125,0.896484375,0.3207547169810173,274 1590 3409 1950 3804 4175 886 4639 3485 1842,274 1590 3409 1950 3804 4175 886 4639 1842,1950 1590 3409 3804 274,4.33984 1.49512 0.848633 0.517578 0.155518
2,892,1,ablation,5.849209898625565,0.82470703125,0.9462890625,0.97119140625,0.1944580078125,0.1937255859375,1.1328125,0.398899587345114,274 1590 3409 1950 3804 4175 886 4639 3485 1842,274 1590 3409 1950 3804 4175 886 4639 1842,1950 1590 3409 3804 1842,5.66406 2.09766 1.10449 0.48877 0.188843
3,859,1,ablation,5.849209898625565,0.69921875,0.98291015625,0.81201171875,0.1619873046875,0.161865234375,0.94677734375,0.33316151202737415,274 1590 3409 1950 3804 4175 886 4639 3485 1842,274 1590 3409 1950 3804 4175 886 4639 1842,1950 1590 3409 1842 3804,4.05078 2.4043 1.08984 0.217529 0.179077
4,826,1,ablation,5.849209898625565,0.51318359375,0.9765625,0.5771484375,0.11468505859375,0.11480712890625,0.671875,0.2361015785860529,274 1590 3409 1950 3804 4175 886 4639 3485 1842,274 1590 3409 1950 3804 4175 886 4639 1842,1950 1590 3409 1842 4175,2.37305 1.91113 0.988281 0.215332 0.0865479
5,793,1,ablation,5.849209898625565,0.495361328125,0.9501953125,0.4912109375,0.09814453125,0.09808349609375,0.57373046875,0.19767833109010685,274 1590 3409 1950 3804 4175 886 4639 3485 1842,274 1590 3409 1950 3804 4175 886 4639 1842,1950 1590 3409 1842 4175,2.03516 1.42578 0.946289 0.259277 0.0897217
6,760,1,ablation,5.849209898625565,0.339111328125,0.92578125,0.36083984375,0.07275390625,0.07275390625,0.42578125,0.14630872483216448,274 1590 3409 1950 3804 4175 886 4639 3485 1842,274 1590 3409 1950 3804 4175 886 4639 1842,1590 1950 3409 1842 4175,1.52344 1.06543 0.69043 0.142944 0.117188
7,727,1,ablation,5.849209898625565,0.38720703125,0.880859375,0.3974609375,0.08013916015625,0.080322265625,0.4697265625,0.16001330671983904,274 1590 3409 1950 3804 4175 886 4639 3485 1842,274 1590 3409 1950 3804 4175 886 4639 1842,1590 1950 3409 4175 274,1.9043 0.921875 0.650391 0.308594 0.0800171
8,694,1,ablation,5.849209898625565,0.39453125,0.83642578125,0.359375,0.07275390625,0.07275390625,0.425537109375,0.14428807947014974,274 1590 3409 1950 3804 4175 886 4639 3485 1842,274 1590 3409 1950 3804 4175 886 4639 1842,1590 1950 3409 4175 274,1.35254 0.79248 0.618164 0.455566 0.250732
9,661,1,ablation,5.849209898625565,0.379150390625,0.8037109375,0.3017578125,0.060516357421875,0.060455322265625,0.353515625,0.11931443638756685,274 1590 3409 1950 3804 4175 886 4639 3485 1842,274 1590 3409 1950 3804 4175 886 4639 3485 1842,1950 1590 3409 4175 274,0.724121 0.698242 0.650879 0.513672 0.242798
