step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,1,ablation,7.8105179340914,0.046661376953125,0.1861572265625,0.01441192626953125,0.003139495849609375,0.00315093994140625,0.0246124267578125,0.006625427181911991,1260 3398 2027 3171 4919 826 2527 3146 530 3792,3171 4919 3146 530 3792,3146 3171 4919 530 3792,0.0843506 0.0324097 0.0216675 0.00513077 0.000600815
1,925,1,ablation,7.8105179340914,0.08831787109375,0.24853515625,0.029632568359375,0.006389617919921875,0.006427764892578125,0.050201416015625,0.012916143216077078,1260 3398 2027 3171 4919 826 2527 3146 530 3792,2027 3171 4919 3146 530 3792,3146 3171 530 2027 4919,0.106812 0.0667114 0.0548096 0.0478516 0.0128174
2,892,1,ablation,7.8105179340914,0.192138671875,0.3232421875,0.07110595703125,0.0150146484375,0.01493072509765625,0.1165771484375,0.02842261904761212,1260 3398 2027 3171 4919 826 2527 3146 530 3792,2027 3171 4919 3146 530 3792,2027 3146 530 3792 3171,0.324463 0.142334 0.126953 0.0544434 0.0391541
3,859,1,ablation,7.8105179340914,0.30859375,0.416259765625,0.14501953125,0.03009033203125,0.02996826171875,0.2340087890625,0.05495986238530819,1260 3398 2027 3171 4919 826 2527 3146 530 3792,1260 2027 3171 4919 3146 530 3792,2027 3146 530 3792 3171,0.616211 0.326172 0.246948 0.173096 0.0543213
4,826,1,ablation,7.8105179340914,0.401123046875,0.458740234375,0.18359375,0.03839111328125,0.038116455078125,0.297607421875,0.06894796380088901,1260 3398 2027 3171 4919 826 2527 3146 530 3792,1260 2027 3171 4919 3146 530 3792,3146 2027 530 3792 1260,0.740234 0.514648 0.203125 0.143799 0.0938721
5,793,1,ablation,7.8105179340914,0.455078125,0.474365234375,0.20361328125,0.0413818359375,0.0411376953125,0.3212890625,0.0706008583690832,1260 3398 2027 3171 4919 826 2527 3146 530 3792,1260 2027 3171 4919 2527 3146 530 3792,2027 4919 3146 1260 3792,0.732422 0.280762 0.2771 0.274414 0.217529
6,760,1,ablation,7.8105179340914,0.442626953125,0.482177734375,0.1943359375,0.040191650390625,0.040313720703125,0.314697265625,0.06838921901526528,1260 3398 2027 3171 4919 826 2527 3146 530 3792,1260 2027 3171 4919 2527 3146 530 3792,2027 4919 1260 3792 3171,0.70752 0.512695 0.282715 0.169434 0.109863
7,727,1,ablation,7.8105179340914,0.470703125,0.490234375,0.22265625,0.047515869140625,0.047607421875,0.371826171875,0.07998949579830211,1260 3398 2027 3171 4919 826 2527 3146 530 3792,1260 2027 3171 4919 2527 3146 530 3792,2027 4919 1260 3171 3146,0.82373 0.634766 0.332275 0.166016 0.129395
8,694,1,ablation,7.8105179340914,0.487060546875,0.499755859375,0.253173828125,0.053863525390625,0.054107666015625,0.422607421875,0.09207446808508632,1260 3398 2027 3171 4919 826 2527 3146 530 3792,1260 2027 3171 4919 2527 3146 530 3792,2027 4919 1260 3171 3146,1.00391 0.571289 0.446777 0.220703 0.17981
9,661,1,ablation,7.8105179340914,0.54296875,0.5107421875,0.302490234375,0.06463623046875,0.0648193359375,0.50634765625,0.1104131175468243,1260 3398 2027 3171 4919 826 2527 3146 530 3792,1260 2027 3171 4919 2527 3146 530 3792,2027 4919 1260 3146 3171,1.09277 0.550293 0.491211 0.395264 0.255859
10,628,1,ablation,7.8105179340914,0.66357421875,0.5185546875,0.365234375,0.07806396484375,0.07830810546875,0.611328125,0.13341858482520533,1260 3398 2027 3171 4919 826 2527 3146 530 3792,1260 2027 3171 4919 2527 3146 530 3792,3146 2027 4919 1260 3171,1.04004 0.808105 0.615234 0.567383 0.278564
11,595,1,ablation,7.8105179340914,0.8251953125,0.5244140625,0.4619140625,0.0968017578125,0.096923828125,0.75732421875,0.16584687767318865,1260 3398 2027 3171 4919 826 2527 3146 530 3792,1260 2027 3171 4919 2527 3146 530 3792,3146 1260 2027 4919 3792,1.37891 0.975098 0.811523 0.601074 0.466064
12,562,1,ablation,7.8105179340914,0.8193359375,0.53125,0.461181640625,0.09564208984375,0.095947265625,0.74951171875,0.16641370338244355,1260 3398 2027 3171 4919 826 2527 3146 530 3792,1260 3398 2027 3171 4919 2527 3146 530 3792,3146 1260 2027 4919 3792,1.29492 1.08887 0.69043 0.60498 0.59082
13,529,0,ablation,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
14,496,0,ablation,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
