step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,1,ablation,5.849209898625565,0.66064453125,0.705078125,0.7216796875,0.1494140625,0.1490478515625,0.87158203125,0.3187499999998834,274 1590 3409 1950 3804 4175 886 4639 3485 1842,274 1590 3409 1950 3804 4175 4639 3485,1950 1590 3409 3804 274,4.60156 1.03711 0.746582 0.364502 0.348877
1,925,1,ablation,5.849209898625565,0.654296875,0.8916015625,0.755859375,0.1533203125,0.1533203125,0.896484375,0.3207547169810173,274 1590 3409 1950 3804 4175 886 4639 3485 1842,274 1590 3409 1950 3804 4175 886 4639 1842,1950 1590 3409 3804 274,4.33984 1.49512 0.848633 0.517578 0.155518
2,892,1,ablation,5.849209898625565,0.82470703125,0.9462890625,0.97119140625,0.1944580078125,0.1937255859375,1.1328125,0.398899587345114,274 1590 3409 1950 3804 4175 886 4639 3485 1842,274 1590 3409 1950 3804 4175 886 4639 1842,1950 1590 3409 3804 1842,5.66406 2.09766 1.10449 0.48877 0.188843
3,859,1,ablation,5.849209898625565,0.69921875,0.98291015625,0.81201171875,0.1619873046875,0.161865234375,0.94677734375,0.33316151202737415,274 1590 3409 1950 3804 4175 886 4639 3485 1842,274 1590 3409 1950 3804 4175 886 4639 1842,1950 1590 3409 1842 3804,4.05078 2.4043 1.08984 0.217529 0.179077
4,826,0,ablation,5.849209898625565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
5,793,0,ablation,5.849209898625565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
6,760,0,ablation,5.849209898625565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
7,727,0,ablation,5.849209898625565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
8,694,0,ablation,5.849209898625565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
9,661,0,ablation,5.849209898625565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
10,628,0,ablation,5.849209898625565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
11,595,0,ablation,5.849209898625565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
12,562,0,ablation,5.849209898625565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
13,529,0,ablation,5.849209898625565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
14,496,0,ablation,5.849209898625565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
15,463,0,ablation,5.849209898625565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
16,430,0,ablation,5.849209898625565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
17,397,0,ablation,5.849209898625565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
18,364,0,ablation,5.849209898625565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
19,331,0,ablation,5.849209898625565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
20,298,0,ablation,5.849209898625565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
21,265,0,ablation,5.849209898625565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
22,232,0,ablation,5.849209898625565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
23,199,0,ablation,5.849209898625565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
24,166,0,ablation,5.849209898625565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
25,133,0,ablation,5.849209898625565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
26,100,0,ablation,5.849209898625565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
27,67,0,ablation,5.849209898625565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
28,34,0,ablation,5.849209898625565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
29,1,0,ablation,5.849209898625565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
