step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,1,ablation,8.444774007198342,0.6279296875,0.425048828125,0.44287109375,0.0938720703125,0.094482421875,0.7978515625,0.2058971774193017,4322 4080 4145 1382 4023 6 3044 2495 2554 3063,4322 4145 1382 4023 3044 2495 2554,4145 1382 3044 2495 4322,1.87012 1.69629 0.365723 0.263916 0.227295
1,925,1,ablation,8.444774007198342,0.59228515625,0.4404296875,0.353515625,0.07476806640625,0.07489013671875,0.63232421875,0.1564009661835362,4322 4080 4145 1382 4023 6 3044 2495 2554 3063,4322 4145 1382 4023 3044 2495 2554,4145 1382 2495 4322 3044,1.40527 0.970703 0.831543 0.143066 0.0986328
2,892,1,ablation,8.444774007198342,0.5439453125,0.430908203125,0.25732421875,0.05462646484375,0.05474853515625,0.46240234375,0.10910138248845352,4322 4080 4145 1382 4023 6 3044 2495 2554 3063,4322 4145 1382 4023 3044 2495 2554,4145 2495 1382 3044 2554,1.50293 0.369873 0.325684 0.142822 0.127075
3,859,1,ablation,8.444774007198342,0.70947265625,0.46875,0.295166015625,0.0621337890625,0.06268310546875,0.529296875,0.12385740402190885,4322 4080 4145 1382 4023 6 3044 2495 2554 3063,4322 4145 1382 4023 3044 2495 2554,4145 1382 3044 2554 2495,1.69238 0.629883 0.252197 0.16394 0.152588
4,826,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
5,793,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
6,760,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
7,727,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
8,694,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
9,661,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
10,628,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
11,595,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
12,562,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
13,529,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
14,496,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
15,463,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
16,430,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
17,397,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
18,364,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
19,331,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
20,298,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
21,265,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
22,232,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
23,199,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
24,166,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
25,133,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
26,100,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
27,67,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
28,34,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
29,1,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
