step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,1,ablation,2.613778939664619,3.166015625,2.109375,11.2109375,1.7568359375,1.7578125,4.59765625,1.4318734793182888,2727 4296 4573 608 4897 4307 3460 1101 1105 60,2727 4296 4573 608 4897 4307 3460 1101 1105 60,60 4296 608 2727 1101,55.4688 36.125 5.73438 5.41797 3.33789
1,925,1,ablation,2.613778939664619,0.8564453125,1.6640625,1.068359375,0.203857421875,0.2044677734375,0.53466796875,0.16651459854009412,2727 4296 4573 608 4897 4307 3460 1101 1105 60,2727 4296 4573 608 4897 4307 3460 1101 60,2727 4307 60 608 1101,5.41406 2.45312 1.51465 0.530273 0.317627
2,892,1,ablation,2.613778939664619,0.79345703125,1.408203125,0.8662109375,0.171630859375,0.1728515625,0.45166015625,0.13436955258566602,2727 4296 4573 608 4897 4307 3460 1101 1105 60,2727 4296 608 4897 4307 3460 1101 60,2727 4307 3460 4296 60,4.6875 3.01562 0.510254 0.24707 0.136353
3,859,1,ablation,2.613778939664619,0.8759765625,1.48046875,1.7314453125,0.339599609375,0.341552734375,0.892578125,0.256741573033634,2727 4296 4573 608 4897 4307 3460 1101 1105 60,2727 4296 4897 4307 3460 1101 60,2727 4307 3460 60 4296,11.1484 4.64062 0.846191 0.439453 0.187134
4,826,0,ablation,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
5,793,0,ablation,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
6,760,0,ablation,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
7,727,0,ablation,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
8,694,0,ablation,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
9,661,0,ablation,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
10,628,0,ablation,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
11,595,0,ablation,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
12,562,0,ablation,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
13,529,0,ablation,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
14,496,0,ablation,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
15,463,0,ablation,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
16,430,0,ablation,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
17,397,0,ablation,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
18,364,0,ablation,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
19,331,0,ablation,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
20,298,0,ablation,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
21,265,0,ablation,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
22,232,0,ablation,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
23,199,0,ablation,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
24,166,0,ablation,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
25,133,0,ablation,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
26,100,0,ablation,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
27,67,0,ablation,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
28,34,0,ablation,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
29,1,0,ablation,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
