step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
1,925,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
2,892,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
3,859,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
4,826,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
5,793,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
6,760,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
7,727,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
8,694,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
9,661,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
10,628,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
11,595,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
12,562,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
13,529,1,ablation,8.444774007198342,0.8974609375,0.5693359375,0.53466796875,0.10662841796875,0.105712890625,0.89306640625,0.18910256410252405,4322 4080 4145 1382 4023 6 3044 2495 2554 3063,4080 4145 1382 4023 6 3044 2495 2554,4145 2495 1382 3044 4023,2.25977 1.14062 0.760254 0.447998 0.363037
14,496,1,ablation,8.444774007198342,0.94189453125,0.556640625,0.5478515625,0.108642578125,0.10821533203125,0.91357421875,0.19819915254232987,4322 4080 4145 1382 4023 6 3044 2495 2554 3063,4145 1382 4023 6 3044 2495 2554,4145 2495 1382 3044 2554,2.24219 1.20605 1.07715 0.416748 0.245605
15,463,1,ablation,8.444774007198342,1.0693359375,0.5380859375,0.58984375,0.11663818359375,0.1160888671875,0.98046875,0.2160068846815359,4322 4080 4145 1382 4023 6 3044 2495 2554 3063,4080 4145 1382 4023 6 3044 2495 2554 3063,4145 1382 2495 2554 3044,2.04297 1.44922 1.24805 0.370117 0.358643
