step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,0,ablation,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
1,925,0,ablation,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
2,892,0,ablation,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
3,859,0,ablation,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
4,826,0,ablation,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
5,793,0,ablation,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
6,760,0,ablation,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
7,727,0,ablation,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
8,694,0,ablation,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
9,661,0,ablation,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
10,628,0,ablation,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
11,595,0,ablation,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
12,562,0,ablation,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
13,529,1,ablation,2.613778939664619,4.69140625,1.53515625,10.7265625,1.658203125,1.6533203125,4.3203125,1.077972709551388,2727 4296 4573 608 4897 4307 3460 1101 1105 60,2727 4296 4573 608 4897 4307 3460 1101 1105 60,2727 4296 4897 4573 608,48.9062 24.9844 11.5469 11.2266 5.41406
14,496,1,ablation,2.613778939664619,2.703125,1.533203125,6.5546875,1.1171875,1.109375,2.8984375,0.7487386478302809,2727 4296 4573 608 4897 4307 3460 1101 1105 60,2727 4296 4573 608 4897 4307 3460 1101 1105 60,2727 4897 4296 4573 4307,43.5625 9.57812 5.27734 2.65625 2.24414
15,463,1,ablation,2.613778939664619,2.330078125,1.533203125,6.05859375,1.04296875,1.03125,2.6953125,0.7146556188501471,2727 4296 4573 608 4897 4307 3460 1101 1105 60,2727 4296 4573 608 4897 4307 3460 1101 1105 60,2727 4897 4296 4573 4307,44.1562 7.86719 4.03906 1.75195 1.40137
16,430,1,ablation,2.613778939664619,2.19921875,1.53515625,5.984375,1.0732421875,1.05859375,2.765625,0.7405857740583791,2727 4296 4573 608 4897 4307 3460 1101 1105 60,2727 4296 4573 608 4897 4307 3460 1101 1105 60,2727 4897 4296 4307 4573,47.7188 5.375 2.24219 1.34961 1.28711
17,397,1,ablation,2.613778939664619,2.13671875,1.52734375,6.02734375,1.1240234375,1.1064453125,2.890625,0.7752750130956537,2727 4296 4573 608 4897 4307 3460 1101 1105 60,2727 4296 4573 608 4897 4307 3460 1101 1105 60,2727 4897 4573 4307 4296,51.4062 2.96289 1.19238 1.11914 1.11523
18,364,1,ablation,2.613778939664619,2.17578125,1.525390625,6.34375,1.2138671875,1.1923828125,3.115234375,0.833768949294079,2727 4296 4573 608 4897 4307 3460 1101 1105 60,2727 4296 4573 608 4897 4307 3460 1101 1105 60,2727 4897 4573 1101 4307,56.0938 1.67773 1.3877 1.06055 0.975098
19,331,1,ablation,2.613778939664619,2.205078125,1.51953125,6.6875,1.3017578125,1.2763671875,3.3359375,0.8891202498696225,2727 4296 4573 608 4897 4307 3460 1101 1105 60,2727 4296 4573 608 4897 4307 3460 1101 1105,2727 4573 1101 3460 4307,60.6562 1.12402 1.09668 1.01562 0.891113
20,298,1,ablation,2.613778939664619,2.318359375,1.517578125,7.30859375,1.4345703125,1.40625,3.67578125,0.9781704781702178,2727 4296 4573 608 4897 4307 3460 1101 1105 60,2727 4296 4573 608 4897 4307 3460 1101 1105,2727 3460 4573 4307 1101,67.125 1.33789 1.29492 0.966797 0.868652
21,265,1,ablation,2.613778939664619,2.458984375,1.515625,8.140625,1.615234375,1.5849609375,4.14453125,1.0955085183270208,2727 4296 4573 608 4897 4307 3460 1101 1105 60,2727 4296 4573 608 4897 4307 3460 1101 1105,2727 3460 4573 4307 1105,76 1.88184 1.12402 0.820801 0.6875
22,232,1,ablation,2.613778939664619,2.734375,1.51171875,9.4453125,1.8837890625,1.8544921875,4.84765625,1.266326530611914,2727 4296 4573 608 4897 4307 3460 1101 1105 60,2727 4573 4897 4307 3460 1101 1105,2727 3460 4573 4307 1105,89.125 2.78125 1.06348 0.63623 0.59668
23,199,1,ablation,2.613778939664619,3.150390625,1.5048828125,11.296875,2.267578125,2.2421875,5.859375,1.50225338006972,2727 4296 4573 608 4897 4307 3460 1101 1105 60,2727 4573 4897 4307 3460 1105,2727 3460 4573 1105 4307,107.688 3.41211 0.94043 0.537598 0.362305
24,166,1,ablation,2.613778939664619,3.607421875,1.5009765625,13.3984375,2.69921875,2.681640625,7.01171875,1.7580803134177765,2727 4296 4573 608 4897 4307 3460 1101 1105 60,2727 4573 4307 3460 1105,2727 3460 4573 1105 4307,128.625 3.46875 1.15723 0.558105 0.190552
