step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
1,925,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
2,892,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
3,859,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
4,826,1,ablation,8.444774007198342,0.9951171875,0.53369140625,0.499755859375,0.10186767578125,0.1009521484375,0.8525390625,0.18669803250637484,4322 4080 4145 1382 4023 6 3044 2495 2554 3063,4145 1382 4023 6 3044 2495 2554,4145 1382 3044 2554 2495,2.5 1.1582 0.572266 0.337402 0.213745
5,793,1,ablation,8.444774007198342,1.130859375,0.56201171875,0.56982421875,0.114501953125,0.113525390625,0.95849609375,0.21811111111106146,4322 4080 4145 1382 4023 6 3044 2495 2554 3063,4322 4145 1382 4023 6 3044 2495 2554,4145 1382 2495 3044 2554,2.51758 1.02246 0.896973 0.750977 0.330566
6,760,1,ablation,8.444774007198342,1.2998046875,0.5517578125,0.64599609375,0.1287841796875,0.1280517578125,1.0810546875,0.2484290843805533,4322 4080 4145 1382 4023 6 3044 2495 2554 3063,4322 4145 1382 4023 6 3044 2495 2554,4145 2495 1382 3044 2554,2.78125 1.39453 0.802734 0.747559 0.49292
7,727,1,ablation,8.444774007198342,1.380859375,0.548828125,0.7666015625,0.1514892578125,0.1497802734375,1.265625,0.2898032200357118,4322 4080 4145 1382 4023 6 3044 2495 2554 3063,4145 1382 4023 6 3044 2495 2554,4145 2495 3044 1382 2554,2.96094 2.52734 0.759277 0.753906 0.292236
8,694,1,ablation,8.444774007198342,1.26171875,0.56640625,0.75732421875,0.15185546875,0.1507568359375,1.2734375,0.29237668161428265,4322 4080 4145 1382 4023 6 3044 2495 2554 3063,4322 4145 1382 4023 6 3044 2495 2554,4145 2495 1382 3044 4023,2.9375 2.39258 1.07324 0.70459 0.21521
9,661,1,ablation,8.444774007198342,1.23828125,0.59375,0.78369140625,0.1563720703125,0.1556396484375,1.314453125,0.2969991173873998,4322 4080 4145 1382 4023 6 3044 2495 2554 3063,4322 4145 1382 4023 6 3044 2495 2554,4145 2495 1382 3044 4023,2.87891 2.29688 1.35449 0.729492 0.204346
10,628,1,ablation,8.444774007198342,1.2197265625,0.59814453125,0.78515625,0.1595458984375,0.1591796875,1.34375,0.3057777777777082,4322 4080 4145 1382 4023 6 3044 2495 2554 3063,4322 4145 1382 4023 6 3044 2495 2554,4145 2495 1382 3044 2554,2.60938 2.55273 1.54492 0.617188 0.209961
11,595,1,ablation,8.444774007198342,1.216796875,0.59033203125,0.7509765625,0.1534423828125,0.1534423828125,1.2958984375,0.29254850088176815,4322 4080 4145 1382 4023 6 3044 2495 2554 3063,4322 4145 1382 4023 6 3044 2495 2554 3063,4145 2495 1382 3044 6,2.30078 2.27539 1.83594 0.493652 0.284424
12,562,1,ablation,8.444774007198342,1.138671875,0.57861328125,0.671875,0.135009765625,0.134765625,1.138671875,0.2568281938325412,4322 4080 4145 1382 4023 6 3044 2495 2554 3063,4322 4080 4145 1382 4023 6 3044 2495 2554 3063,1382 4145 2495 3044 6,1.98633 1.90723 1.78516 0.398193 0.322754
13,529,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
14,496,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
15,463,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
16,430,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
17,397,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
18,364,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
19,331,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
20,298,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
21,265,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
22,232,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
23,199,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
24,166,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
25,133,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
26,100,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
27,67,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
28,34,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
29,1,0,ablation,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
