step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,0,ablation,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
1,925,0,ablation,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
2,892,0,ablation,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
3,859,0,ablation,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
4,826,1,ablation,7.8105179340914,0.42578125,0.458740234375,0.1641845703125,0.03350830078125,0.033660888671875,0.262939453125,0.05503883892067531,1260 3398 2027 3171 4919 826 2527 3146 530 3792,1260 2027 3171 4919 2527 3146 530 3792,3146 2027 3792 530 4919,0.380371 0.372314 0.322754 0.216064 0.175415
5,793,1,ablation,7.8105179340914,0.3837890625,0.474365234375,0.1552734375,0.032623291015625,0.032501220703125,0.25390625,0.054991539763101456,1260 3398 2027 3171 4919 826 2527 3146 530 3792,1260 2027 3171 4919 2527 3146 530 3792,2027 3146 4919 530 1260,0.443115 0.341309 0.312988 0.210205 0.121094
6,760,1,ablation,7.8105179340914,0.453125,0.482177734375,0.1773681640625,0.038330078125,0.038238525390625,0.298828125,0.06560891938248989,1260 3398 2027 3171 4919 826 2527 3146 530 3792,1260 2027 3171 4919 2527 3146 530 3792,4919 3146 2027 1260 530,0.604492 0.370117 0.347412 0.16333 0.162842
7,727,1,ablation,7.8105179340914,0.46044921875,0.490234375,0.2139892578125,0.046539306640625,0.046905517578125,0.366455078125,0.07785269709541914,1260 3398 2027 3171 4919 826 2527 3146 530 3792,1260 2027 3171 4919 2527 3146 530 3792,2027 4919 3146 1260 530,0.836426 0.62207 0.291992 0.130493 0.119751
8,694,1,ablation,7.8105179340914,0.38037109375,0.499755859375,0.1700439453125,0.03717041015625,0.03814697265625,0.2978515625,0.06412952060553707,1260 3398 2027 3171 4919 826 2527 3146 530 3792,1260 2027 3171 4919 2527 3146 530 3792,4919 2027 1260 3146 3792,0.642578 0.543945 0.14856 0.0968628 0.0922852
9,661,1,ablation,7.8105179340914,0.417236328125,0.5107421875,0.206298828125,0.044464111328125,0.045867919921875,0.358154296875,0.07590024834435477,1260 3398 2027 3171 4919 826 2527 3146 530 3792,1260 2027 3171 4919 2527 3146 530 3792,4919 2027 3792 3146 1260,0.750488 0.737305 0.276367 0.0998535 0.0654297
10,628,1,ablation,7.8105179340914,0.495849609375,0.5185546875,0.2451171875,0.052978515625,0.054290771484375,0.424072265625,0.09145956192078904,1260 3398 2027 3171 4919 826 2527 3146 530 3792,1260 2027 3171 4919 2527 3146 530 3792,4919 2027 3792 3171 2527,0.784668 0.770996 0.476074 0.178467 0.102661
11,595,1,ablation,7.8105179340914,0.5869140625,0.5244140625,0.280029296875,0.060394287109375,0.06207275390625,0.48486328125,0.10395728643213852,1260 3398 2027 3171 4919 826 2527 3146 530 3792,1260 2027 3171 4919 2527 3146 530 3792,2027 4919 3792 2527 3171,0.830566 0.742188 0.63623 0.307129 0.151855
12,562,1,ablation,7.8105179340914,0.6435546875,0.53125,0.320556640625,0.06793212890625,0.06915283203125,0.5400390625,0.11676520270267746,1260 3398 2027 3171 4919 826 2527 3146 530 3792,1260 2027 3171 4919 2527 3146 530 3792,2027 3792 4919 2527 1260,0.875 0.840332 0.631348 0.356445 0.289551
13,529,0,ablation,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
14,496,0,ablation,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
15,463,0,ablation,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
16,430,0,ablation,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
17,397,0,ablation,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
18,364,0,ablation,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
19,331,0,ablation,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
20,298,0,ablation,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
21,265,0,ablation,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
22,232,0,ablation,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
23,199,0,ablation,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
24,166,0,ablation,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
25,133,0,ablation,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
26,100,0,ablation,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
27,67,0,ablation,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
28,34,0,ablation,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
29,1,0,ablation,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
