step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,1,ablation,3.8669053670013387,1.07421875,1.2958984375,2.470703125,0.44873046875,0.4462890625,1.7255859375,0.623940677965876,5014 2128 653 3112 4451 1176 279 2045 1498 4984,5014 2128 653 1176 279 2045 1498 4984,2128 5014 1176 279 653,10.2344 9.78125 1.99707 1.37207 0.524902
1,925,1,ablation,3.8669053670013387,0.93017578125,1.6201171875,2.41015625,0.444580078125,0.4404296875,1.703125,0.6005509641871161,5014 2128 653 3112 4451 1176 279 2045 1498 4984,5014 2128 653 3112 4451 1176 279 2045 1498 4984,2128 5014 1176 279 4984,11.7188 8.3125 1.39746 1.22754 0.442139
2,892,1,ablation,3.8669053670013387,0.391357421875,1.732421875,1.1064453125,0.214599609375,0.2135009765625,0.82568359375,0.2827759197323446,5014 2128 653 3112 4451 1176 279 2045 1498 4984,5014 2128 653 4451 1176 279 2045 1498 4984,2128 5014 279 1498 4984,6.91797 2.75195 0.647461 0.441895 0.174561
3,859,1,ablation,3.8669053670013387,0.263671875,1.810546875,0.67236328125,0.1331787109375,0.133544921875,0.51611328125,0.173620236530822,5014 2128 653 3112 4451 1176 279 2045 1498 4984,5014 2128 653 4451 279 2045 1498 4984,2128 5014 1498 279 4984,4.32812 0.981445 0.67627 0.508301 0.180786
4,826,1,ablation,3.8669053670013387,0.23779296875,1.8369140625,0.491455078125,0.0965576171875,0.09759521484375,0.37744140625,0.12475790832791228,5014 2128 653 3112 4451 1176 279 2045 1498 4984,5014 2128 653 3112 4451 279 2045 1498 4984,2128 1498 5014 279 4984,2.54297 1.07617 0.459229 0.36084 0.291504
5,793,1,ablation,3.8669053670013387,0.2420654296875,1.861328125,0.419921875,0.0850830078125,0.0859375,0.332275390625,0.10787888395684513,5014 2128 653 3112 4451 1176 279 2045 1498 4984,5014 2128 653 3112 4451 279 2045 1498 4984,1498 2128 3112 4984 5014,1.37402 1.34473 0.693848 0.433594 0.154785
6,760,1,ablation,3.8669053670013387,0.267822265625,1.861328125,0.468505859375,0.09613037109375,0.096923828125,0.374755859375,0.12052449748739842,5014 2128 653 3112 4451 1176 279 2045 1498 4984,5014 2128 653 3112 4451 279 2045 1498 4984,1498 3112 2128 4984 5014,1.46777 1.22461 1.04785 0.541992 0.208862
7,727,1,ablation,3.8669053670013387,0.25244140625,1.8798828125,0.451171875,0.09228515625,0.09295654296875,0.359375,0.1149999999999632,5014 2128 653 3112 4451 1176 279 2045 1498 4984,5014 2128 3112 4451 279 2045 1498 4984,1498 3112 2128 4984 5014,1.36816 1.20312 0.851562 0.577148 0.280029
8,694,1,ablation,3.8669053670013387,0.2430419921875,1.8984375,0.442138671875,0.09173583984375,0.09222412109375,0.356689453125,0.11378504672893566,5014 2128 653 3112 4451 1176 279 2045 1498 4984,5014 2128 653 3112 4451 279 2045 1498 4984,3112 1498 4984 2128 5014,1.35254 1.23047 0.608398 0.577148 0.334717
9,661,1,ablation,3.8669053670013387,0.21923828125,1.921875,0.40869140625,0.0849609375,0.08526611328125,0.329833984375,0.10495649471718226,5014 2128 653 3112 4451 1176 279 2045 1498 4984,5014 2128 653 3112 4451 279 2045 1498 4984,3112 1498 4984 2128 5014,1.23926 1.03223 0.579102 0.526855 0.321289
10,628,1,ablation,3.8669053670013387,0.1845703125,1.9423828125,0.346923828125,0.07257080078125,0.07281494140625,0.28173828125,0.08948511166250259,5014 2128 653 3112 4451 1176 279 2045 1498 4984,5014 2128 653 3112 4451 279 2045 1498 4984,3112 1498 2128 4984 4451,0.98877 0.77832 0.548828 0.535645 0.251465
11,595,1,ablation,3.8669053670013387,0.16552734375,1.958984375,0.313720703125,0.06549072265625,0.06561279296875,0.253662109375,0.08031849103275131,5014 2128 653 3112 4451 1176 279 2045 1498 4984,5014 2128 653 3112 4451 279 2045 1498 4984,3112 1498 4984 2128 4451,0.80127 0.612305 0.57666 0.495605 0.262695
12,562,1,ablation,3.8669053670013387,0.1375732421875,1.97265625,0.25341796875,0.053253173828125,0.053253173828125,0.2059326171875,0.06496457178063261,5014 2128 653 3112 4451 1176 279 2045 1498 4984,5014 2128 653 3112 4451 279 2045 1498 4984,4984 3112 1498 2128 4451,0.586914 0.505859 0.436035 0.400146 0.277832
13,529,0,ablation,3.8669053670013387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
14,496,0,ablation,3.8669053670013387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
15,463,0,ablation,3.8669053670013387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
16,430,0,ablation,3.8669053670013387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
17,397,0,ablation,3.8669053670013387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
18,364,0,ablation,3.8669053670013387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
19,331,0,ablation,3.8669053670013387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
20,298,0,ablation,3.8669053670013387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
21,265,0,ablation,3.8669053670013387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
22,232,0,ablation,3.8669053670013387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
23,199,0,ablation,3.8669053670013387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
24,166,0,ablation,3.8669053670013387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
25,133,0,ablation,3.8669053670013387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
26,100,0,ablation,3.8669053670013387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
27,67,0,ablation,3.8669053670013387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
28,34,0,ablation,3.8669053670013387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
29,1,0,ablation,3.8669053670013387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
