step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,1,ablation,10.0,0.1082763671875,0.2177734375,0.03900146484375,0.00852203369140625,0.0087127685546875,0.08709716796875,0.01974922497785203,2758 4052 919 473 878 366 2932 2215 4589 2229,473 366,473 366 919 4052 2758,0.385254 0.00481415 0 0 0
1,925,1,ablation,10.0,0.196044921875,0.4482421875,0.12744140625,0.0277252197265625,0.027862548828125,0.278564453125,0.060846843003399674,2758 4052 919 473 878 366 2932 2215 4589 2229,473 366 2932,473 366 2932 4052 2758,1.19238 0.0759277 0.00588226 0 0
2,892,1,ablation,10.0,0.2274169921875,0.56787109375,0.154052734375,0.03350830078125,0.034454345703125,0.344482421875,0.07769823788544503,2758 4052 919 473 878 366 2932 2215 4589 2229,473 366 2932,473 366 2932 4052 2758,1.41113 0.103271 0.0260925 0 0
3,859,1,ablation,10.0,0.2440185546875,0.7197265625,0.188232421875,0.040985107421875,0.042388916015625,0.423828125,0.09492563429569177,2758 4052 919 473 878 366 2932 2215 4589 2229,473 366 2932 2229,473 366 2932 2229 2758,1.48438 0.343506 0.050354 0.00484467 0
4,826,1,ablation,10.0,0.279052734375,0.802734375,0.2403564453125,0.051849365234375,0.05364990234375,0.53662109375,0.11812123817710211,2758 4052 919 473 878 366 2932 2215 4589 2229,473 366 2932,473 366 2932 4052 2758,1.48633 0.828613 0.0889282 0 0
5,793,1,ablation,10.0,0.27685546875,0.84521484375,0.249755859375,0.0540771484375,0.056060791015625,0.560546875,0.12161016949149904,2758 4052 919 473 878 366 2932 2215 4589 2229,473 366 2932 2229,473 366 2932 2229 2758,1.36133 1 0.128174 0.00806427 0
6,760,1,ablation,10.0,0.26806640625,0.8525390625,0.237548828125,0.051513671875,0.05328369140625,0.53271484375,0.11431265716678184,2758 4052 919 473 878 366 2932 2215 4589 2229,4052 473 366 2932 4589 2229,473 366 2932 2229 4052,1.28418 0.894531 0.143799 0.0262146 0.0206757
7,727,1,ablation,10.0,0.2388916015625,0.873046875,0.211181640625,0.045501708984375,0.047027587890625,0.47021484375,0.09956575682380026,2758 4052 919 473 878 366 2932 2215 4589 2229,473 366 2932 4589 2229,473 366 2932 2229 4589,1.24805 0.703125 0.130127 0.0230713 0.00663376
8,694,1,ablation,10.0,0.2362060546875,0.8779296875,0.2061767578125,0.04443359375,0.045745849609375,0.45751953125,0.09616174055827206,2758 4052 919 473 878 366 2932 2215 4589 2229,473 366 2932 4589 2229,473 366 2932 2229 4589,1.25293 0.638184 0.125732 0.0267944 0.0178223
9,661,1,ablation,10.0,0.2236328125,0.88427734375,0.20263671875,0.043670654296875,0.04498291015625,0.44970703125,0.09390293637844695,2758 4052 919 473 878 366 2932 2215 4589 2229,473 366 2932 4589 2229,473 366 2932 2229 4589,1.2998 0.563965 0.121826 0.0282288 0.0121613
10,628,1,ablation,10.0,0.2200927734375,0.88671875,0.202392578125,0.04351806640625,0.04473876953125,0.447265625,0.09301380991062241,2758 4052 919 473 878 366 2932 2215 4589 2229,473 366 2932 4589 2229,473 366 2932 2229 4589,1.33984 0.489014 0.140137 0.0414734 0.0135803
11,595,1,ablation,10.0,0.20458984375,0.88330078125,0.1871337890625,0.040283203125,0.0413818359375,0.4140625,0.08582995951415225,2758 4052 919 473 878 366 2932 2215 4589 2229,473 366 2932 4589 2229,473 366 2932 2229 4589,1.28418 0.32373 0.195557 0.0543518 0.0139389
12,562,1,ablation,10.0,0.192138671875,0.884765625,0.17431640625,0.03753662109375,0.03863525390625,0.386474609375,0.07985270379336526,2758 4052 919 473 878 366 2932 2215 4589 2229,473 366 2932 4589 2229,473 366 2932 2229 4589,1.125 0.303711 0.230835 0.0610657 0.022522
13,529,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
14,496,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
15,463,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
16,430,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
17,397,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
18,364,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
19,331,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
20,298,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
21,265,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
22,232,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
23,199,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
24,166,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
25,133,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
26,100,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
27,67,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
28,34,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
29,1,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
