step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,1,ablation,3.8669053670013387,1.07421875,1.2958984375,2.470703125,0.44873046875,0.4462890625,1.7255859375,0.623940677965876,5014 2128 653 3112 4451 1176 279 2045 1498 4984,5014 2128 653 1176 279 2045 1498 4984,2128 5014 1176 279 653,10.2344 9.78125 1.99707 1.37207 0.524902
1,925,1,ablation,3.8669053670013387,0.93017578125,1.6201171875,2.41015625,0.444580078125,0.4404296875,1.703125,0.6005509641871161,5014 2128 653 3112 4451 1176 279 2045 1498 4984,5014 2128 653 3112 4451 1176 279 2045 1498 4984,2128 5014 1176 279 4984,11.7188 8.3125 1.39746 1.22754 0.442139
2,892,1,ablation,3.8669053670013387,0.391357421875,1.732421875,1.1064453125,0.214599609375,0.2135009765625,0.82568359375,0.2827759197323446,5014 2128 653 3112 4451 1176 279 2045 1498 4984,5014 2128 653 4451 1176 279 2045 1498 4984,2128 5014 279 1498 4984,6.91797 2.75195 0.647461 0.441895 0.174561
3,859,1,ablation,3.8669053670013387,0.263671875,1.810546875,0.67236328125,0.1331787109375,0.133544921875,0.51611328125,0.173620236530822,5014 2128 653 3112 4451 1176 279 2045 1498 4984,5014 2128 653 4451 279 2045 1498 4984,2128 5014 1498 279 4984,4.32812 0.981445 0.67627 0.508301 0.180786
4,826,0,ablation,3.8669053670013387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
5,793,0,ablation,3.8669053670013387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
6,760,0,ablation,3.8669053670013387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
7,727,0,ablation,3.8669053670013387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
8,694,0,ablation,3.8669053670013387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
9,661,0,ablation,3.8669053670013387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
10,628,0,ablation,3.8669053670013387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
11,595,0,ablation,3.8669053670013387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
12,562,0,ablation,3.8669053670013387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
13,529,0,ablation,3.8669053670013387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
14,496,0,ablation,3.8669053670013387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
15,463,0,ablation,3.8669053670013387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
16,430,0,ablation,3.8669053670013387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
17,397,0,ablation,3.8669053670013387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
18,364,0,ablation,3.8669053670013387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
19,331,0,ablation,3.8669053670013387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
20,298,0,ablation,3.8669053670013387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
21,265,0,ablation,3.8669053670013387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
22,232,0,ablation,3.8669053670013387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
23,199,0,ablation,3.8669053670013387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
24,166,0,ablation,3.8669053670013387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
25,133,0,ablation,3.8669053670013387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
26,100,0,ablation,3.8669053670013387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
27,67,0,ablation,3.8669053670013387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
28,34,0,ablation,3.8669053670013387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
29,1,0,ablation,3.8669053670013387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
