step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,1,ablation,10.0,0.1082763671875,0.2177734375,0.03900146484375,0.00852203369140625,0.0087127685546875,0.08709716796875,0.01974922497785203,2758 4052 919 473 878 366 2932 2215 4589 2229,473 366,473 366 919 4052 2758,0.385254 0.00481415 0 0 0
1,925,1,ablation,10.0,0.196044921875,0.4482421875,0.12744140625,0.0277252197265625,0.027862548828125,0.278564453125,0.060846843003399674,2758 4052 919 473 878 366 2932 2215 4589 2229,473 366 2932,473 366 2932 4052 2758,1.19238 0.0759277 0.00588226 0 0
2,892,1,ablation,10.0,0.2274169921875,0.56787109375,0.154052734375,0.03350830078125,0.034454345703125,0.344482421875,0.07769823788544503,2758 4052 919 473 878 366 2932 2215 4589 2229,473 366 2932,473 366 2932 4052 2758,1.41113 0.103271 0.0260925 0 0
3,859,1,ablation,10.0,0.2440185546875,0.7197265625,0.188232421875,0.040985107421875,0.042388916015625,0.423828125,0.09492563429569177,2758 4052 919 473 878 366 2932 2215 4589 2229,473 366 2932 2229,473 366 2932 2229 2758,1.48438 0.343506 0.050354 0.00484467 0
4,826,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
5,793,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
6,760,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
7,727,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
8,694,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
9,661,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
10,628,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
11,595,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
12,562,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
13,529,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
14,496,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
15,463,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
16,430,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
17,397,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
18,364,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
19,331,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
20,298,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
21,265,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
22,232,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
23,199,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
24,166,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
25,133,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
26,100,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
27,67,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
28,34,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
29,1,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
