step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,1,ablation,5.129960574384624,0.0,0.443603515625,0.0,0.0,0.0,0.0,0.0,2187 722 3964 1000 1797 2314 2703 4664 3347 1665,,722 2187 3964 1797 1000,0 0 0 0 0
1,925,1,ablation,5.129960574384624,0.0247650146484375,0.736328125,0.00597381591796875,0.001251220703125,0.0012941360473632812,0.006641387939453125,0.0019441913236129243,2187 722 3964 1000 1797 2314 2703 4664 3347 1665,722 3347,722 3347 1000 3964 2187,0.0560303 0.00369644 0 0 0
2,892,1,ablation,5.129960574384624,0.09747314453125,0.94677734375,0.05023193359375,0.01043701171875,0.010528564453125,0.05401611328125,0.015296598451323102,2187 722 3964 1000 1797 2314 2703 4664 3347 1665,2187 722 3347,722 3347 2187 1000 3964,0.33667 0.150635 0.0151062 0 0
3,859,1,ablation,5.129960574384624,0.1551513671875,1.1396484375,0.1287841796875,0.0267181396484375,0.027252197265625,0.1397705078125,0.03798434182589201,2187 722 3964 1000 1797 2314 2703 4664 3347 1665,722 3347,722 3347 1000 3964 2187,0.818359 0.469238 0 0 0
4,826,0,ablation,5.129960574384624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
5,793,0,ablation,5.129960574384624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
6,760,0,ablation,5.129960574384624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
7,727,0,ablation,5.129960574384624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
8,694,0,ablation,5.129960574384624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
9,661,0,ablation,5.129960574384624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
10,628,0,ablation,5.129960574384624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
11,595,0,ablation,5.129960574384624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
12,562,0,ablation,5.129960574384624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
13,529,0,ablation,5.129960574384624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
14,496,0,ablation,5.129960574384624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
15,463,0,ablation,5.129960574384624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
16,430,0,ablation,5.129960574384624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
17,397,0,ablation,5.129960574384624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
18,364,0,ablation,5.129960574384624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
19,331,0,ablation,5.129960574384624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
20,298,0,ablation,5.129960574384624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
21,265,0,ablation,5.129960574384624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
22,232,0,ablation,5.129960574384624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
23,199,0,ablation,5.129960574384624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
24,166,0,ablation,5.129960574384624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
25,133,0,ablation,5.129960574384624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
26,100,0,ablation,5.129960574384624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
27,67,0,ablation,5.129960574384624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
28,34,0,ablation,5.129960574384624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
29,1,0,ablation,5.129960574384624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
