step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,0,ablation,3.9538925017914344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
1,925,0,ablation,3.9538925017914344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
2,892,0,ablation,3.9538925017914344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
3,859,0,ablation,3.9538925017914344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
4,826,0,ablation,3.9538925017914344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
5,793,0,ablation,3.9538925017914344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
6,760,0,ablation,3.9538925017914344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
7,727,0,ablation,3.9538925017914344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
8,694,0,ablation,3.9538925017914344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
9,661,0,ablation,3.9538925017914344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
10,628,0,ablation,3.9538925017914344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
11,595,0,ablation,3.9538925017914344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
12,562,0,ablation,3.9538925017914344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
13,529,1,ablation,3.9538925017914344,0.017333984375,2.056640625,0.04058837890625,0.0088958740234375,0.0094146728515625,0.0372314453125,0.007510835303386979,2072 1217 2590 4273 1202 362 1420 4491 4156 1823,2590,2590 4273 2072 1202 1217,0.406006 0 0 0 0
14,496,1,ablation,3.9538925017914344,0.063232421875,2.033203125,0.148193359375,0.032470703125,0.033843994140625,0.1337890625,0.027576489533005587,2072 1217 2590 4273 1202 362 1420 4491 4156 1823,2590,2590 4273 2072 1202 1217,1.48242 0 0 0 0
15,463,1,ablation,3.9538925017914344,0.06671142578125,2.009765625,0.157470703125,0.03448486328125,0.0323486328125,0.1279296875,0.02768385460692554,2072 1217 2590 4273 1202 362 1420 4491 4156 1823,2590,2590 4273 2072 1202 1217,1.57422 0 0 0 0
16,430,1,ablation,3.9538925017914344,0.07366943359375,1.9814453125,0.17431640625,0.0382080078125,0.035888671875,0.141845703125,0.030983361774737258,2072 1217 2590 4273 1202 362 1420 4491 4156 1823,2590,2590 4273 2072 1202 1217,1.74414 0 0 0 0
17,397,1,ablation,3.9538925017914344,0.0662841796875,1.953125,0.156982421875,0.034393310546875,0.032257080078125,0.1275634765625,0.028372067767152682,2072 1217 2590 4273 1202 362 1420 4491 4156 1823,2590,2590 4273 2072 1202 1217,1.57031 0 0 0 0
18,364,1,ablation,3.9538925017914344,0.053436279296875,1.923828125,0.12646484375,0.0277099609375,0.0261077880859375,0.10321044921875,0.023299713403874812,2072 1217 2590 4273 1202 362 1420 4491 4156 1823,2590,2590 4273 2072 1202 1217,1.26465 0 0 0 0
19,331,1,ablation,3.9538925017914344,0.0545654296875,1.89453125,0.12890625,0.028228759765625,0.0267181396484375,0.10565185546875,0.024127453166809833,2072 1217 2590 4273 1202 362 1420 4491 4156 1823,2590,2590 4273 2072 1202 1217,1.28906 0 0 0 0
20,298,1,ablation,3.9538925017914344,0.05584716796875,1.8583984375,0.131103515625,0.028717041015625,0.0273590087890625,0.10821533203125,0.025002820397106135,2072 1217 2590 4273 1202 362 1420 4491 4156 1823,2590,2590 4273 2072 1202 1217,1.31055 0 0 0 0
21,265,1,ablation,3.9538925017914344,0.03192138671875,1.8203125,0.07440185546875,0.01629638671875,0.0156402587890625,0.061798095703125,0.014356000453717172,2072 1217 2590 4273 1202 362 1420 4491 4156 1823,2590,2590 4273 2072 1202 1217,0.744141 0 0 0 0
22,232,1,ablation,3.9538925017914344,0.034027099609375,1.7822265625,0.07916259765625,0.0173492431640625,0.016998291015625,0.06719970703125,0.01566769125682695,2072 1217 2590 4273 1202 362 1420 4491 4156 1823,2590,2590 4273 2072 1202 1217,0.791992 0 0 0 0
23,199,1,ablation,3.9538925017914344,0.0200042724609375,1.740234375,0.046295166015625,0.0101470947265625,0.01019287109375,0.040313720703125,0.009450835622708407,2072 1217 2590 4273 1202 362 1420 4491 4156 1823,2590,2590 4273 2072 1202 1217,0.462891 0 0 0 0
24,166,1,ablation,3.9538925017914344,0.01483154296875,1.69140625,0.034088134765625,0.00746917724609375,0.00769805908203125,0.0304412841796875,0.00714951261467722,2072 1217 2590 4273 1202 362 1420 4491 4156 1823,2590,2590 4273 2072 1202 1217,0.341064 0 0 0 0
25,133,1,ablation,3.9538925017914344,0.01213836669921875,1.638671875,0.0275726318359375,0.006038665771484375,0.006359100341796875,0.025146484375,0.005927716390422175,2072 1217 2590 4273 1202 362 1420 4491 4156 1823,2590,2590 4273 2072 1202 1217,0.275635 0 0 0 0
26,100,1,ablation,3.9538925017914344,0.006671905517578125,1.5751953125,0.01483154296875,0.0032501220703125,0.0032711029052734375,0.012939453125,0.0030586334256687137,2072 1217 2590 4273 1202 362 1420 4491 4156 1823,2590,2590 4273 2072 1202 1217,0.148315 0 0 0 0
27,67,1,ablation,3.9538925017914344,0.005664825439453125,1.501953125,0.0124359130859375,0.00272369384765625,0.0027065277099609375,0.01070404052734375,0.002546686222118353,2072 1217 2590 4273 1202 362 1420 4491 4156 1823,2590,2590 4273 2072 1202 1217,0.12439 0 0 0 0
28,34,1,ablation,3.9538925017914344,0.00839996337890625,1.38671875,0.01776123046875,0.0038928985595703125,0.00384521484375,0.01520538330078125,0.0036722435141500562,2072 1217 2590 4273 1202 362 1420 4491 4156 1823,2590,2590 4273 2072 1202 1217,0.177612 0 0 0 0
29,1,1,ablation,3.9538925017914344,0.0,0.96923828125,0.0,0.0,0.0,0.0,0.0,2072 1217 2590 4273 1202 362 1420 4491 4156 1823,,1217 2072 2590 1202 4273,0 0 0 0 0
