step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,0,ablation,3.9538925017914344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
1,925,0,ablation,3.9538925017914344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
2,892,0,ablation,3.9538925017914344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
3,859,0,ablation,3.9538925017914344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
4,826,1,ablation,3.9538925017914344,0.0008673667907714844,2.119140625,0.0015668869018554688,0.00034737586975097656,0.00032782554626464844,0.0012960433959960938,0.00026952649015022826,2072 1217 2590 4273 1202 362 1420 4491 4156 1823,4273,4273 2590 2072 1202 1217,0.0156708 0 0 0 0
5,793,1,ablation,3.9538925017914344,0.0009899139404296875,2.142578125,0.0018768310546875,0.00041604042053222656,0.0003972053527832031,0.0015707015991210938,0.00034047384367054433,2072 1217 2590 4273 1202 362 1420 4491 4156 1823,4273,4273 2590 2072 1202 1217,0.0187683 0 0 0 0
6,760,1,ablation,3.9538925017914344,0.000957489013671875,2.142578125,0.002063751220703125,0.00045228004455566406,0.0004296302795410156,0.0016984939575195312,0.0003844513290229015,2072 1217 2590 4273 1202 362 1420 4491 4156 1823,2590,2590 4273 2072 1202 1217,0.0206451 0 0 0 0
7,727,1,ablation,3.9538925017914344,0.0,2.1328125,0.0,0.0,0.0,0.0,0.0,2072 1217 2590 4273 1202 362 1420 4491 4156 1823,,1217 2072 2590 1202 4273,0 0 0 0 0
8,694,1,ablation,3.9538925017914344,0.0,2.138671875,0.0,0.0,0.0,0.0,0.0,2072 1217 2590 4273 1202 362 1420 4491 4156 1823,,1217 2072 2590 1202 4273,0 0 0 0 0
9,661,1,ablation,3.9538925017914344,0.0013971328735351562,2.126953125,0.003185272216796875,0.000698089599609375,0.0007309913635253906,0.0028896331787109375,0.0006344306121353667,2072 1217 2590 4273 1202 362 1420 4491 4156 1823,2590,2590 4273 2072 1202 1217,0.0318604 0 0 0 0
10,628,1,ablation,3.9538925017914344,0.004058837890625,2.109375,0.00930023193359375,0.00203704833984375,0.0019931793212890625,0.00788116455078125,0.0017127148769096447,2072 1217 2590 4273 1202 362 1420 4491 4156 1823,2590,2590 4273 2072 1202 1217,0.0929565 0 0 0 0
11,595,1,ablation,3.9538925017914344,0.00307464599609375,2.08984375,0.007061004638671875,0.0015468597412109375,0.0015048980712890625,0.005950927734375,0.0012877747252744466,2072 1217 2590 4273 1202 362 1420 4491 4156 1823,2590,2590 4273 2072 1202 1217,0.0706177 0 0 0 0
12,562,1,ablation,3.9538925017914344,0.003124237060546875,2.076171875,0.00725555419921875,0.0015897750854492188,0.0015459060668945312,0.006114959716796875,0.0013210377109701787,2072 1217 2590 4273 1202 362 1420 4491 4156 1823,2590,2590 4273 2072 1202 1217,0.0725098 0 0 0 0
13,529,0,ablation,3.9538925017914344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
14,496,0,ablation,3.9538925017914344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
15,463,0,ablation,3.9538925017914344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
16,430,0,ablation,3.9538925017914344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
17,397,0,ablation,3.9538925017914344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
18,364,0,ablation,3.9538925017914344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
19,331,0,ablation,3.9538925017914344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
20,298,0,ablation,3.9538925017914344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
21,265,0,ablation,3.9538925017914344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
22,232,0,ablation,3.9538925017914344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
23,199,0,ablation,3.9538925017914344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
24,166,0,ablation,3.9538925017914344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
25,133,0,ablation,3.9538925017914344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
26,100,0,ablation,3.9538925017914344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
27,67,0,ablation,3.9538925017914344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
28,34,0,ablation,3.9538925017914344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
29,1,0,ablation,3.9538925017914344,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
