step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,1,ablation,4.469025728723073,0.9775390625,0.56689453125,1.125,0.215576171875,0.2166748046875,0.96826171875,0.35691144708410166,1619 1980 9 1028 4034 2230 4114 4876 1664 1022,1619 1980 9 1028 2230 4114 1664 1022,1664 1980 2230 1022 1619,5.60156 4.95312 0.444336 0.196411 0.0319214
1,925,1,ablation,4.469025728723073,0.98974609375,0.658203125,1.2626953125,0.25,0.2509765625,1.1220703125,0.39951321279540714,1619 1980 9 1028 4034 2230 4114 4876 1664 1022,1619 1980 9 1028 2230 4114 1664 1022,1980 1664 2230 1022 1619,7.03125 4.88281 0.291748 0.291016 0.0697632
2,892,1,ablation,4.469025728723073,0.92822265625,0.705078125,1.1865234375,0.23876953125,0.240234375,1.0732421875,0.37818306951122255,1619 1980 9 1028 4034 2230 4114 4876 1664 1022,1619 1980 9 1028 2230 4114 1664 1022,1980 1664 2230 1022 1619,7.51562 3.7168 0.264404 0.22583 0.0802002
3,859,1,ablation,4.469025728723073,0.80908203125,0.7392578125,0.990234375,0.2005615234375,0.20166015625,0.90087890625,0.318762957843702,1619 1980 9 1028 4034 2230 4114 4876 1664 1022,1619 1980 1028 2230 4114 1664 1022,1980 1664 2230 1022 1619,6.86328 2.55078 0.225342 0.131592 0.0817261
4,826,1,ablation,4.469025728723073,0.828125,0.76318359375,1.0224609375,0.2099609375,0.2117919921875,0.94677734375,0.33179329226545523,1619 1980 9 1028 4034 2230 4114 4876 1664 1022,1619 1980 1028 2230 4114 1664 1022,1980 1664 2230 1619 1022,7.69531 1.97949 0.22937 0.120361 0.110168
5,793,1,ablation,4.469025728723073,0.7880859375,0.77099609375,0.9814453125,0.20166015625,0.203857421875,0.9111328125,0.31843003412958154,1619 1980 9 1028 4034 2230 4114 4876 1664 1022,1619 1980 1028 2230 4114 1664 1022,1980 1664 2230 1619 1028,7.57422 1.57227 0.255615 0.212402 0.0758667
6,760,1,ablation,4.469025728723073,0.63916015625,0.783203125,0.802734375,0.1656494140625,0.1669921875,0.74609375,0.2616438356163466,1619 1980 9 1028 4034 2230 4114 4876 1664 1022,1619 1980 9 1028 2230 4114 1664 1022,1980 1664 2230 1619 1028,6.17188 1.33301 0.216919 0.174316 0.0610657
7,727,1,ablation,4.469025728723073,0.343505859375,0.7861328125,0.43505859375,0.08905029296875,0.09002685546875,0.40234375,0.14236351071176717,1619 1980 9 1028 4034 2230 4114 4876 1664 1022,1619 1980 1028 2230 4114 1664,1980 1664 2230 1619 4114,3.36914 0.624512 0.193848 0.0802612 0.0643311
8,694,1,ablation,4.469025728723073,0.2666015625,0.779296875,0.2880859375,0.0570068359375,0.058135986328125,0.259765625,0.09128345916263092,1619 1980 9 1028 4034 2230 4114 4876 1664 1022,1619 1980 2230 4114 1664,1980 1664 2230 4114 1619,2.04297 0.544922 0.225342 0.0467834 0.0207672
9,661,1,ablation,4.469025728723073,0.23779296875,0.77734375,0.2332763671875,0.04559326171875,0.046417236328125,0.20751953125,0.07218070652171402,1619 1980 9 1028 4034 2230 4114 4876 1664 1022,1619 1980 2230 4114 1664,1980 1664 2230 4114 1619,1.55371 0.502441 0.218872 0.034729 0.0235138
10,628,1,ablation,4.469025728723073,0.221435546875,0.77392578125,0.196044921875,0.038421630859375,0.038909912109375,0.173828125,0.05997304582208173,1619 1980 9 1028 4034 2230 4114 4876 1664 1022,1619 1980 2230 4114 1664,1980 1664 2230 4114 1619,1.20801 0.482422 0.222778 0.0240479 0.0239258
11,595,1,ablation,4.469025728723073,0.2166748046875,0.76806640625,0.1832275390625,0.035736083984375,0.035888671875,0.160400390625,0.05482309746326564,1619 1980 9 1028 4034 2230 4114 4876 1664 1022,1619 1980 2230 4114 1664 1022,1980 1664 2230 1619 4114,1.12305 0.443359 0.217896 0.0254364 0.0207977
12,562,1,ablation,4.469025728723073,0.213623046875,0.76318359375,0.173095703125,0.03399658203125,0.033935546875,0.151611328125,0.05137326273988994,1619 1980 9 1028 4034 2230 4114 4876 1664 1022,1619 1980 2230 4114 1664 1022,1980 1664 2230 1619 4114,1.05566 0.414307 0.216919 0.0256958 0.016861
13,529,0,ablation,4.469025728723073,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
14,496,0,ablation,4.469025728723073,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
15,463,0,ablation,4.469025728723073,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
16,430,0,ablation,4.469025728723073,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
17,397,0,ablation,4.469025728723073,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
18,364,0,ablation,4.469025728723073,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
