step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,1,ablation,6.551299227372482,0.0882568359375,0.14599609375,0.03265380859375,0.007045745849609375,0.007244110107421875,0.047454833984375,0.011692432627523586,2766 3866 3044 2091 1546 1030 1711 2717 4601,3044 1711,1711 3044 3866 4009 2766,0.314697 0.0117493 0 0 0
1,925,1,ablation,6.551299227372482,0.09271240234375,0.28076171875,0.0194244384765625,0.00418853759765625,0.00420379638671875,0.0275421142578125,0.006398168103446789,2766 4009 3866 3044 2091 1546 1030 1711 2717 4601,3044 1711,1711 3044 3866 4009 2766,0.191284 0.00296211 0 0 0
2,892,1,ablation,6.551299227372482,0.09942626953125,0.4189453125,0.0284576416015625,0.00605010986328125,0.006183624267578125,0.040496826171875,0.00928127797672124,2766 4009 3866 3044 2091 1546 1030 1711 2717 4601,4009 3044 1711,1711 4009 3044 3866 2766,0.263672 0.0169067 0.00406647 0 0
3,859,1,ablation,6.551299227372482,0.09527587890625,0.446533203125,0.0268707275390625,0.005767822265625,0.005889892578125,0.03857421875,0.008952855847686046,2766 4009 3866 3044 2091 1546 1030 1711 2717 4601,4009 3044 1711 2717,1711 4009 3044 2717 2766,0.249023 0.0153809 0.00311279 0.00115776 0
4,826,1,ablation,6.551299227372482,0.10333251953125,0.47119140625,0.026763916015625,0.005748748779296875,0.00582122802734375,0.03814697265625,0.008742726051922795,2766 4009 3866 3044 2091 1546 1030 1711 2717 4601,4009 1711 2717,1711 4009 2717 3866 2766,0.252441 0.0127258 0.00252724 0 0
5,793,1,ablation,6.551299227372482,0.09149169921875,0.51123046875,0.0304412841796875,0.00643157958984375,0.006542205810546875,0.042877197265625,0.009774321015135794,2766 4009 3866 3044 2091 1546 1030 1711 2717 4601,4009 1711,1711 4009 3044 3866 2766,0.234009 0.0704956 0 0 0
6,760,1,ablation,6.551299227372482,0.1270751953125,0.568359375,0.065185546875,0.0134429931640625,0.013427734375,0.08795166015625,0.020157229185313194,2766 4009 3866 3044 2091 1546 1030 1711 2717 4601,4009 1546 1711,4009 1546 1711 3866 2766,0.294922 0.224731 0.132446 0 0
7,727,1,ablation,6.551299227372482,0.2210693359375,0.619140625,0.13623046875,0.027740478515625,0.0276336669921875,0.1810302734375,0.04197803442028012,2766 4009 3866 3044 2091 1546 1030 1711 2717 4601,2766 4009 3044 1546 1711,1546 4009 1711 2766 3044,0.611816 0.602051 0.120789 0.0189667 0.00883484
8,694,1,ablation,6.551299227372482,0.335205078125,0.642578125,0.2418212890625,0.047637939453125,0.047698974609375,0.3125,0.07174887892375034,2766 4009 3866 3044 2091 1546 1030 1711 2717 4601,2766 4009 3044 1546 1711 4601,1546 4009 2766 1711 4601,0.893066 0.870117 0.51123 0.116211 0.0169983
9,661,1,ablation,6.551299227372482,0.36767578125,0.6650390625,0.290283203125,0.0567626953125,0.05682373046875,0.372314453125,0.08472222222220294,2766 4009 3866 3044 2091 1546 1030 1711 2717 4601,2766 4009 1546 1711 2717 4601,4009 1546 2766 1711 4601,1.12402 0.891602 0.753906 0.0968018 0.028595
