step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,1,ablation,6.551299227372482,0.0882568359375,0.14599609375,0.03265380859375,0.007045745849609375,0.007244110107421875,0.047454833984375,0.011692432627523586,2766 3866 3044 2091 1546 1030 1711 2717 4601,3044 1711,1711 3044 3866 4009 2766,0.314697 0.0117493 0 0 0
1,925,1,ablation,6.551299227372482,0.09271240234375,0.28076171875,0.0194244384765625,0.00418853759765625,0.00420379638671875,0.0275421142578125,0.006398168103446789,2766 4009 3866 3044 2091 1546 1030 1711 2717 4601,3044 1711,1711 3044 3866 4009 2766,0.191284 0.00296211 0 0 0
2,892,1,ablation,6.551299227372482,0.09942626953125,0.4189453125,0.0284576416015625,0.00605010986328125,0.006183624267578125,0.040496826171875,0.00928127797672124,2766 4009 3866 3044 2091 1546 1030 1711 2717 4601,4009 3044 1711,1711 4009 3044 3866 2766,0.263672 0.0169067 0.00406647 0 0
3,859,1,ablation,6.551299227372482,0.09527587890625,0.446533203125,0.0268707275390625,0.005767822265625,0.005889892578125,0.03857421875,0.008952855847686046,2766 4009 3866 3044 2091 1546 1030 1711 2717 4601,4009 3044 1711 2717,1711 4009 3044 2717 2766,0.249023 0.0153809 0.00311279 0.00115776 0
4,826,0,ablation,6.551299227372482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
5,793,0,ablation,6.551299227372482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
6,760,0,ablation,6.551299227372482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
7,727,0,ablation,6.551299227372482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
8,694,0,ablation,6.551299227372482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
9,661,0,ablation,6.551299227372482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
10,628,0,ablation,6.551299227372482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
11,595,0,ablation,6.551299227372482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
12,562,0,ablation,6.551299227372482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
13,529,0,ablation,6.551299227372482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
14,496,0,ablation,6.551299227372482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
15,463,0,ablation,6.551299227372482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
16,430,0,ablation,6.551299227372482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
17,397,0,ablation,6.551299227372482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
18,364,0,ablation,6.551299227372482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
19,331,0,ablation,6.551299227372482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
20,298,0,ablation,6.551299227372482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
21,265,0,ablation,6.551299227372482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
22,232,0,ablation,6.551299227372482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
23,199,0,ablation,6.551299227372482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
24,166,0,ablation,6.551299227372482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
25,133,0,ablation,6.551299227372482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
26,100,0,ablation,6.551299227372482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
27,67,0,ablation,6.551299227372482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
28,34,0,ablation,6.551299227372482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
29,1,0,ablation,6.551299227372482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
