step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,1,ablation,5.131130338534913,0.06988525390625,0.2154541015625,0.0240478515625,0.004604339599609375,0.004688262939453125,0.0240631103515625,0.008268666107379708,4197 4296 4573 3997 3347 2673 4922 3553 2547,4197 4296 3347 2673 3553 2547,4197 2673 2547 3553 4296,0.0976562 0.0914307 0.0477295 0.0020256 0.00137329
1,925,1,ablation,5.131130338534913,0.1446533203125,0.335693359375,0.0811767578125,0.016448974609375,0.016937255859375,0.0869140625,0.028635778635769202,4197 4296 722 4573 3997 3347 2673 4922 3553 2547,4197 4296 2673 3553 2547,2673 4296 3553 2547 4197,0.364014 0.250488 0.154419 0.0282593 0.0142899
2,892,1,ablation,5.131130338534913,0.125732421875,0.41748046875,0.0770263671875,0.01617431640625,0.016632080078125,0.08538818359375,0.0275133731906771,4197 4296 722 4573 3997 3347 2673 4922 3553 2547,4197 4296 2673 3553 2547,2673 3553 4296 4197 2547,0.44751 0.21167 0.0778809 0.0180206 0.0153961
3,859,1,ablation,5.131130338534913,0.14404296875,0.488037109375,0.09051513671875,0.01922607421875,0.0197601318359375,0.10137939453125,0.032300093341620074,4197 4296 722 4573 3997 3347 2673 4922 3553 2547,4197 3347 2673 3553 2547,2673 3553 4197 2547 3347,0.54248 0.300049 0.0471497 0.0114822 0.00370216
4,826,0,ablation,5.131130338534913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
5,793,0,ablation,5.131130338534913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
6,760,0,ablation,5.131130338534913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
7,727,0,ablation,5.131130338534913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
8,694,0,ablation,5.131130338534913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
9,661,0,ablation,5.131130338534913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
10,628,0,ablation,5.131130338534913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
11,595,0,ablation,5.131130338534913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
12,562,0,ablation,5.131130338534913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
13,529,0,ablation,5.131130338534913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
14,496,0,ablation,5.131130338534913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
15,463,0,ablation,5.131130338534913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
16,430,0,ablation,5.131130338534913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
17,397,0,ablation,5.131130338534913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
18,364,0,ablation,5.131130338534913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
19,331,0,ablation,5.131130338534913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
20,298,0,ablation,5.131130338534913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
21,265,0,ablation,5.131130338534913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
22,232,0,ablation,5.131130338534913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
23,199,0,ablation,5.131130338534913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
24,166,0,ablation,5.131130338534913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
25,133,0,ablation,5.131130338534913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
26,100,0,ablation,5.131130338534913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
27,67,0,ablation,5.131130338534913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
28,34,0,ablation,5.131130338534913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
29,1,0,ablation,5.131130338534913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
