step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,0,ablation,4.469025728723073,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
1,925,0,ablation,4.469025728723073,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
2,892,0,ablation,4.469025728723073,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
3,859,0,ablation,4.469025728723073,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
4,826,0,ablation,4.469025728723073,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
5,793,0,ablation,4.469025728723073,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
6,760,0,ablation,4.469025728723073,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
7,727,0,ablation,4.469025728723073,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
8,694,0,ablation,4.469025728723073,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
9,661,0,ablation,4.469025728723073,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
10,628,0,ablation,4.469025728723073,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
11,595,0,ablation,4.469025728723073,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
12,562,0,ablation,4.469025728723073,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
13,529,1,ablation,4.469025728723073,1.0283203125,0.7568359375,1.1787109375,0.213134765625,0.217529296875,0.97216796875,0.3142361111110095,1619 1980 9 1028 4034 2230 4114 4876 1664 1022,1619 1980 9 1028 2230 4114 1664 1022,1980 1619 9 1664 2230,5.48047 3.82227 0.670898 0.640137 0.581055
14,496,1,ablation,4.469025728723073,1.0380859375,0.7470703125,1.1630859375,0.208251953125,0.2139892578125,0.9560546875,0.3074748743717604,1619 1980 9 1028 4034 2230 4114 4876 1664 1022,1619 1980 9 1028 4034 2230 4114 1664 1022,1980 1619 9 1028 1664,4.53906 4.37891 0.918945 0.612305 0.589844
15,463,1,ablation,4.469025728723073,0.95751953125,0.7275390625,1.0341796875,0.1839599609375,0.1893310546875,0.84619140625,0.27145989974928636,1619 1980 9 1028 4034 2230 4114 4876 1664 1022,1619 1980 9 1028 2230 4114 1664 1022,1619 1980 9 1028 1664,4.125 3.69336 0.897949 0.615234 0.501465
16,430,1,ablation,4.469025728723073,0.880859375,0.71337890625,0.919921875,0.1629638671875,0.1676025390625,0.7490234375,0.23923892701177635,1619 1980 9 1028 4034 2230 4114 4876 1664 1022,1619 1980 9 1028 2230 4114 1664 1022,1619 1980 9 1028 1664,3.79492 3.04102 0.876953 0.535156 0.46167
17,397,1,ablation,4.469025728723073,0.869140625,0.6953125,0.869140625,0.153564453125,0.1578369140625,0.705078125,0.2236679058239687,1619 1980 9 1028 4034 2230 4114 4876 1664 1022,1619 1980 9 1028 2230 4114 1664 1022,1619 1980 9 1028 2230,3.68359 2.67188 0.884766 0.487305 0.484131
18,364,1,ablation,4.469025728723073,0.857421875,0.6796875,0.8515625,0.1505126953125,0.15478515625,0.69140625,0.21731123388575121,1619 1980 9 1028 4034 2230 4114 4876 1664 1022,1619 1980 9 1028 2230 4114 1664 1022,1619 1980 9 2230 1028,3.875 2.38477 0.874512 0.478027 0.472168
19,331,1,ablation,4.469025728723073,0.81787109375,0.6630859375,0.80908203125,0.14306640625,0.1470947265625,0.6572265625,0.20518292682920422,1619 1980 9 1028 4034 2230 4114 4876 1664 1022,1619 1980 9 1028 2230 4114 1664 1022,1619 1980 9 2230 1028,3.88086 2.09961 0.880859 0.450928 0.405762
20,298,1,ablation,4.469025728723073,0.7939453125,0.64453125,0.7802734375,0.1383056640625,0.1422119140625,0.6357421875,0.19727272727266607,1619 1980 9 1028 4034 2230 4114 4876 1664 1022,1619 1980 9 1028 2230 4114 1664,1619 1980 9 2230 1028,3.93164 1.86914 0.874512 0.442627 0.372803
21,265,1,ablation,4.469025728723073,0.73583984375,0.626953125,0.72265625,0.12890625,0.1326904296875,0.5927734375,0.18283132530114843,1619 1980 9 1028 4034 2230 4114 4876 1664 1022,1619 1980 9 1028 2230 4114 1664,1619 1980 9 2230 1028,3.81055 1.59277 0.844727 0.425781 0.309326
22,232,1,ablation,4.469025728723073,0.6591796875,0.607421875,0.6513671875,0.116943359375,0.12054443359375,0.53857421875,0.1651197604789913,1619 1980 9 1028 4034 2230 4114 4876 1664 1022,1619 1980 9 1028 2230 4114 1664,1619 1980 9 2230 1028,3.62695 1.32129 0.740234 0.403809 0.253174
23,199,1,ablation,4.469025728723073,0.60009765625,0.5869140625,0.59228515625,0.10693359375,0.11016845703125,0.4921875,0.14991076740031126,1619 1980 9 1028 4034 2230 4114 4876 1664 1022,1619 1980 9 1028 2230 4114 1664,1619 1980 9 2230 1028,3.42188 1.05762 0.708984 0.425781 0.198853
24,166,1,ablation,4.469025728723073,0.5576171875,0.56640625,0.54052734375,0.09796142578125,0.100830078125,0.45068359375,0.1364577173269841,1619 1980 9 1028 4034 2230 4114 4876 1664 1022,1619 1980 9 1028 2230 4114 1664,1619 1980 9 2230 1028,3.17188 0.880859 0.660156 0.440918 0.175293
25,133,1,ablation,4.469025728723073,0.525390625,0.5439453125,0.50146484375,0.09173583984375,0.0943603515625,0.421875,0.12683499706396656,1619 1980 9 1028 4034 2230 4114 4876 1664 1022,1619 1980 9 1028 2230 4114 4876 1664,1619 1980 9 2230 1028,2.99414 0.79541 0.581055 0.443359 0.148071
26,100,1,ablation,4.469025728723073,0.482421875,0.51904296875,0.455810546875,0.083984375,0.08636474609375,0.385986328125,0.1152332361515691,1619 1980 9 1028 4034 2230 4114 4876 1664 1022,1619 1980 9 1028 2230 4114 4876 1664,1619 1980 9 2230 1028,2.80273 0.720215 0.486328 0.389648 0.116211
27,67,1,ablation,4.469025728723073,0.4443359375,0.487548828125,0.4091796875,0.076171875,0.0782470703125,0.349853515625,0.1036603009258952,1619 1980 9 1028 4034 2230 4114 4876 1664 1022,1619 1980 9 1028 2230 4114 4876 1664,1619 1980 9 2230 1028,2.62305 0.621582 0.394287 0.327393 0.0918579
28,34,1,ablation,4.469025728723073,0.395263671875,0.44873046875,0.354248046875,0.06646728515625,0.06817626953125,0.304443359375,0.08958333333330697,1619 1980 9 1028 4034 2230 4114 4876 1664 1022,1619 1980 9 1028 2230 4114 4876 1664,1619 1980 9 2230 1028,2.375 0.530273 0.307617 0.227661 0.0737305
29,1,1,ablation,4.469025728723073,0.26708984375,0.3125,0.2117919921875,0.040374755859375,0.0413818359375,0.1849365234375,0.055114959254931185,1619 1980 9 1028 4034 2230 4114 4876 1664 1022,1619 1980 9 1028 2230 4876 1664,1619 1980 9 2230 1028,1.59082 0.304688 0.13855 0.0546875 0.0254822
