step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,0,ablation,5.131130338534913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
1,925,0,ablation,5.131130338534913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
2,892,0,ablation,5.131130338534913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
3,859,0,ablation,5.131130338534913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
4,826,0,ablation,5.131130338534913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
5,793,0,ablation,5.131130338534913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
6,760,0,ablation,5.131130338534913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
7,727,0,ablation,5.131130338534913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
8,694,0,ablation,5.131130338534913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
9,661,0,ablation,5.131130338534913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
10,628,0,ablation,5.131130338534913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
11,595,0,ablation,5.131130338534913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
12,562,0,ablation,5.131130338534913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
13,529,1,ablation,5.131130338534913,2.05859375,0.68017578125,1.3671875,0.2587890625,0.26513671875,1.3603515625,0.32335190343539205,4197 4296 722 4573 3997 3347 2673 4922 3553 2547,4197 4296 722 4573 3997 3347 2673 4922 3553 2547,722 3347 4922 4197 3553,3.65234 3.2793 2.82227 1.65527 0.677246
14,496,1,ablation,5.131130338534913,1.251953125,0.6767578125,0.67431640625,0.134033203125,0.1390380859375,0.7138671875,0.17538387715926593,4197 4296 722 4573 3997 3347 2673 4922 3553 2547,4197 4296 722 4573 3997 3347 2673 4922 3553 2547,4922 3347 3553 4296 3997,2.90625 1.17969 0.861816 0.686523 0.371826
15,463,1,ablation,5.131130338534913,0.9326171875,0.669921875,0.5009765625,0.09912109375,0.10137939453125,0.52001953125,0.13077111984279619,4197 4296 722 4573 3997 3347 2673 4922 3553 2547,4197 4296 722 4573 3997 3347 2673 4922 3553,4922 3553 4296 3347 3997,1.91113 0.984375 0.735352 0.644043 0.332275
16,430,1,ablation,5.131130338534913,0.68994140625,0.65966796875,0.3984375,0.0780029296875,0.0794677734375,0.40771484375,0.10453179769651802,4197 4296 722 4573 3997 3347 2673 4922 3553 2547,4197 4296 722 3997 3347 2673 4922 3553,3553 3347 4296 4922 3997,1.08984 0.869629 0.69873 0.554688 0.325684
17,397,1,ablation,5.131130338534913,0.625,0.65673828125,0.35986328125,0.070068359375,0.071044921875,0.36474609375,0.09332833583206007,4197 4296 722 4573 3997 3347 2673 4922 3553 2547,4197 4296 722 4573 3997 3347 4922 3553,3553 4296 4922 3347 3997,1.0459 0.885742 0.513184 0.466797 0.365479
18,364,1,ablation,5.131130338534913,0.52099609375,0.6484375,0.307373046875,0.060150146484375,0.061309814453125,0.314697265625,0.08000248262162812,4197 4296 722 4573 3997 3347 2673 4922 3553 2547,4197 4296 722 4573 3997 3347 4922 3553,3553 4296 3347 722 4197,1.08008 0.440918 0.37915 0.326172 0.320312
19,331,1,ablation,5.131130338534913,0.424560546875,0.638671875,0.2476806640625,0.0498046875,0.050994873046875,0.26171875,0.06604238541151611,4197 4296 722 4573 3997 3347 2673 4922 3553 2547,4197 4296 722 4573 3997 3347 4922 3553,3553 722 4296 3347 4922,0.912598 0.460205 0.296631 0.290527 0.218262
20,298,1,ablation,5.131130338534913,0.3369140625,0.6279296875,0.1943359375,0.039306640625,0.04010009765625,0.205810546875,0.05155332681016321,4197 4296 722 4573 3997 3347 2673 4922 3553 2547,4197 4296 722 4573 3997 3347 4922 3553,3553 722 4922 4296 3347,0.780762 0.400146 0.210327 0.18335 0.138306
21,265,1,ablation,5.131130338534913,0.314697265625,0.62109375,0.1837158203125,0.036773681640625,0.03759765625,0.1929931640625,0.048366372980898305,4197 4296 722 4573 3997 3347 2673 4922 3553 2547,4197 4296 722 4573 3997 3347 4922 3553,3553 722 4922 4197 4296,0.71582 0.360596 0.266846 0.162354 0.13562
22,232,1,ablation,5.131130338534913,0.302978515625,0.61474609375,0.1744384765625,0.03509521484375,0.035614013671875,0.182861328125,0.04584965719881318,4197 4296 722 4573 3997 3347 2673 4922 3553 2547,4197 4296 722 4573 3997 3347 4922 3553,3553 722 4922 4296 4197,0.669434 0.312988 0.292236 0.170532 0.157471
23,199,1,ablation,5.131130338534913,0.26953125,0.6044921875,0.158447265625,0.03179931640625,0.03216552734375,0.1650390625,0.041421568627440584,4197 4296 722 4573 3997 3347 2673 4922 3553 2547,4197 4296 722 4573 3997 3347 4922 3553,3553 722 4197 4296 4922,0.646973 0.29126 0.215942 0.147217 0.142212
24,166,1,ablation,5.131130338534913,0.2353515625,0.587890625,0.142822265625,0.028045654296875,0.02825927734375,0.14501953125,0.036414909269240486,4197 4296 722 4573 3997 3347 2673 4922 3553 2547,4197 4296 722 4573 3997 3347 4922 3553,3553 4197 722 4296 4573,0.55127 0.293213 0.238525 0.137451 0.0800171
25,133,1,ablation,5.131130338534913,0.224609375,0.5693359375,0.13720703125,0.0265350341796875,0.02685546875,0.1378173828125,0.034657416502938236,4197 4296 722 4573 3997 3347 2673 4922 3553 2547,4197 4296 722 4573 3997 3347 4922 3553,3553 4197 722 4296 4573,0.524902 0.354248 0.19397 0.146362 0.0721436
26,100,1,ablation,5.131130338534913,0.21337890625,0.54541015625,0.1392822265625,0.0261077880859375,0.0264434814453125,0.1357421875,0.034202755905503195,4197 4296 722 4573 3997 3347 2673 4922 3553 2547,4197 4296 722 4573 3997 2673 4922 3553,4197 3553 4296 722 4573,0.543945 0.446533 0.179077 0.0973511 0.0958252
