step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,0,ablation,4.469025728723073,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
1,925,0,ablation,4.469025728723073,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
2,892,0,ablation,4.469025728723073,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
3,859,0,ablation,4.469025728723073,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
4,826,1,ablation,4.469025728723073,1.0654296875,0.76318359375,1.2197265625,0.239013671875,0.2401123046875,1.0732421875,0.3673128342244732,1619 1980 9 1028 4034 2230 4114 4876 1664 1022,1619 1980 9 1028 2230 4114 1664 1022,1980 1664 2230 1619 1022,8.22656 1.97168 0.70166 0.621582 0.313232
5,793,1,ablation,4.469025728723073,1.00390625,0.77099609375,1.1044921875,0.218017578125,0.219482421875,0.98046875,0.3348899266176308,1619 1980 9 1028 4034 2230 4114 4876 1664 1022,1619 1980 9 1028 2230 4114 1664 1022,1980 1664 2230 1619 1028,7.48047 1.875 0.643555 0.583984 0.217285
6,760,1,ablation,4.469025728723073,0.93603515625,0.783203125,1.0595703125,0.21044921875,0.2119140625,0.94677734375,0.3227363515311816,1619 1980 9 1028 4034 2230 4114 4876 1664 1022,1619 1980 9 1028 2230 4114 1664 1022,1980 1664 2230 1619 1028,7.25391 1.77344 0.6875 0.522461 0.168579
7,727,1,ablation,4.469025728723073,0.91552734375,0.7861328125,1.037109375,0.205810546875,0.2069091796875,0.9248046875,0.31399204244021167,1619 1980 9 1028 4034 2230 4114 4876 1664 1022,1619 1980 9 1028 2230 4114 1664 1022,1980 1664 2230 1619 1028,7.09375 1.6377 0.788086 0.537598 0.123291
8,694,1,ablation,4.469025728723073,0.82421875,0.779296875,0.9208984375,0.1827392578125,0.1837158203125,0.82080078125,0.2781270681666827,1619 1980 9 1028 4034 2230 4114 4876 1664 1022,1619 1980 9 1028 2230 4114 1664 1022,1980 1664 2230 1619 9,6.3125 1.3584 0.822266 0.476807 0.0899048
9,661,1,ablation,4.469025728723073,0.70751953125,0.77734375,0.79296875,0.1571044921875,0.1580810546875,0.7060546875,0.23924553275968066,1619 1980 9 1028 4034 2230 4114 4876 1664 1022,1619 1980 9 1028 2230 4114 1664,1980 1664 2230 1619 4114,5.51172 1.03809 0.739746 0.434326 0.0761108
10,628,1,ablation,4.469025728723073,0.63525390625,0.77392578125,0.671875,0.1341552734375,0.134765625,0.60205078125,0.20333113456457513,1619 1980 9 1028 4034 2230 4114 4876 1664 1022,1619 1980 9 1028 2230 4114 1664,1980 1664 2230 1619 4114,4.59766 0.890137 0.697266 0.290771 0.179443
11,595,1,ablation,4.469025728723073,0.5419921875,0.76806640625,0.5146484375,0.103515625,0.10382080078125,0.4638671875,0.15624999999994738,1619 1980 9 1028 4034 2230 4114 4876 1664 1022,1619 1980 9 1028 2230 4114 1664,1980 1664 2230 4114 1619,3.33008 0.774414 0.597168 0.241333 0.165039
12,562,1,ablation,4.469025728723073,0.454345703125,0.76318359375,0.366943359375,0.0743408203125,0.0743408203125,0.332275390625,0.11170387393298936,1619 1980 9 1028 4034 2230 4114 4876 1664 1022,1619 1980 9 1028 2230 4114 1664,1980 1664 2230 4114 1619,1.9873 0.67041 0.541016 0.350586 0.0988159
13,529,0,ablation,4.469025728723073,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
14,496,0,ablation,4.469025728723073,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
15,463,0,ablation,4.469025728723073,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
16,430,0,ablation,4.469025728723073,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
17,397,0,ablation,4.469025728723073,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
18,364,0,ablation,4.469025728723073,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
19,331,0,ablation,4.469025728723073,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
20,298,0,ablation,4.469025728723073,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
21,265,0,ablation,4.469025728723073,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
22,232,0,ablation,4.469025728723073,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
23,199,0,ablation,4.469025728723073,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
24,166,0,ablation,4.469025728723073,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
25,133,0,ablation,4.469025728723073,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
26,100,0,ablation,4.469025728723073,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
27,67,0,ablation,4.469025728723073,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
28,34,0,ablation,4.469025728723073,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
29,1,0,ablation,4.469025728723073,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
