step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,0,ablation,6.551299227372482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
1,925,0,ablation,6.551299227372482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
2,892,0,ablation,6.551299227372482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
3,859,0,ablation,6.551299227372482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
4,826,1,ablation,6.551299227372482,0.11810302734375,0.47119140625,0.05023193359375,0.0100555419921875,0.0099334716796875,0.0650634765625,0.014284948542020877,2766 4009 3866 3044 2091 1546 1030 1711 2717 4601,2766 4009 3044 1546 1711 4601,2766 1711 4009 1546 3044,0.186035 0.137573 0.0895386 0.0473633 0.0300903
5,793,1,ablation,6.551299227372482,0.19970703125,0.51123046875,0.10009765625,0.0199737548828125,0.019989013671875,0.130859375,0.02913043478260221,2766 4009 3866 3044 2091 1546 1030 1711 2717 4601,2766 4009 3044 1546 1711 2717,4009 2766 1711 1546 3044,0.333496 0.322998 0.208984 0.124695 0.00746155
6,760,1,ablation,6.551299227372482,0.274658203125,0.568359375,0.156982421875,0.03125,0.031402587890625,0.205810546875,0.045975130890042085,2766 4009 3866 3044 2091 1546 1030 1711 2717 4601,2766 4009 3044 1546 1711 2717,4009 1546 2766 1711 3044,0.560547 0.375244 0.368164 0.251953 0.00786591
7,727,1,ablation,6.551299227372482,0.51123046875,0.619140625,0.36279296875,0.07049560546875,0.0703125,0.460693359375,0.10184585492225727,2766 4009 3866 3044 2091 1546 1030 1711 2717 4601,2766 4009 3044 1546 1711 2717,2766 4009 1546 1711 2717,1.23535 1.20312 0.864258 0.302246 0.0141144
8,694,1,ablation,6.551299227372482,0.78662109375,0.642578125,0.65771484375,0.1259765625,0.1263427734375,0.82763671875,0.17970737913482102,2766 4009 3866 3044 2091 1546 1030 1711 2717 4601,2766 4009 1546 1711 2717,2766 4009 1546 1711 2717,2.59766 2.39062 1.33398 0.238892 0.0163727
9,661,1,ablation,6.551299227372482,0.71630859375,0.6650390625,0.63427734375,0.1219482421875,0.122802734375,0.8046875,0.1723849372384568,2766 4009 3866 3044 2091 1546 1030 1711 2717 4601,2766 4009 3044 1546 1711 2717,4009 2766 1546 1711 3044,2.55664 2.36914 1.2002 0.197876 0.0118713
10,628,1,ablation,6.551299227372482,0.69482421875,0.6630859375,0.64453125,0.123291015625,0.1240234375,0.8125,0.17190082644624463,2766 4009 3866 3044 2091 1546 1030 1711 2717 4601,2766 4009 1546 1711 2717 4601,4009 2766 1546 1711 4601,2.89844 2.41406 0.952637 0.16333 0.00979614
11,595,1,ablation,6.551299227372482,0.791015625,0.64404296875,0.74658203125,0.1435546875,0.144287109375,0.9453125,0.19803600654660336,2766 4009 3866 3044 2091 1546 1030 1711 2717 4601,2766 4009 1546 1711 2717 4601,4009 2766 1546 1711 4601,3.25977 3.08594 0.918945 0.135986 0.0549622
12,562,1,ablation,6.551299227372482,1.1123046875,0.6318359375,1.0634765625,0.203125,0.203369140625,1.3330078125,0.27586903799509244,2766 4009 3866 3044 2091 1546 1030 1711 2717 4601,2766 4009 3044 1546 1711 2717 4601,2766 4009 1546 4601 1711,5.17578 4.08594 0.924805 0.261963 0.163452
13,529,0,ablation,6.551299227372482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
14,496,0,ablation,6.551299227372482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
15,463,0,ablation,6.551299227372482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
16,430,0,ablation,6.551299227372482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
17,397,0,ablation,6.551299227372482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
18,364,0,ablation,6.551299227372482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
19,331,0,ablation,6.551299227372482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
20,298,0,ablation,6.551299227372482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
21,265,0,ablation,6.551299227372482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
22,232,0,ablation,6.551299227372482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
23,199,0,ablation,6.551299227372482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
24,166,0,ablation,6.551299227372482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
25,133,0,ablation,6.551299227372482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
26,100,0,ablation,6.551299227372482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
27,67,0,ablation,6.551299227372482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
28,34,0,ablation,6.551299227372482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
29,1,0,ablation,6.551299227372482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
