step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,0,ablation,4.372401417306618,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
1,925,0,ablation,4.372401417306618,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
2,892,0,ablation,4.372401417306618,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
3,859,0,ablation,4.372401417306618,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
4,826,1,ablation,4.372401417306618,0.1475830078125,0.83447265625,0.295166015625,0.06097412109375,0.06280517578125,0.2744140625,0.05933277027025744,2638 2287 4832 214 4566 1939 258 642 2317 161,2638 1939 161,2638 1939 161 4832 2287,2.55273 0.365234 0.035553 0 0
5,793,1,ablation,4.372401417306618,0.029266357421875,0.9091796875,0.053924560546875,0.01166534423828125,0.01180267333984375,0.0516357421875,0.01112689393939154,2638 2287 4832 214 4566 1939 258 642 2317 161,2638 214 161,2638 161 214 4832 2287,0.503418 0.0204315 0.0154877 0 0
6,760,1,ablation,4.372401417306618,0.01461029052734375,0.95654296875,0.0291748046875,0.00630950927734375,0.006458282470703125,0.0282440185546875,0.006005372715945567,2638 2287 4832 214 4566 1939 258 642 2317 161,2638 214,2638 214 4566 4832 2287,0.283203 0.00855255 0 0 0
7,727,1,ablation,4.372401417306618,0.003711700439453125,0.97509765625,0.004802703857421875,0.0010423660278320312,0.00102996826171875,0.0045013427734375,0.0009368648373981789,2638 2287 4832 214 4566 1939 258 642 2317 161,2638 161,2638 161 214 4832 2287,0.0380249 0.0100021 0 0 0
8,694,1,ablation,4.372401417306618,0.0,0.9697265625,0.0,0.0,0.0,0.0,0.0,2638 2287 4832 214 4566 1939 258 642 2317 161,,2287 2638 4832 4566 214,0 0 0 0 0
9,661,1,ablation,4.372401417306618,0.0013971328735351562,0.9638671875,0.0013093948364257812,0.0002906322479248047,0.0002772808074951172,0.0012121200561523438,0.0002464676206314034,2638 2287 4832 214 4566 1939 258 642 2317 161,1939,1939 4832 2638 214 2287,0.013092 0 0 0 0
10,628,1,ablation,4.372401417306618,0.0008058547973632812,0.931640625,0.0006642341613769531,0.0001474618911743164,0.00013387203216552734,0.0005850791931152344,0.00011944200433610001,2638 2287 4832 214 4566 1939 258 642 2317 161,1939,1939 4832 2638 214 2287,0.00664139 0 0 0 0
11,595,1,ablation,4.372401417306618,0.0,0.8935546875,0.0,0.0,0.0,0.0,0.0,2638 2287 4832 214 4566 1939 258 642 2317 161,,2287 2638 4832 4566 214,0 0 0 0 0
12,562,1,ablation,4.372401417306618,0.0,0.8466796875,0.0,0.0,0.0,0.0,0.0,2638 2287 4832 214 4566 1939 258 642 2317 161,,2287 2638 4832 4566 214,0 0 0 0 0
13,529,0,ablation,4.372401417306618,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
14,496,0,ablation,4.372401417306618,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
15,463,0,ablation,4.372401417306618,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
16,430,0,ablation,4.372401417306618,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
17,397,0,ablation,4.372401417306618,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
18,364,0,ablation,4.372401417306618,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
19,331,0,ablation,4.372401417306618,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
20,298,0,ablation,4.372401417306618,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
21,265,0,ablation,4.372401417306618,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
22,232,0,ablation,4.372401417306618,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
23,199,0,ablation,4.372401417306618,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
24,166,0,ablation,4.372401417306618,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
25,133,0,ablation,4.372401417306618,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
26,100,0,ablation,4.372401417306618,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
27,67,0,ablation,4.372401417306618,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
28,34,0,ablation,4.372401417306618,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
29,1,0,ablation,4.372401417306618,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
