step_idx,timestep,baseline,early,mid,late,custom
0,958,9.778945922851562,9.778945922851562,9.778945922851562,9.778945922851562,9.778945922851562
1,925,10.768463134765625,9.901195526123047,10.768463134765625,10.768463134765625,9.901195526123047
2,892,10.554840087890625,9.280609130859375,10.554840087890625,10.554840087890625,9.280609130859375
3,859,10.79107666015625,8.089202880859375,10.79107666015625,10.79107666015625,8.089202880859375
4,826,10.65960693359375,8.28228759765625,10.65960693359375,10.65960693359375,8.28228759765625
5,793,10.523956298828125,7.504936218261719,10.03863525390625,10.523956298828125,7.88287353515625
6,760,10.353607177734375,6.659690856933594,9.35894775390625,10.353607177734375,6.3936614990234375
7,727,9.87939453125,5.927467346191406,9.15484619140625,9.87939453125,3.435272216796875
8,694,9.538818359375,5.30706787109375,8.239013671875,9.538818359375,2.6649856567382812
9,661,9.261962890625,4.9420928955078125,7.07537841796875,9.261962890625,2.3773117065429688
10,628,9.05328369140625,4.814044952392578,6.3526611328125,9.05328369140625,2.2138214111328125
11,595,9.5322265625,4.8224945068359375,5.4197235107421875,9.5322265625,2.1668434143066406
12,562,9.8564453125,4.830535888671875,4.542057037353516,9.8564453125,2.136871337890625
13,529,10.28656005859375,4.8306884765625,3.861236572265625,10.28656005859375,2.070709228515625
14,496,10.62591552734375,5.0477142333984375,3.4600677490234375,10.378765106201172,1.8797760009765625
15,463,10.735000610351562,5.274631500244141,3.04278564453125,9.576202392578125,1.8130035400390625
16,430,10.629989624023438,5.413909912109375,2.925811767578125,8.809326171875,1.6836395263671875
17,397,10.665863037109375,5.534061431884766,2.703216552734375,8.689384460449219,1.5482215881347656
18,364,10.640045166015625,5.569179534912109,2.570220947265625,8.576168060302734,1.37518310546875
19,331,10.431976318359375,5.563423156738281,2.389495849609375,8.180126190185547,1.2591629028320312
20,298,10.259208679199219,5.584217071533203,2.06158447265625,7.937347412109375,1.2197589874267578
21,265,10.064796447753906,5.497158050537109,1.7892074584960938,7.360626220703125,1.2154426574707031
22,232,9.877456665039062,5.373985290527344,1.6174163818359375,6.592254638671875,1.2172050476074219
23,199,9.677513122558594,5.173011779785156,1.5198516845703125,6.0013427734375,1.2549591064453125
24,166,9.38525390625,4.915771484375,1.4236068725585938,5.574127197265625,1.2822341918945312
25,133,9.116287231445312,4.704345703125,1.3195571899414062,5.256092071533203,1.3201904296875
26,100,8.64141845703125,4.562412261962891,1.2297439575195312,4.824604034423828,1.3602027893066406
27,67,8.105903625488281,4.394596099853516,1.1854629516601562,4.443870544433594,1.3360977172851562
28,34,7.20068359375,4.096046447753906,1.0319404602050781,3.9515380859375,1.250732421875
29,1,5.467132568359375,2.9661865234375,0.6565628051757812,2.6705856323242188,0.9183883666992188
