step_idx,timestep,baseline,early,mid,late,custom
0,958,3.75384521484375,0.6988525390625,3.75384521484375,3.75384521484375,0.6988525390625
1,925,8.498588562011719,1.4466552734375,8.498588562011719,8.498588562011719,1.4466552734375
2,892,9.185028076171875,1.2576751708984375,9.185028076171875,9.185028076171875,1.2576751708984375
3,859,10.6285400390625,1.440826416015625,10.6285400390625,10.6285400390625,1.440826416015625
4,826,12.587646484375,5.21185302734375,7.381103515625,12.587646484375,1.653717041015625
5,793,15.231689453125,5.9757080078125,8.1669921875,15.231689453125,0.9267578125
6,760,18.5836181640625,7.31982421875,6.3128662109375,18.5836181640625,1.79156494140625
7,727,21.00537109375,8.6744384765625,6.9366455078125,21.00537109375,2.203857421875
8,694,23.6539306640625,9.679908752441406,7.86871337890625,23.6539306640625,2.126220703125
9,661,25.4700927734375,11.211753845214844,5.199554443359375,25.4700927734375,2.4496612548828125
10,628,26.2864990234375,12.590110778808594,4.506278991699219,26.2864990234375,2.20526123046875
11,595,25.127197265625,13.355033874511719,3.96832275390625,25.127197265625,2.073974609375
12,562,24.42431640625,14.149871826171875,3.260223388671875,24.42431640625,1.822845458984375
13,529,23.4686279296875,14.40289306640625,3.2532730102539062,20.5859375,2.8831787109375
14,496,23.5374755859375,14.240524291992188,5.09466552734375,12.52313232421875,3.583465576171875
15,463,23.7698974609375,13.954437255859375,5.4501800537109375,9.32379150390625,4.29705810546875
16,430,23.5631103515625,13.507034301757812,7.37799072265625,6.8995208740234375,4.7152099609375
17,397,23.6171875,13.1956787109375,9.213943481445312,6.2490234375,5.16650390625
18,364,23.66973876953125,13.012466430664062,9.5234375,5.21044921875,5.2208251953125
19,331,23.69525146484375,12.88665771484375,9.9544677734375,4.24676513671875,5.3175201416015625
20,298,23.45599365234375,12.71795654296875,10.13787841796875,3.36968994140625,5.269378662109375
21,265,22.9224853515625,12.746002197265625,10.302001953125,3.147125244140625,4.9644927978515625
22,232,22.39154052734375,12.737594604492188,10.43353271484375,3.029449462890625,4.4542236328125
23,199,22.022796630859375,12.55517578125,10.489006042480469,2.6962890625,4.3299560546875
24,166,21.62823486328125,12.422676086425781,10.401611328125,2.354278564453125,4.154052734375
25,133,21.143798828125,12.227020263671875,10.18524169921875,2.2469940185546875,3.9220733642578125
26,100,20.54168701171875,11.909271240234375,9.89801025390625,2.1344070434570312,3.7021484375
27,67,19.4244384765625,11.473419189453125,9.4620361328125,2.31207275390625,3.432037353515625
28,34,17.784820556640625,10.981277465820312,8.846176147460938,1.7430419921875,3.22711181640625
29,1,12.9703369140625,7.5616912841796875,7.0058135986328125,1.590545654296875,3.5025634765625
