step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,1,ablation,9.397633955515555,0.006885528564453125,0.246337890625,0.0005717277526855469,0.0001245737075805664,0.0001246929168701172,0.0011720657348632812,0.0004220096035511842,4807 2002 3481 1498 3805 228 206 438 4969 3852,2002 1498,2002 1498 3805 3481 4807,0.00384331 0.00187206 0 0 0
1,925,1,ablation,9.397633955515555,0.0268402099609375,0.323974609375,0.006011962890625,0.001312255859375,0.001331329345703125,0.01251220703125,0.004439535689534114,4807 2002 3481 1498 3805 228 206 438 4969 3852,2002 1498,2002 1498 3805 3481 4807,0.0595093 0.000605583 0 0 0
2,892,1,ablation,9.397633955515555,0.036773681640625,0.35546875,0.00916290283203125,0.0019989013671875,0.0020236968994140625,0.019012451171875,0.006704115013771741,4807 2002 3481 1498 3805 228 206 438 4969 3852,2002 1498,2002 1498 3805 3481 4807,0.0888062 0.00280571 0 0 0
3,859,1,ablation,9.397633955515555,0.046051025390625,0.392578125,0.016082763671875,0.0035114288330078125,0.003551483154296875,0.033355712890625,0.011649471350609846,4807 2002 3481 1498 3805 228 206 438 4969 3852,2002 1498,2002 1498 3805 3481 4807,0.157104 0.00374603 0 0 0
4,826,1,ablation,9.397633955515555,0.05914306640625,0.408447265625,0.025238037109375,0.0055084228515625,0.0055694580078125,0.052337646484375,0.018069369521234488,4807 2002 3481 1498 3805 228 206 438 4969 3852,2002 1498,2002 1498 3805 3481 4807,0.251221 0.00114059 0 0 0
5,793,1,ablation,9.397633955515555,0.06866455078125,0.42138671875,0.033111572265625,0.00722503662109375,0.007289886474609375,0.0684814453125,0.023500335120635367,4807 2002 3481 1498 3805 228 206 438 4969 3852,2002 1498,2002 1498 3805 3481 4807,0.328857 0.00230598 0 0 0
6,760,1,ablation,9.397633955515555,0.079345703125,0.4326171875,0.044219970703125,0.0095977783203125,0.0096282958984375,0.09051513671875,0.030509381171813284,4807 2002 3481 1498 3805 228 206 438 4969 3852,2002 1498 4969,2002 1498 4969 3481 4807,0.435303 0.00550842 0.00134563 0 0
7,727,1,ablation,9.397633955515555,0.047637939453125,0.43994140625,0.0290985107421875,0.0063323974609375,0.00635528564453125,0.059722900390625,0.02006438648293289,4807 2002 3481 1498 3805 228 206 438 4969 3852,2002 1498 3852,2002 3852 1498 3481 4807,0.275635 0.0142212 0.00118446 0 0
8,694,1,ablation,9.397633955515555,0.04779052734375,0.434814453125,0.0294342041015625,0.006427764892578125,0.00643157958984375,0.060455322265625,0.020060353208029635,4807 2002 3481 1498 3805 228 206 438 4969 3852,2002 4969 3852,2002 3852 4969 3481 4807,0.279541 0.0110168 0.00385666 0 0
9,661,1,ablation,9.397633955515555,0.047607421875,0.431884765625,0.031036376953125,0.006732940673828125,0.006702423095703125,0.06298828125,0.020686337395759723,4807 2002 3481 1498 3805 228 206 438 4969 3852,2002 3852,2002 3852 1498 3481 4807,0.302002 0.00837708 0 0 0
