step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,1,ablation,10.0,0.1236572265625,0.049957275390625,0.02569580078125,0.00547027587890625,0.005657196044921875,0.05657958984375,0.014172578277882947,366 677 304 999 2091 2932 3940 4589 1007,366 677 304,366 677 304 999 2766,0.241943 0.0143814 0.00067091 0 0
1,925,1,ablation,10.0,0.0645751953125,0.09515380859375,0.015655517578125,0.0033473968505859375,0.0034885406494140625,0.034881591796875,0.008408368644065769,366 677 304 2766 999 2091 2932 3940 4589 1007,366 304 3940 4589 1007,366 1007 304 4589 3940,0.146118 0.00416565 0.00319099 0.00214958 0.00097084
2,892,1,ablation,10.0,0.07049560546875,0.173095703125,0.019500732421875,0.00420379638671875,0.0043487548828125,0.043487548828125,0.010298623959294508,366 677 304 2766 999 2091 2932 3940 4589 1007,366 304 999 3940 4589 1007,366 1007 3940 999 304,0.134766 0.0295563 0.0188751 0.00605392 0.00307083
3,859,1,ablation,10.0,0.0772705078125,0.2164306640625,0.0247802734375,0.005260467529296875,0.0055084228515625,0.055084228515625,0.012913518772890745,366 677 304 2766 999 2091 2932 3940 4589 1007,366 999 3940 4589 1007,366 1007 3940 999 4589,0.165161 0.0395813 0.0244751 0.0159607 0.00266266
4,826,1,ablation,10.0,0.10076904296875,0.2496337890625,0.031768798828125,0.006740570068359375,0.007076263427734375,0.07080078125,0.01619749776585867,366 677 304 2766 999 2091 2932 3940 4589 1007,366 304 999 3940 4589 1007,366 1007 3940 999 4589,0.183472 0.0576172 0.0433655 0.0209045 0.00948334
5,793,1,ablation,10.0,0.08819580078125,0.281982421875,0.032012939453125,0.006771087646484375,0.00702667236328125,0.07025146484375,0.016071827524571838,366 677 304 2766 999 2091 2932 3940 4589 1007,366 999 2091 3940 4589 1007,366 3940 1007 999 4589,0.184814 0.0570068 0.0556641 0.0124817 0.00826263
6,760,1,ablation,10.0,0.08978271484375,0.309814453125,0.023651123046875,0.0049591064453125,0.005062103271484375,0.050628662109375,0.011349332311731256,366 677 304 2766 999 2091 2932 3940 4589 1007,366 304 999 2091 3940 4589 1007,3940 366 1007 2091 4589,0.0783081 0.0604248 0.0322571 0.0264587 0.0195618
7,727,1,ablation,10.0,0.10748291015625,0.327880859375,0.0494384765625,0.01052093505859375,0.01103973388671875,0.1103515625,0.024933804060012017,366 677 304 2766 999 2091 2932 3940 4589 1007,366 304 999 2091 2932 3940 4589 1007,366 3940 999 1007 304,0.30249 0.0650635 0.0410156 0.0378723 0.0180664
8,694,1,ablation,10.0,0.134521484375,0.336669921875,0.0589599609375,0.01241302490234375,0.01277923583984375,0.1278076171875,0.02825453367875023,366 677 304 2766 999 2091 2932 3940 4589 1007,366 304 999 2091 3940 4589 1007,366 3940 1007 304 999,0.331787 0.0944214 0.0571289 0.0324707 0.0307007
9,661,1,ablation,10.0,0.1881103515625,0.34423828125,0.0987548828125,0.0204925537109375,0.0214080810546875,0.214111328125,0.046648936170202604,366 677 304 2766 999 2091 2932 3940 4589 1007,366 304 999 2932 3940 4589 1007,366 3940 999 1007 4589,0.65918 0.131958 0.0704346 0.0437622 0.0407104
10,628,1,ablation,10.0,0.169189453125,0.35107421875,0.08721923828125,0.0185699462890625,0.019195556640625,0.19189453125,0.041772959183664374,366 677 304 2766 999 2091 2932 3940 4589 1007,366 304 999 2932 3940 4589 1007,366 3940 999 4589 1007,0.54541 0.103638 0.0921021 0.0527954 0.0412292
11,595,1,ablation,10.0,0.15185546875,0.35302734375,0.0751953125,0.0160064697265625,0.0164642333984375,0.1646728515625,0.035695385266715375,366 677 304 2766 999 2091 2932 3940 4589 1007,366 304 999 2091 2932 3940 4589 1007,366 999 3940 4589 304,0.437744 0.118347 0.0570679 0.0440979 0.041626
12,562,1,ablation,10.0,0.125,0.356689453125,0.053955078125,0.0114288330078125,0.01168060302734375,0.1168212890625,0.025216062394598268,366 677 304 2766 999 2091 2932 3940 4589 1007,366 304 999 2091 2932 3940 4589 1007,366 999 4589 304 3940,0.24353 0.123413 0.0476379 0.0464172 0.026947
13,529,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
14,496,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
15,463,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
16,430,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
17,397,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
18,364,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
19,331,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
20,298,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
21,265,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
22,232,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
23,199,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
24,166,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
25,133,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
26,100,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
27,67,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
28,34,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
29,1,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
