step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,1,ablation,9.628384159293839,0.296142578125,0.35009765625,0.297119140625,0.0631103515625,0.064208984375,0.6181640625,0.1621413934425804,830 4359 2948 1856 2976 15 2221 1822 901 39,1856 2221,2221 1856 2948 4359 830,2.96289 0.00695801 0 0 0
1,925,1,ablation,9.628384159293839,0.62548828125,0.412841796875,0.72802734375,0.1546630859375,0.154541015625,1.48828125,0.3652924256950206,830 4359 2948 1856 2976 15 2221 1822 901 39,1856 2221,2221 1856 2948 4359 830,7.27734 0.00450134 0 0 0
2,892,1,ablation,9.628384159293839,0.60595703125,0.42529296875,0.5859375,0.12445068359375,0.12481689453125,1.2021484375,0.28364055299532476,830 4359 2948 1856 2976 15 2221 1822 901 39,2221,2221 2948 830 1856 4359,5.85938 0 0 0 0
3,859,1,ablation,9.628384159293839,0.41259765625,0.4619140625,0.350341796875,0.07440185546875,0.0745849609375,0.71826171875,0.16505834829439653,830 4359 2948 1856 2976 15 2221 1822 901 39,1856 2221,2221 1856 2948 4359 830,3.49023 0.0147552 0 0 0
4,826,1,ablation,9.628384159293839,0.150390625,0.4736328125,0.1138916015625,0.0241851806640625,0.023529052734375,0.2265625,0.04765817584222498,830 4359 2948 1856 2976 15 2221 1822 901 39,4359 2221,2221 4359 1856 2948 830,1.13379 0.00522614 0 0 0
5,793,1,ablation,9.628384159293839,0.142822265625,0.490966796875,0.10009765625,0.0212860107421875,0.0206146240234375,0.1983642578125,0.04186417971969438,830 4359 2948 1856 2976 15 2221 1822 901 39,4359 2221,2221 4359 1856 2948 830,0.963867 0.037323 0 0 0
6,760,1,ablation,9.628384159293839,0.1650390625,0.48974609375,0.10888671875,0.0231781005859375,0.022369384765625,0.2154541015625,0.0442666532905206,830 4359 2948 1856 2976 15 2221 1822 901 39,4359 1856 2221,2221 4359 1856 2948 830,1.01562 0.0595398 0.0140762 0 0
7,727,1,ablation,9.628384159293839,0.234619140625,0.472412109375,0.128173828125,0.0271759033203125,0.026580810546875,0.255859375,0.05725524475523194,830 4359 2948 1856 2976 15 2221 1822 901 39,4359 1856 2221,2221 4359 1856 2948 830,1.18359 0.0678711 0.031311 0 0
8,694,1,ablation,9.628384159293839,0.1761474609375,0.466064453125,0.08734130859375,0.0185699462890625,0.01788330078125,0.1722412109375,0.03581945572704373,830 4359 2948 1856 2976 15 2221 1822 901 39,4359 1856 2221,2221 4359 1856 2948 830,0.750977 0.0759277 0.0465088 0 0
9,661,1,ablation,9.628384159293839,0.1585693359375,0.453857421875,0.06817626953125,0.01451873779296875,0.01412200927734375,0.135986328125,0.028746903385625633,830 4359 2948 1856 2976 15 2221 1822 901 39,4359 1856 2221,2221 4359 1856 2948 830,0.562012 0.0811157 0.0388794 0 0
10,628,1,ablation,9.628384159293839,0.1510009765625,0.438232421875,0.057037353515625,0.01216888427734375,0.01177978515625,0.1134033203125,0.024172564529553547,830 4359 2948 1856 2976 15 2221 1822 901 39,4359 1856 2221 901,2221 4359 1856 901 830,0.425537 0.118408 0.0145111 0.0118561 0
11,595,1,ablation,9.628384159293839,0.1357421875,0.43115234375,0.048248291015625,0.01035308837890625,0.01006317138671875,0.096923828125,0.020974218089598165,830 4359 2948 1856 2976 15 2221 1822 901 39,4359 2221 901,2221 4359 901 2948 830,0.340088 0.109558 0.0328979 0 0
12,562,1,ablation,9.628384159293839,0.1075439453125,0.419921875,0.035675048828125,0.007678985595703125,0.007434844970703125,0.07159423828125,0.015665064102560675,830 4359 2948 1856 2976 15 2221 1822 901 39,4359 2221 901,2221 4359 901 2948 830,0.219727 0.112427 0.0245819 0 0
13,529,0,ablation,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
14,496,0,ablation,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
15,463,0,ablation,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
16,430,0,ablation,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
17,397,0,ablation,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
18,364,0,ablation,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
19,331,0,ablation,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
20,298,0,ablation,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
21,265,0,ablation,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
22,232,0,ablation,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
23,199,0,ablation,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
24,166,0,ablation,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
25,133,0,ablation,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
26,100,0,ablation,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
27,67,0,ablation,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
28,34,0,ablation,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
29,1,0,ablation,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
