step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,1,ablation,10.0,0.1236572265625,0.049957275390625,0.02569580078125,0.00547027587890625,0.005657196044921875,0.05657958984375,0.014172578277882947,366 677 304 999 2091 2932 3940 4589 1007,366 677 304,366 677 304 999 2766,0.241943 0.0143814 0.00067091 0 0
1,925,1,ablation,10.0,0.0645751953125,0.09515380859375,0.015655517578125,0.0033473968505859375,0.0034885406494140625,0.034881591796875,0.008408368644065769,366 677 304 2766 999 2091 2932 3940 4589 1007,366 304 3940 4589 1007,366 1007 304 4589 3940,0.146118 0.00416565 0.00319099 0.00214958 0.00097084
2,892,1,ablation,10.0,0.07049560546875,0.173095703125,0.019500732421875,0.00420379638671875,0.0043487548828125,0.043487548828125,0.010298623959294508,366 677 304 2766 999 2091 2932 3940 4589 1007,366 304 999 3940 4589 1007,366 1007 3940 999 304,0.134766 0.0295563 0.0188751 0.00605392 0.00307083
3,859,1,ablation,10.0,0.0772705078125,0.2164306640625,0.0247802734375,0.005260467529296875,0.0055084228515625,0.055084228515625,0.012913518772890745,366 677 304 2766 999 2091 2932 3940 4589 1007,366 999 3940 4589 1007,366 1007 3940 999 4589,0.165161 0.0395813 0.0244751 0.0159607 0.00266266
4,826,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
5,793,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
6,760,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
7,727,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
8,694,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
9,661,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
10,628,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
11,595,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
12,562,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
13,529,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
14,496,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
15,463,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
16,430,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
17,397,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
18,364,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
19,331,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
20,298,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
21,265,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
22,232,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
23,199,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
24,166,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
25,133,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
26,100,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
27,67,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
28,34,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
29,1,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
