step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,1,ablation,2.5,0.8037109375,2.50390625,2.578125,0.474609375,0.48681640625,1.216796875,0.36432748538000786,4296 2727 3078 2164 2155 1480 4975 3347 3795 282,4296 2727 3078 2164 1480 4975 3795,4296 2727 3078 3795 2164,12.9766 5.80469 2.82031 2.7793 1.37012
1,925,1,ablation,2.5,0.84130859375,1.7509765625,0.90869140625,0.1697998046875,0.1629638671875,0.407470703125,0.11418992884506926,4296 2727 3078 2164 2155 1480 4975 3347 3795 282,4296 2727 3078 2164 1480 4975 3347 3795,4296 2164 3078 3795 2727,6.33203 0.935547 0.647461 0.551758 0.544922
2,892,1,ablation,2.5,0.85986328125,1.658203125,1.3193359375,0.261962890625,0.263427734375,0.65869140625,0.18151237890199517,4296 2727 3078 2164 2155 1480 4975 3347 3795 282,4296 2727 3078 2164 1480 4975 3347 3795,2727 4296 3078 2164 3795,10.4453 1.17578 1.03223 0.399414 0.0622864
3,859,1,ablation,2.5,1.0771484375,1.7041015625,2.310546875,0.46240234375,0.4658203125,1.1640625,0.3145118733508385,4296 2727 3078 2164 2155 1480 4975 3347 3795 282,4296 2727 3078 2164 1480 4975 3347 3795,2727 3078 4296 4975 1480,19.5625 2.11133 1.21875 0.0708008 0.0520325
4,826,0,ablation,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
5,793,0,ablation,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
6,760,0,ablation,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
7,727,0,ablation,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
8,694,0,ablation,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
9,661,0,ablation,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
10,628,0,ablation,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
11,595,0,ablation,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
12,562,0,ablation,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
13,529,0,ablation,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
14,496,0,ablation,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
15,463,0,ablation,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
16,430,0,ablation,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
17,397,0,ablation,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
18,364,0,ablation,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
19,331,0,ablation,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
20,298,0,ablation,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
21,265,0,ablation,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
22,232,0,ablation,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
23,199,0,ablation,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
24,166,0,ablation,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
25,133,0,ablation,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
26,100,0,ablation,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
27,67,0,ablation,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
28,34,0,ablation,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
29,1,0,ablation,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
