step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
1,925,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
2,892,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
3,859,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
4,826,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
5,793,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
6,760,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
7,727,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
8,694,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
9,661,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
10,628,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
11,595,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
12,562,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
13,529,1,ablation,10.0,0.1634521484375,0.355712890625,0.06982421875,0.0144500732421875,0.01451873779296875,0.145263671875,0.029749999999993906,366 677 304 2766 999 2091 2932 3940 4589 1007,366 677 304 999 2091 2932 3940 4589 1007,366 1007 2932 677 2091,0.335693 0.0758057 0.0686646 0.0587463 0.0571899
14,496,1,ablation,10.0,0.166259765625,0.34765625,0.0740966796875,0.01525115966796875,0.01548004150390625,0.15478515625,0.03182730923694125,366 677 304 2766 999 2091 2932 3940 4589 1007,366 677 304 999 2091 2932 3940 4589 1007,366 3940 2932 2091 1007,0.390137 0.0820312 0.0814819 0.0723877 0.0534973
15,463,1,ablation,10.0,0.1824951171875,0.3388671875,0.0771484375,0.0158233642578125,0.016143798828125,0.161376953125,0.03312951082597555,366 677 304 2766 999 2091 2932 3940 4589 1007,366 677 304 999 2091 2932 3940 4589 1007,366 2091 3940 2932 304,0.391602 0.112183 0.0855103 0.0559998 0.040863
16,430,1,ablation,10.0,0.1802978515625,0.33349609375,0.074462890625,0.01532745361328125,0.0156097412109375,0.1561279296875,0.03197499999999345,366 677 304 2766 999 2091 2932 3940 4589 1007,366 677 304 999 2091 2932 3940 4589 1007,366 2091 3940 2932 304,0.383789 0.120728 0.06073 0.0553284 0.042511
17,397,1,ablation,10.0,0.1787109375,0.325927734375,0.07122802734375,0.01471710205078125,0.014984130859375,0.1497802734375,0.030625998402549648,366 677 304 2766 999 2091 2932 3940 4589 1007,366 677 304 999 2091 2932 3940 4589 1007,366 2091 3940 304 2932,0.350342 0.120605 0.0527954 0.0505371 0.0499268
18,364,1,ablation,10.0,0.168212890625,0.3154296875,0.064697265625,0.01346588134765625,0.0136871337890625,0.1368408203125,0.027935606060600356,366 677 304 2766 999 2091 2932 3940 4589 1007,366 677 304 999 2091 2932 3940 4589 1007,366 2091 2932 3940 304,0.306152 0.115845 0.0488586 0.0466309 0.0422668
19,331,1,ablation,10.0,0.16552734375,0.300537109375,0.0626220703125,0.01313018798828125,0.01332855224609375,0.13330078125,0.027169585987255607,366 677 304 2766 999 2091 2932 3940 4589 1007,366 677 304 999 2091 2932 3940 4589 1007,366 2091 2932 304 3940,0.312012 0.100891 0.0526733 0.0460815 0.0424805
20,298,1,ablation,10.0,0.1588134765625,0.2841796875,0.055206298828125,0.0115814208984375,0.01174163818359375,0.11737060546875,0.023884638314780514,366 677 304 2766 999 2091 2932 3940 4589 1007,366 677 304 999 2091 2932 3940 4589 1007,366 2091 2932 3940 304,0.252197 0.0889282 0.04953 0.046936 0.041748
21,265,1,ablation,10.0,0.159423828125,0.27099609375,0.05194091796875,0.0108184814453125,0.0110015869140625,0.11004638671875,0.022394177265496237,366 677 304 2766 999 2091 2932 3940 4589 1007,366 677 304 2766 999 2091 2932 3940 4589 1007,366 2091 2932 677 3940,0.220459 0.0995483 0.0544128 0.0397339 0.034729
22,232,1,ablation,10.0,0.1578369140625,0.2568359375,0.047393798828125,0.0098114013671875,0.0099334716796875,0.09930419921875,0.020224244232295005,366 677 304 2766 999 2091 2932 3940 4589 1007,366 677 304 999 2091 2932 3940 4589 1007,366 2091 2932 677 3940,0.194946 0.101135 0.0523376 0.0335388 0.0334167
23,199,1,ablation,10.0,0.15380859375,0.2471923828125,0.042633056640625,0.0088043212890625,0.00890350341796875,0.08905029296875,0.01819383479648471,366 677 304 2766 999 2091 2932 3940 4589 1007,366 677 304 999 2091 2932 3940 4589 1007,366 2091 2932 4589 677,0.147461 0.0861816 0.0579834 0.0376587 0.0350647
24,166,1,ablation,10.0,0.1463623046875,0.237548828125,0.039337158203125,0.00811767578125,0.0082244873046875,0.082275390625,0.01690409309790985,366 677 304 2766 999 2091 2932 3940 4589 1007,366 677 304 999 2091 2932 3940 4589 1007,366 2091 2932 677 4589,0.117188 0.0814209 0.0609131 0.0469666 0.0371704
25,133,1,ablation,10.0,0.12261962890625,0.231201171875,0.032318115234375,0.006565093994140625,0.0066680908203125,0.06671142578125,0.013817253236243093,366 677 304 2766 999 2091 2932 3940 4589 1007,366 677 304 999 2091 2932 3940 4589 1007,366 2091 677 2932 4589,0.0814209 0.0670166 0.0587158 0.0483093 0.0293121
26,100,1,ablation,10.0,0.101806640625,0.2265625,0.0282440185546875,0.005802154541015625,0.005863189697265625,0.058624267578125,0.012291410728908152,366 677 304 2766 999 2091 2932 3940 4589 1007,366 677 304 999 2091 2932 3940 4589,677 2091 2932 366 4589,0.0841064 0.0549927 0.0505676 0.0410156 0.0267792
