step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,0,ablation,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
1,925,0,ablation,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
2,892,0,ablation,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
3,859,0,ablation,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
4,826,0,ablation,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
5,793,0,ablation,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
6,760,0,ablation,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
7,727,0,ablation,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
8,694,0,ablation,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
9,661,0,ablation,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
10,628,0,ablation,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
11,595,0,ablation,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
12,562,0,ablation,9.628384159293839,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
13,529,1,ablation,9.628384159293839,0.05426025390625,0.410888671875,0.012725830078125,0.0027027130126953125,0.0026798248291015625,0.0258026123046875,0.00488209072431541,830 4359 2948 1856 2976 15 2221 1822 901 39,2221,2221 2948 830 1856 4359,0.127319 0 0 0 0
14,496,1,ablation,9.628384159293839,0.059539794921875,0.401611328125,0.013641357421875,0.0029087066650390625,0.0028820037841796875,0.0277557373046875,0.005306548730394803,830 4359 2948 1856 2976 15 2221 1822 901 39,1856 2221,2221 1856 2948 4359 830,0.119812 0.0166016 0 0 0
15,463,1,ablation,9.628384159293839,0.039703369140625,0.390380859375,0.00745391845703125,0.001583099365234375,0.0015630722045898438,0.01505279541015625,0.0029039303880928837,830 4359 2948 1856 2976 15 2221 1822 901 39,2221,2221 2948 830 1856 4359,0.0745239 0 0 0 0
16,430,1,ablation,9.628384159293839,0.03082275390625,0.378662109375,0.0050811767578125,0.0010786056518554688,0.0010633468627929688,0.0102386474609375,0.0019886902503789762,830 4359 2948 1856 2976 15 2221 1822 901 39,2221,2221 2948 830 1856 4359,0.0508118 0 0 0 0
17,397,1,ablation,9.628384159293839,0.02386474609375,0.3662109375,0.0030517578125,0.0006480216979980469,0.0006394386291503906,0.00615692138671875,0.0012022668764299711,830 4359 2948 1856 2976 15 2221 1822 901 39,2221,2221 2948 830 1856 4359,0.0305176 0 0 0 0
18,364,1,ablation,9.628384159293839,0.0157318115234375,0.35546875,0.001556396484375,0.0003304481506347656,0.0003268718719482422,0.003147125244140625,0.0006183147064465401,830 4359 2948 1856 2976 15 2221 1822 901 39,2221,2221 2948 830 1856 4359,0.0155563 0 0 0 0
19,331,1,ablation,9.628384159293839,0.01068115234375,0.347900390625,0.0009250640869140625,0.0001964569091796875,0.0001876354217529297,0.0018062591552734375,0.0003576197554136956,830 4359 2948 1856 2976 15 2221 1822 901 39,2221,2221 2948 830 1856 4359,0.00925446 0 0 0 0
20,298,1,ablation,9.628384159293839,0.00846099853515625,0.3388671875,0.0006418228149414062,0.00013637542724609375,0.0001323223114013672,0.00127410888671875,0.00025422593530782144,830 4359 2948 1856 2976 15 2221 1822 901 39,2221,2221 2948 830 1856 4359,0.00642014 0 0 0 0
