step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
1,925,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
2,892,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
3,859,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
4,826,1,ablation,10.0,0.0859375,0.2496337890625,0.033843994140625,0.007007598876953125,0.007232666015625,0.07232666015625,0.01601697664359507,366 677 304 2766 999 2091 2932 3940 4589 1007,366 677 999 2091 3940 4589 1007,366 1007 999 677 2091,0.202393 0.0675049 0.0414429 0.0146866 0.00509644
5,793,1,ablation,10.0,0.074951171875,0.281982421875,0.0299224853515625,0.006313323974609375,0.006511688232421875,0.06512451171875,0.014359926787249202,366 677 304 2766 999 2091 2932 3940 4589 1007,366 999 2091 2932 3940 4589 1007,366 1007 999 3940 2932,0.162964 0.0697632 0.0397949 0.0112991 0.00573349
6,760,1,ablation,10.0,0.06927490234375,0.309814453125,0.035430908203125,0.00765228271484375,0.007793426513671875,0.07794189453125,0.0173656440382903,366 677 304 2766 999 2091 2932 3940 4589 1007,366 304 999 2932 3940 4589 1007,366 999 1007 2932 304,0.244995 0.0402222 0.0351562 0.0129089 0.00869751
7,727,1,ablation,10.0,0.11395263671875,0.327880859375,0.058990478515625,0.01244354248046875,0.0130767822265625,0.1307373046875,0.02923034934497163,366 677 304 2766 999 2091 2932 3940 4589 1007,366 677 304 2766 999 2091 2932 3940 4589 1007,366 1007 3940 999 2932,0.396484 0.0674438 0.0333557 0.0316772 0.0205994
8,694,1,ablation,10.0,0.11572265625,0.336669921875,0.056915283203125,0.01209259033203125,0.012542724609375,0.12548828125,0.028708668453970198,366 677 304 2766 999 2091 2932 3940 4589 1007,366 677 304 999 2091 2932 4589 1007,366 1007 677 999 2932,0.338135 0.10083 0.0448914 0.0428162 0.0270538
9,661,1,ablation,10.0,0.10882568359375,0.34423828125,0.059814453125,0.01270294189453125,0.01303863525390625,0.13037109375,0.02971950133570115,366 677 304 2766 999 2091 2932 3940 4589 1007,366 677 999 2091 2932 4589 1007,366 1007 999 677 2932,0.426514 0.0528259 0.0340576 0.0314331 0.0294189
10,628,1,ablation,10.0,0.10601806640625,0.35107421875,0.0635986328125,0.01346588134765625,0.01378631591796875,0.1378173828125,0.03127770390070212,366 677 304 2766 999 2091 2932 3940 4589 1007,366 677 304 999 2091 2932 3940 4589 1007,366 1007 677 999 2091,0.488281 0.02948 0.0279083 0.0269165 0.02388
11,595,1,ablation,10.0,0.1494140625,0.35302734375,0.08905029296875,0.0188446044921875,0.019561767578125,0.1956787109375,0.043941885964902415,366 677 304 2766 999 2091 2932 3940 4589 1007,366 677 304 999 2091 2932 3940 4589 1007,366 2932 2091 1007 677,0.66748 0.0500793 0.0435181 0.037323 0.0333252
12,562,1,ablation,10.0,0.1455078125,0.356689453125,0.09136962890625,0.019500732421875,0.020355224609375,0.2034912109375,0.04529891304346818,366 677 304 2766 999 2091 2932 3940 4589 1007,366 677 304 999 2091 2932 3940 4589 1007,366 2932 304 2091 677,0.70459 0.0559387 0.0422058 0.0291443 0.0262756
13,529,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
14,496,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
15,463,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
16,430,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
17,397,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
18,364,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
19,331,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
20,298,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
21,265,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
22,232,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
23,199,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
24,166,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
25,133,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
26,100,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
27,67,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
28,34,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
29,1,0,ablation,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
