step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,0,ablation,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
1,925,0,ablation,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
2,892,0,ablation,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
3,859,0,ablation,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
4,826,1,ablation,2.5,1.580078125,1.74609375,3.30859375,0.6416015625,0.64794921875,1.6201171875,0.3991819056784387,4296 2727 3078 2164 2155 1480 4975 3347 3795 282,4296 2727 3078 2164 1480 4975 3347 3795 282,2727 3078 4296 2164 1480,22.4062 5.3125 4.4375 0.649902 0.213867
5,793,1,ablation,2.5,1.921875,1.796875,4.328125,0.84521484375,0.8505859375,2.126953125,0.5271055179088723,4296 2727 3078 2164 2155 1480 4975 3347 3795 282,4296 2727 3078 2164 1480 4975 3347 3795 282,2727 3078 2164 4296 1480,33.3125 8.47656 1.07422 0.212402 0.0901489
6,760,1,ablation,2.5,1.8544921875,1.83203125,4.54296875,0.880859375,0.88232421875,2.205078125,0.5704901465385083,4296 2727 3078 2164 2155 1480 4975 3347 3795 282,4296 2727 3078 2164 1480 4975 3347 3795 282,2727 3078 4296 2164 1480,33.5938 9.57812 1.01758 1.00195 0.0968018
7,727,1,ablation,2.5,2.041015625,1.8486328125,7.72265625,1.4326171875,1.443359375,3.609375,0.9511065362838461,4296 2727 3078 2164 2155 1480 4975 3347 3795 282,4296 2727 3078 2164 1480 4975 282,2727 4296 3078 2164 1480,37.0938 35.25 3.28516 1.02148 0.31665
8,694,1,ablation,2.5,1.7392578125,1.85546875,5.05078125,0.96875,0.96728515625,2.41796875,0.6394628099171863,4296 2727 3078 2164 2155 1480 4975 3347 3795 282,4296 2727 3078 2164 1480 4975 3795 282,2727 4296 3078 2164 282,38.3438 9.15625 1.50977 1.28418 0.133667
9,661,1,ablation,2.5,1.890625,1.86328125,4.71875,0.92822265625,0.9248046875,2.3125,0.599797365754657,4296 2727 3078 2164 2155 1480 4975 3347 3795 282,4296 2727 3078 2164 4975 3795 282,2727 4296 2164 3078 282,42.4375 1.78223 1.56543 1.22266 0.14209
10,628,1,ablation,2.5,2.09765625,1.8681640625,5.08984375,0.998046875,0.990234375,2.4765625,0.6371859296480773,4296 2727 3078 2164 2155 1480 4975 3347 3795 282,4296 2727 3078 2164 4975 282,2727 4296 2164 3078 282,45.9062 2.07227 1.49902 1.20703 0.202637
11,595,1,ablation,2.5,2.216796875,1.8740234375,5.37109375,1.037109375,1.0341796875,2.5859375,0.6700404858297859,4296 2727 3078 2164 2155 1480 4975 3347 3795 282,4296 2727 3078 2164 4975 282,2727 4296 3078 2164 282,45.3438 4.51562 1.8623 1.55469 0.386963
12,562,1,ablation,2.5,2.40234375,1.8798828125,5.6484375,1.09375,1.0869140625,2.716796875,0.7000503271261407,4296 2727 3078 2164 2155 1480 4975 3347 3795 282,4296 2727 3078 2164 1480 4975 282,2727 4296 3078 2164 282,49.4062 2.91211 2.2168 1.4541 0.410889
13,529,0,ablation,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
14,496,0,ablation,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
15,463,0,ablation,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
16,430,0,ablation,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
17,397,0,ablation,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
18,364,0,ablation,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
19,331,0,ablation,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
20,298,0,ablation,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
21,265,0,ablation,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
22,232,0,ablation,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
23,199,0,ablation,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
24,166,0,ablation,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
25,133,0,ablation,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
26,100,0,ablation,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
27,67,0,ablation,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
28,34,0,ablation,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
29,1,0,ablation,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
