step_idx,timestep,baseline,early,mid,late,custom
0,958,0.0688629150390625,0.0688629150390625,0.0688629150390625,0.0688629150390625,0.0688629150390625
1,925,0.1795654296875,0.26834869384765625,0.1795654296875,0.1795654296875,0.26834869384765625
2,892,0.236541748046875,0.36767578125,0.236541748046875,0.236541748046875,0.36767578125
3,859,0.375335693359375,0.46044921875,0.375335693359375,0.375335693359375,0.46044921875
4,826,0.6319122314453125,0.5913429260253906,0.6319122314453125,0.6319122314453125,0.5913429260253906
5,793,0.87982177734375,0.87091064453125,0.6761474609375,0.87982177734375,0.6865997314453125
6,760,1.061981201171875,1.2401046752929688,0.6651458740234375,1.061981201171875,0.7934112548828125
7,727,1.2073516845703125,1.79205322265625,0.366485595703125,1.2073516845703125,0.4763450622558594
8,694,1.3314704895019531,1.9881744384765625,0.271026611328125,1.3314704895019531,0.47796630859375
9,661,1.4963455200195312,1.8616046905517578,0.28298187255859375,1.4963455200195312,0.4762115478515625
10,628,1.6148490905761719,1.7811203002929688,0.36569976806640625,1.6148490905761719,0.41510772705078125
11,595,1.6556243896484375,1.6829605102539062,0.4658164978027344,1.6556243896484375,0.3705596923828125
12,562,1.6633071899414062,1.6765213012695312,0.5800666809082031,1.6633071899414062,0.40247344970703125
13,529,1.6163501739501953,1.5738449096679688,0.6955490112304688,1.6163501739501953,0.41962432861328125
14,496,1.553131103515625,1.4857406616210938,0.8073387145996094,1.1335296630859375,0.4026336669921875
15,463,1.5788726806640625,1.4498977661132812,0.9457778930664062,1.028076171875,0.3889923095703125
16,430,1.628692626953125,1.521942138671875,1.0706062316894531,1.0345458984375,0.382232666015625
17,397,1.6984939575195312,1.604888916015625,1.1090087890625,0.9944477081298828,0.4111366271972656
18,364,1.7759819030761719,1.6717033386230469,1.118377685546875,0.9299793243408203,0.45281410217285156
19,331,1.8358154296875,1.7479476928710938,1.095001220703125,0.9181327819824219,0.4619789123535156
20,298,1.920654296875,1.7990837097167969,1.108551025390625,0.9056415557861328,0.429351806640625
21,265,2.038442611694336,1.7595062255859375,1.069610595703125,0.9706439971923828,0.41248512268066406
22,232,2.147235870361328,1.6981353759765625,1.063995361328125,1.0909843444824219,0.3775310516357422
23,199,2.2856311798095703,1.6314620971679688,1.071868896484375,1.17816162109375,0.3974723815917969
24,166,2.438262939453125,1.6029205322265625,1.0799102783203125,1.3325691223144531,0.406158447265625
25,133,2.5442543029785156,1.50244140625,1.0137176513671875,1.4817581176757812,0.4372711181640625
26,100,2.6226959228515625,1.4461593627929688,1.06964111328125,1.5906448364257812,0.4279823303222656
27,67,2.7229270935058594,1.4002151489257812,1.0140380859375,1.6971817016601562,0.37868499755859375
28,34,2.701427459716797,1.4987030029296875,0.8788719177246094,1.5399017333984375,0.32611083984375
29,1,2.6522216796875,1.3340301513671875,0.62530517578125,1.6248741149902344,0.20021820068359375
