step_idx,timestep,baseline,early,mid,late,custom
0,958,1.237213134765625,1.23675537109375,1.237213134765625,1.237213134765625,1.23675537109375
1,925,1.0859222412109375,0.6456756591796875,1.0859222412109375,1.0859222412109375,0.6456756591796875
2,892,1.02301025390625,0.7047882080078125,1.02301025390625,1.02301025390625,0.7047882080078125
3,859,0.9961700439453125,0.7724609375,0.9961700439453125,0.9961700439453125,0.7724609375
4,826,0.9294891357421875,0.9844970703125,0.8592681884765625,0.9294891357421875,1.0074234008789062
5,793,0.9745559692382812,1.3250732421875,0.7493896484375,0.9745559692382812,0.8819122314453125
6,760,1.07562255859375,1.4100723266601562,0.692535400390625,1.07562255859375,0.8979339599609375
7,727,0.949249267578125,1.63897705078125,1.1394500732421875,0.949249267578125,1.0746002197265625
8,694,0.95867919921875,1.42138671875,1.15692138671875,0.95867919921875,1.34576416015625
9,661,1.231231689453125,1.5311965942382812,1.08807373046875,1.231231689453125,1.8814697265625
10,628,1.228759765625,1.63275146484375,1.0602493286132812,1.228759765625,1.6917266845703125
11,595,1.4671630859375,1.803253173828125,1.4939117431640625,1.4671630859375,1.51806640625
12,562,1.637603759765625,1.8378448486328125,1.4557571411132812,1.637603759765625,1.250518798828125
13,529,1.7332916259765625,1.923828125,2.0150146484375,1.634246826171875,1.48138427734375
14,496,1.8419952392578125,2.025543212890625,2.0609130859375,1.662750244140625,1.5197296142578125
15,463,2.0252532958984375,1.8737030029296875,1.9166030883789062,1.8245849609375,1.5836639404296875
16,430,2.0776214599609375,1.9427642822265625,1.7869415283203125,1.802978515625,1.682708740234375
17,397,2.059173583984375,2.00311279296875,1.7196807861328125,1.78765869140625,1.6211090087890625
18,364,2.06256103515625,1.9029083251953125,1.759979248046875,1.68218994140625,1.5594635009765625
19,331,2.142791748046875,1.83453369140625,1.82244873046875,1.6558837890625,1.4498062133789062
20,298,2.2362060546875,1.827423095703125,1.86773681640625,1.588592529296875,1.3929061889648438
21,265,2.32550048828125,1.859405517578125,1.911651611328125,1.594818115234375,1.2977142333984375
22,232,2.2038726806640625,1.8144989013671875,1.8285980224609375,1.57843017578125,1.2072906494140625
23,199,2.269989013671875,1.62298583984375,2.05816650390625,1.5380859375,1.0354156494140625
24,166,2.2066650390625,1.51348876953125,1.9380111694335938,1.463409423828125,0.8349609375
25,133,2.225189208984375,1.3878173828125,1.7943649291992188,1.225982666015625,0.7906036376953125
26,100,2.1873779296875,1.3688201904296875,1.4179916381835938,1.018157958984375,0.888580322265625
27,67,2.13995361328125,1.181854248046875,1.254791259765625,1.16510009765625,0.7201080322265625
28,34,2.26959228515625,1.080596923828125,1.4420242309570312,0.9023056030273438,0.7312164306640625
29,1,2.55987548828125,0.9372024536132812,1.5843048095703125,1.0346221923828125,1.1933746337890625
