step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x
0,958,1,injection,3.3647278849405646,0.0677490234375,0.222412109375,0.01151275634765625,0.0024662017822265625,0.0024356842041015625,0.0081939697265625,0.0021103181589531787
1,925,1,injection,3.3647278849405646,0.1881103515625,0.409423828125,0.1263427734375,0.0269927978515625,0.0269775390625,0.09075927734375,0.022362247353218744
2,892,1,injection,3.3647278849405646,0.3671875,0.52587890625,0.29052734375,0.06121826171875,0.0614013671875,0.20654296875,0.04923184357540726
3,859,1,injection,3.3647278849405646,0.406494140625,0.58056640625,0.3115234375,0.0655517578125,0.06573486328125,0.2210693359375,0.051683789954325814
4,826,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,793,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,760,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,727,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,694,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,661,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,628,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,595,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12,562,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13,529,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14,496,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15,463,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16,430,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17,397,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18,364,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19,331,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20,298,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21,265,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22,232,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
23,199,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
24,166,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
25,133,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
26,100,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
27,67,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28,34,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
29,1,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
