step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x
0,958,1,injection,1.8707193847253525,0.65673828125,0.41162109375,1.583984375,0.324951171875,0.3251953125,0.6083984375,0.19752694990481856
1,925,1,injection,1.8707193847253525,1.0634765625,0.4912109375,0.91650390625,0.1839599609375,0.18505859375,0.34619140625,0.10716444981858834
2,892,1,injection,1.8707193847253525,0.94921875,0.5400390625,0.140625,0.027923583984375,0.0283203125,0.052978515625,0.015706427330626497
3,859,1,injection,1.8707193847253525,0.83251953125,0.69970703125,0.6552734375,0.130859375,0.1328125,0.2484130859375,0.0702693370165547
4,826,0,injection,1.8707193847253525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,793,0,injection,1.8707193847253525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,760,0,injection,1.8707193847253525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,727,0,injection,1.8707193847253525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,694,0,injection,1.8707193847253525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,661,0,injection,1.8707193847253525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,628,0,injection,1.8707193847253525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,595,0,injection,1.8707193847253525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12,562,0,injection,1.8707193847253525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13,529,0,injection,1.8707193847253525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14,496,0,injection,1.8707193847253525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15,463,0,injection,1.8707193847253525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16,430,0,injection,1.8707193847253525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17,397,0,injection,1.8707193847253525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18,364,0,injection,1.8707193847253525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19,331,0,injection,1.8707193847253525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20,298,0,injection,1.8707193847253525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21,265,0,injection,1.8707193847253525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22,232,0,injection,1.8707193847253525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
23,199,0,injection,1.8707193847253525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
24,166,0,injection,1.8707193847253525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
25,133,0,injection,1.8707193847253525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
26,100,0,injection,1.8707193847253525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
27,67,0,injection,1.8707193847253525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28,34,0,injection,1.8707193847253525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
29,1,0,injection,1.8707193847253525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
