step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x
0,958,0,injection,2.510954511268722,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,925,0,injection,2.510954511268722,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,892,0,injection,2.510954511268722,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,859,0,injection,2.510954511268722,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,826,0,injection,2.510954511268722,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,793,0,injection,2.510954511268722,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,760,0,injection,2.510954511268722,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,727,0,injection,2.510954511268722,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,694,0,injection,2.510954511268722,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,661,0,injection,2.510954511268722,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,628,0,injection,2.510954511268722,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,595,0,injection,2.510954511268722,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12,562,0,injection,2.510954511268722,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13,529,1,injection,2.510954511268722,0.120849609375,0.712890625,0.10626220703125,0.0225677490234375,0.0230712890625,0.05792236328125,0.018546747967473735
14,496,1,injection,2.510954511268722,0.10760498046875,0.708984375,0.0933837890625,0.019866943359375,0.020294189453125,0.05096435546875,0.016227456467656526
15,463,1,injection,2.510954511268722,0.0928955078125,0.7021484375,0.07928466796875,0.0168914794921875,0.017242431640625,0.04327392578125,0.013702071737781684
16,430,1,injection,2.510954511268722,0.0885009765625,0.69384765625,0.07427978515625,0.0157318115234375,0.0160064697265625,0.0401611328125,0.012646063960635624
17,397,1,injection,2.510954511268722,0.0826416015625,0.6865234375,0.07012939453125,0.01473236083984375,0.01497650146484375,0.03759765625,0.011759315821621246
18,364,1,injection,2.510954511268722,0.0814208984375,0.6806640625,0.0689697265625,0.0144500732421875,0.0146942138671875,0.036895751953125,0.011469717668484595
19,331,1,injection,2.510954511268722,0.08221435546875,0.6728515625,0.06982421875,0.0147705078125,0.0150299072265625,0.037750244140625,0.011657493968633312
20,298,1,injection,2.510954511268722,0.08233642578125,0.66552734375,0.06890869140625,0.01464080810546875,0.01491546630859375,0.037445068359375,0.01149392985611158
21,265,1,injection,2.510954511268722,0.0772705078125,0.65673828125,0.06396484375,0.01352691650390625,0.01378631591796875,0.03460693359375,0.010553156640854435
22,232,1,injection,2.510954511268722,0.0677490234375,0.6455078125,0.05511474609375,0.011810302734375,0.01206207275390625,0.0302886962890625,0.009176220414198404
23,199,1,injection,2.510954511268722,0.0670166015625,0.63525390625,0.053802490234375,0.01158905029296875,0.0118408203125,0.02972412109375,0.008952205882350244
24,166,1,injection,2.510954511268722,0.06329345703125,0.623046875,0.050048828125,0.0108489990234375,0.01105499267578125,0.0277557373046875,0.008310489766079383
25,133,1,injection,2.510954511268722,0.056243896484375,0.6083984375,0.04339599609375,0.0093994140625,0.00958251953125,0.0240631103515625,0.007167139325186929
26,100,1,injection,2.510954511268722,0.054595947265625,0.5908203125,0.0411376953125,0.00885009765625,0.009002685546875,0.0225982666015625,0.006691910063618608
27,67,1,injection,2.510954511268722,0.058502197265625,0.56884765625,0.04168701171875,0.008941650390625,0.00905609130859375,0.0227508544921875,0.006709929435481892
28,34,1,injection,2.510954511268722,0.057403564453125,0.53173828125,0.0347900390625,0.007534027099609375,0.00762176513671875,0.019134521484375,0.005627153934518735
29,1,1,injection,2.510954511268722,0.037445068359375,0.380859375,0.0139312744140625,0.0029888153076171875,0.003002166748046875,0.007537841796875,0.002262236225087246
