step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x
0,958,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,925,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,892,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,859,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,826,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,793,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,760,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,727,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,694,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,661,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,628,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,595,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12,562,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13,529,1,injection,3.3647278849405646,0.8583984375,0.55322265625,0.46142578125,0.0947265625,0.0946044921875,0.318359375,0.06757877280263905
14,496,1,injection,3.3647278849405646,0.833984375,0.55224609375,0.449462890625,0.0924072265625,0.0921630859375,0.31005859375,0.06559917355370513
15,463,1,injection,3.3647278849405646,0.828125,0.53955078125,0.450439453125,0.09246826171875,0.09210205078125,0.309814453125,0.06517050123252532
16,430,1,injection,3.3647278849405646,0.7734375,0.52978515625,0.414306640625,0.08538818359375,0.08502197265625,0.2861328125,0.059795918367334444
17,397,1,injection,3.3647278849405646,0.71533203125,0.52490234375,0.388671875,0.07965087890625,0.079345703125,0.266845703125,0.055358589951366145
18,364,1,injection,3.3647278849405646,0.7099609375,0.5185546875,0.3984375,0.08160400390625,0.0811767578125,0.273193359375,0.056265084473037484
19,331,1,injection,3.3647278849405646,0.7275390625,0.5048828125,0.41064453125,0.08367919921875,0.0833740234375,0.280517578125,0.05744999999998823
20,298,1,injection,3.3647278849405646,0.76513671875,0.486083984375,0.42431640625,0.08563232421875,0.08544921875,0.28759765625,0.058618630573236456
21,265,1,injection,3.3647278849405646,0.7744140625,0.470703125,0.42333984375,0.08538818359375,0.08526611328125,0.286865234375,0.058191362915994534
22,232,1,injection,3.3647278849405646,0.70654296875,0.454833984375,0.387451171875,0.078369140625,0.07830810546875,0.263427734375,0.053310276679831105
23,199,1,injection,3.3647278849405646,0.6669921875,0.43798828125,0.37060546875,0.07537841796875,0.0755615234375,0.254150390625,0.05135161799525403
24,166,1,injection,3.3647278849405646,0.65478515625,0.419921875,0.3544921875,0.07196044921875,0.07208251953125,0.2425537109375,0.04893124507485223
25,133,1,injection,3.3647278849405646,0.62353515625,0.40380859375,0.32763671875,0.06585693359375,0.06591796875,0.2218017578125,0.04467446892209958
26,100,1,injection,3.3647278849405646,0.5830078125,0.384765625,0.293701171875,0.059112548828125,0.059234619140625,0.1993408203125,0.04018208661416513
27,67,1,injection,3.3647278849405646,0.52490234375,0.358154296875,0.254638671875,0.051422119140625,0.051544189453125,0.1734619140625,0.03515934283451386
28,34,1,injection,3.3647278849405646,0.463623046875,0.328369140625,0.202880859375,0.041259765625,0.0413818359375,0.1392822265625,0.028616573033701985
29,1,1,injection,3.3647278849405646,0.30126953125,0.239013671875,0.08587646484375,0.01751708984375,0.01751708984375,0.058929443359375,0.01294930257510445
