step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x
0,958,0,injection,2.510954511268722,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,925,0,injection,2.510954511268722,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,892,0,injection,2.510954511268722,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,859,0,injection,2.510954511268722,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,826,1,injection,2.510954511268722,0.008819580078125,0.71728515625,0.00884246826171875,0.0018634796142578125,0.0018768310546875,0.0047149658203125,0.0016568719972540505
5,793,1,injection,2.510954511268722,0.0207672119140625,0.72900390625,0.021148681640625,0.004482269287109375,0.0044708251953125,0.01123046875,0.003890392422190804
6,760,1,injection,2.510954511268722,0.047332763671875,0.732421875,0.046905517578125,0.00988006591796875,0.00984954833984375,0.02471923828125,0.008420658682631862
7,727,1,injection,2.510954511268722,0.063720703125,0.73193359375,0.06182861328125,0.01300811767578125,0.0130462646484375,0.03277587890625,0.011018548916608245
8,694,1,injection,2.510954511268722,0.08642578125,0.72900390625,0.081298828125,0.017059326171875,0.017181396484375,0.043121337890625,0.014345760233913355
9,661,1,injection,2.510954511268722,0.1199951171875,0.72802734375,0.1090087890625,0.022674560546875,0.02294921875,0.057647705078125,0.018981109324752592
10,628,1,injection,2.510954511268722,0.142333984375,0.72216796875,0.1246337890625,0.025909423828125,0.0263671875,0.06622314453125,0.021623883928564368
11,595,1,injection,2.510954511268722,0.14453125,0.71826171875,0.1246337890625,0.0261688232421875,0.0267486572265625,0.06719970703125,0.021762333965837353
12,562,1,injection,2.510954511268722,0.1417236328125,0.71484375,0.12103271484375,0.0255279541015625,0.026153564453125,0.065673828125,0.0211212311557721
13,529,0,injection,2.510954511268722,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14,496,0,injection,2.510954511268722,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15,463,0,injection,2.510954511268722,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16,430,0,injection,2.510954511268722,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17,397,0,injection,2.510954511268722,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18,364,0,injection,2.510954511268722,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19,331,0,injection,2.510954511268722,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20,298,0,injection,2.510954511268722,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21,265,0,injection,2.510954511268722,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22,232,0,injection,2.510954511268722,0.0,1.0,0.0,0.0,0.0,0.0,0.0
23,199,0,injection,2.510954511268722,0.0,1.0,0.0,0.0,0.0,0.0,0.0
24,166,0,injection,2.510954511268722,0.0,1.0,0.0,0.0,0.0,0.0,0.0
25,133,0,injection,2.510954511268722,0.0,1.0,0.0,0.0,0.0,0.0,0.0
26,100,0,injection,2.510954511268722,0.0,1.0,0.0,0.0,0.0,0.0,0.0
27,67,0,injection,2.510954511268722,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28,34,0,injection,2.510954511268722,0.0,1.0,0.0,0.0,0.0,0.0,0.0
29,1,0,injection,2.510954511268722,0.0,1.0,0.0,0.0,0.0,0.0,0.0
