step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x
0,958,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,925,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,892,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,859,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,826,1,injection,3.3647278849405646,0.650390625,0.59326171875,0.3837890625,0.08099365234375,0.08197021484375,0.275634765625,0.06294603033004807
5,793,1,injection,3.3647278849405646,0.91162109375,0.5810546875,0.397216796875,0.08319091796875,0.084228515625,0.283447265625,0.06370719929761517
6,760,1,injection,3.3647278849405646,1.103515625,0.58935546875,0.491455078125,0.100830078125,0.10174560546875,0.34228515625,0.07593154246098835
7,727,1,injection,3.3647278849405646,1.181640625,0.6083984375,0.58984375,0.12017822265625,0.12091064453125,0.40673828125,0.08907185628740565
8,694,1,injection,3.3647278849405646,1.205078125,0.6064453125,0.6376953125,0.130126953125,0.130615234375,0.439208984375,0.09528601694913187
9,661,1,injection,3.3647278849405646,1.189453125,0.60302734375,0.6630859375,0.1356201171875,0.135986328125,0.457763671875,0.09839420654909724
10,628,1,injection,3.3647278849405646,1.1015625,0.58447265625,0.58837890625,0.121337890625,0.12139892578125,0.408447265625,0.08699043261229428
11,595,1,injection,3.3647278849405646,1.0419921875,0.56884765625,0.53857421875,0.111328125,0.11126708984375,0.374267578125,0.07905321782176548
12,562,1,injection,3.3647278849405646,0.98291015625,0.56103515625,0.50634765625,0.104736328125,0.1046142578125,0.351806640625,0.07382172131145992
13,529,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14,496,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15,463,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16,430,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17,397,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18,364,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19,331,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20,298,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21,265,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22,232,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
23,199,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
24,166,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
25,133,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
26,100,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
27,67,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28,34,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
29,1,0,injection,3.3647278849405646,0.0,1.0,0.0,0.0,0.0,0.0,0.0
