step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x
0,958,0,injection,1.8707193847253525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,925,0,injection,1.8707193847253525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,892,0,injection,1.8707193847253525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,859,0,injection,1.8707193847253525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4,826,1,injection,1.8707193847253525,0.86767578125,0.74462890625,0.724609375,0.1429443359375,0.144287109375,0.27001953125,0.07219321148823135
5,793,1,injection,1.8707193847253525,0.87939453125,0.80322265625,0.8681640625,0.1678466796875,0.1693115234375,0.31689453125,0.08202730030331547
6,760,1,injection,1.8707193847253525,0.88818359375,0.826171875,0.94921875,0.1810302734375,0.1820068359375,0.34033203125,0.0860918972331798
7,727,1,injection,1.8707193847253525,0.939453125,0.85546875,1.1064453125,0.2122802734375,0.21240234375,0.397216796875,0.09901411879257513
8,694,1,injection,1.8707193847253525,0.98681640625,0.896484375,1.3271484375,0.257568359375,0.25732421875,0.4814453125,0.11850961538458621
9,661,1,injection,1.8707193847253525,0.97802734375,0.927734375,1.412109375,0.275634765625,0.275634765625,0.515625,0.1260744985673044
10,628,1,injection,1.8707193847253525,0.9921875,0.9541015625,1.49609375,0.293212890625,0.29345703125,0.548828125,0.13317535545020465
11,595,1,injection,1.8707193847253525,1.02734375,0.9765625,1.6142578125,0.31494140625,0.314697265625,0.58837890625,0.1423676748581886
12,562,1,injection,1.8707193847253525,1.056640625,0.99951171875,1.712890625,0.332275390625,0.331787109375,0.62060546875,0.15016540642718484
13,529,0,injection,1.8707193847253525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
14,496,0,injection,1.8707193847253525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15,463,0,injection,1.8707193847253525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
16,430,0,injection,1.8707193847253525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17,397,0,injection,1.8707193847253525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18,364,0,injection,1.8707193847253525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19,331,0,injection,1.8707193847253525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20,298,0,injection,1.8707193847253525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21,265,0,injection,1.8707193847253525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
22,232,0,injection,1.8707193847253525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
23,199,0,injection,1.8707193847253525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
24,166,0,injection,1.8707193847253525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
25,133,0,injection,1.8707193847253525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
26,100,0,injection,1.8707193847253525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
27,67,0,injection,1.8707193847253525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28,34,0,injection,1.8707193847253525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
29,1,0,injection,1.8707193847253525,0.0,1.0,0.0,0.0,0.0,0.0,0.0
