step_idx,timestep,baseline,main,early,late
0,958,0.6776199340820312,0.6776199340820312,0.6776046752929688,0.6776199340820312
1,925,1.9140167236328125,1.9140167236328125,1.8809890747070312,1.9140167236328125
2,892,3.51385498046875,3.51385498046875,3.6732940673828125,3.51385498046875
3,859,4.255706787109375,4.255706787109375,4.0655364990234375,4.255706787109375
4,826,6.4716033935546875,6.501953125,5.3477325439453125,6.4716033935546875
5,793,8.849884033203125,9.114837646484375,8.065109252929688,8.849884033203125
6,760,10.02923583984375,11.03485107421875,9.008468627929688,10.02923583984375
7,727,10.080368041992188,11.813232421875,9.25244140625,10.080368041992188
8,694,10.123046875,12.052337646484375,9.428863525390625,10.123046875
9,661,10.03436279296875,11.891326904296875,9.7786865234375,10.03436279296875
10,628,9.933868408203125,11.017349243164062,9.478485107421875,9.933868408203125
11,595,9.844070434570312,10.423873901367188,9.4832763671875,9.844070434570312
12,562,9.265106201171875,9.830841064453125,9.08746337890625,9.265106201171875
13,529,8.711380004882812,9.761917114257812,9.148193359375,8.587661743164062
14,496,8.198074340820312,9.47625732421875,9.084228515625,8.340560913085938
15,463,8.003860473632812,9.427787780761719,9.005691528320312,8.282302856445312
16,430,7.62677001953125,9.498138427734375,8.935714721679688,7.731353759765625
17,397,7.309814453125,9.336952209472656,8.50225830078125,7.1558685302734375
18,364,7.099456787109375,9.04742431640625,8.257919311523438,7.0985565185546875
19,331,6.899200439453125,8.809051513671875,8.133682250976562,7.27581787109375
20,298,6.70172119140625,8.582595825195312,8.235488891601562,7.6520233154296875
21,265,6.4972381591796875,8.2596435546875,8.061279296875,7.747222900390625
22,232,6.1116180419921875,8.13848876953125,7.9038848876953125,7.06378173828125
23,199,5.744110107421875,7.993072509765625,7.464263916015625,6.6731109619140625
24,166,5.3766937255859375,7.5001373291015625,7.267425537109375,6.5474853515625
25,133,5.0073699951171875,7.147247314453125,6.832275390625,6.23321533203125
26,100,4.760498046875,6.643402099609375,6.6268310546875,5.8322906494140625
27,67,4.258636474609375,6.09356689453125,6.315460205078125,5.2498779296875
28,34,3.5675201416015625,5.2718963623046875,6.024322509765625,4.6353912353515625
29,1,2.5106201171875,3.1445770263671875,4.27789306640625,3.0129547119140625
