step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,1,injection,5.849209898625565,0.02655029296875,0.705078125,0.0164947509765625,0.0035610198974609375,0.003604888916015625,0.021087646484375,0.007840867828610012,274 1590 3409 1950 3804 4175 886 4639 3485 1842,1590 3409 3804 4639 3485,3409 4639 3804 3485 1590,0.11554 0.0360413 0.00496674 0.0043335 0.00413513
1,925,1,injection,5.849209898625565,0.044647216796875,0.8916015625,0.0421142578125,0.00914764404296875,0.009246826171875,0.054107666015625,0.019787946428564192,274 1590 3409 1950 3804 4175 886 4639 3485 1842,274 3409 3804 4175 886 4639 3485,3409 274 3485 4639 3804,0.257812 0.0742798 0.0469666 0.0323486 0.00550079
2,892,1,injection,5.849209898625565,0.0278472900390625,0.9462890625,0.0269317626953125,0.005828857421875,0.00591278076171875,0.034576416015625,0.012546509567677942,274 1590 3409 1950 3804 4175 886 4639 3485 1842,1590 3409 3804 4175 886 4639 3485 1842,3409 3485 886 1590 1842,0.196899 0.0328369 0.0137558 0.0116272 0.00696182
3,859,1,injection,5.849209898625565,0.0210418701171875,0.98291015625,0.0229949951171875,0.0049896240234375,0.00507354736328125,0.0296783447265625,0.01061125174580626,274 1590 3409 1950 3804 4175 886 4639 3485 1842,3409 886 3485 1842,3409 3485 886 1842 274,0.187622 0.0188751 0.0169373 0.00646591 0
4,826,1,injection,5.849209898625565,0.0190277099609375,0.9765625,0.022308349609375,0.00481414794921875,0.00492095947265625,0.028778076171875,0.010175673342537838,274 1590 3409 1950 3804 4175 886 4639 3485 1842,274 1590 3409 886 3485,3409 1590 886 274 3485,0.12915 0.0350952 0.0284729 0.0176697 0.0127335
5,793,1,injection,5.849209898625565,0.00832366943359375,0.9501953125,0.00769805908203125,0.001674652099609375,0.0016994476318359375,0.00994110107421875,0.0034719261596167957,274 1590 3409 1950 3804 4175 886 4639 3485 1842,274 3409 886 4639 3485 1842,3409 886 274 3485 4639,0.0396118 0.0132675 0.00921631 0.00732422 0.00617599
6,760,1,injection,5.849209898625565,0.004730224609375,0.92578125,0.003215789794921875,0.0006971359252929688,0.0006971359252929688,0.004077911376953125,0.0014155190677961188,274 1590 3409 1950 3804 4175 886 4639 3485 1842,3409 886 4639,4639 886 3409 1590 274,0.0119934 0.0111389 0.00902557 0 0
7,727,1,injection,5.849209898625565,0.005401611328125,0.880859375,0.003810882568359375,0.0008254051208496094,0.0008220672607421875,0.0048065185546875,0.0016571969696963984,274 1590 3409 1950 3804 4175 886 4639 3485 1842,3409 4175 886 4639,3409 4639 886 4175 274,0.0157318 0.0105743 0.0101395 0.00166988 0
8,694,1,injection,5.849209898625565,0.00417327880859375,0.83642578125,0.0031147003173828125,0.0006771087646484375,0.0006642341613769531,0.0038852691650390625,0.0013297177891038229,274 1590 3409 1950 3804 4175 886 4639 3485 1842,3409 3804 4175 886,3409 886 4175 3804 274,0.0177155 0.0105057 0.00203323 0.000896454 0
9,661,1,injection,5.849209898625565,0.00539398193359375,0.8037109375,0.00408935546875,0.0008893013000488281,0.0008759498596191406,0.005123138427734375,0.001733672752808402,274 1590 3409 1950 3804 4175 886 4639 3485 1842,3409 3804 4175 886 3485 1842,3409 886 4175 3485 3804,0.0245361 0.00951385 0.00312614 0.00197029 0.00114059
