step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,1,injection,7.8105179340914,0.0972900390625,0.1861572265625,0.01432037353515625,0.0030975341796875,0.0032806396484375,0.0256195068359375,0.006624842171715458,1260 3398 2027 3171 4919 826 2527 3146 530 3792,1260 2027 3171 4919 3146 530,4919 3146 530 3171 1260,0.093811 0.0197144 0.013649 0.0125427 0.00249863
1,925,1,injection,7.8105179340914,0.26513671875,0.24853515625,0.046722412109375,0.00994110107421875,0.01070404052734375,0.0836181640625,0.021204804358587986,1260 3398 2027 3171 4919 826 2527 3146 530 3792,1260 3171 4919 826 3146 530,4919 530 1260 3171 3146,0.307373 0.0947876 0.0325623 0.0164185 0.015274
2,892,1,injection,7.8105179340914,0.3447265625,0.3232421875,0.085693359375,0.018218994140625,0.019012451171875,0.1485595703125,0.037303825404600734,1260 3398 2027 3171 4919 826 2527 3146 530 3792,1260 3171 4919 826 3146 530,1260 4919 530 3146 3171,0.313721 0.252197 0.236084 0.0326538 0.0177002
3,859,1,injection,7.8105179340914,0.36767578125,0.416259765625,0.1331787109375,0.0281219482421875,0.028533935546875,0.222900390625,0.05513285024153226,1260 3398 2027 3171 4919 826 2527 3146 530 3792,1260 3171 4919 826 3146 530,1260 530 3146 4919 3171,0.706543 0.214966 0.199097 0.147705 0.0446167
4,826,1,injection,7.8105179340914,0.6162109375,0.458740234375,0.2939453125,0.061279296875,0.062103271484375,0.48486328125,0.11366758241755577,1260 3398 2027 3171 4919 826 2527 3146 530 3792,1260 3171 4919 826 3146 530,1260 530 3146 4919 3171,1.69531 0.654297 0.347168 0.144287 0.057373
5,793,1,injection,7.8105179340914,0.35595703125,0.474365234375,0.1934814453125,0.04144287109375,0.042236328125,0.329833984375,0.0718005952380796,1260 3398 2027 3171 4919 826 2527 3146 530 3792,1260 3171 4919 826 3146 530,530 1260 3146 3171 4919,0.814941 0.643066 0.211426 0.123291 0.0861816
6,760,1,injection,7.8105179340914,0.385986328125,0.482177734375,0.205322265625,0.044036865234375,0.045074462890625,0.35205078125,0.07411595394735282,1260 3398 2027 3171 4919 826 2527 3146 530 3792,1260 2027 3171 4919 826 3146 530,1260 530 3146 4919 3171,0.870117 0.722656 0.172729 0.143188 0.0953979
7,727,1,injection,7.8105179340914,0.43310546875,0.490234375,0.2264404296875,0.048736572265625,0.049957275390625,0.39013671875,0.08186475409834347,1260 3398 2027 3171 4919 826 2527 3146 530 3792,1260 2027 3171 4919 826 3146 530,1260 530 4919 3146 3171,1.15234 0.578125 0.250488 0.101624 0.0899048
8,694,1,injection,7.8105179340914,0.52978515625,0.499755859375,0.274658203125,0.0587158203125,0.06048583984375,0.472412109375,0.09824329813157989,1260 3398 2027 3171 4919 826 2527 3146 530 3792,1260 2027 3171 4919 826 2527 3146 530 3792,1260 4919 530 2027 3146,1.54395 0.489014 0.362549 0.135864 0.109253
9,661,1,injection,7.8105179340914,0.66162109375,0.5107421875,0.35498046875,0.07513427734375,0.07830810546875,0.61181640625,0.12352129337536938,1260 3398 2027 3171 4919 826 2527 3146 530 3792,1260 2027 3171 4919 826 2527 3146 530 3792,1260 4919 530 2027 3146,1.78613 0.946289 0.333496 0.277344 0.0812988
10,628,1,injection,7.8105179340914,0.75732421875,0.5185546875,0.441162109375,0.09344482421875,0.09771728515625,0.76318359375,0.1523985959438073,1260 3398 2027 3171 4919 826 2527 3146 530 3792,1260 2027 3171 4919 826 2527 3146 530,1260 4919 2027 530 3146,2.43164 1.12598 0.342041 0.294189 0.0889893
11,595,1,injection,7.8105179340914,0.78515625,0.5244140625,0.474853515625,0.10052490234375,0.10528564453125,0.822265625,0.16368584758939198,1260 3398 2027 3171 4919 826 2527 3146 530 3792,1260 2027 3171 4919 826 2527 3146 530 3792,1260 4919 2027 530 3146,2.7793 1.18555 0.356689 0.234741 0.0653687
12,562,1,injection,7.8105179340914,0.8857421875,0.53125,0.53955078125,0.1131591796875,0.1187744140625,0.927734375,0.1822716807367255,1260 3398 2027 3171 4919 826 2527 3146 530 3792,1260 2027 3171 4919 826 2527 3146 530 3792,1260 4919 2027 530 3146,3.10547 1.39941 0.457275 0.239502 0.0620422
13,529,0,injection,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
14,496,0,injection,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
15,463,0,injection,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
16,430,0,injection,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
17,397,0,injection,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
18,364,0,injection,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
19,331,0,injection,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
20,298,0,injection,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
21,265,0,injection,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
22,232,0,injection,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
23,199,0,injection,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
24,166,0,injection,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
25,133,0,injection,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
26,100,0,injection,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
27,67,0,injection,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
28,34,0,injection,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
29,1,0,injection,7.8105179340914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
