step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,1,injection,8.444774007198342,1.099609375,0.425048828125,0.64892578125,0.133056640625,0.1337890625,1.1298828125,0.2969712525666571,4322 4080 4145 1382 4023 6 3044 2495 2554 3063,4322 4080 4145 1382 3044 2495 2554 3063,4145 1382 2495 3044 4322,2.54492 2.44531 0.849121 0.548828 0.0843506
1,925,1,injection,8.444774007198342,1.1865234375,0.4404296875,0.6943359375,0.138916015625,0.139404296875,1.1767578125,0.2993045206159199,4322 4080 4145 1382 4023 6 3044 2495 2554 3063,4322 4145 1382 3044 2495 2554 3063,2495 4145 1382 4322 3044,2.89062 1.94629 1.6416 0.253174 0.161133
2,892,1,injection,8.444774007198342,0.84814453125,0.430908203125,0.35205078125,0.07440185546875,0.0745849609375,0.62939453125,0.15492788461534648,4322 4080 4145 1382 4023 6 3044 2495 2554 3063,4080 4145 1382 6 3044 2495 2554 3063,2495 4145 1382 2554 3063,1.60938 1.14551 0.722656 0.0179291 0.00961304
3,859,1,injection,8.444774007198342,0.69091796875,0.46875,0.1522216796875,0.03277587890625,0.0328369140625,0.27734375,0.06623134328356627,4322 4080 4145 1382 4023 6 3044 2495 2554 3063,4322 4080 4145 1382 6 3044 2495 2554 3063,4145 2495 1382 4080 4322,0.650391 0.535156 0.246094 0.0319214 0.0182343
4,826,0,injection,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
5,793,0,injection,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
6,760,0,injection,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
7,727,0,injection,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
8,694,0,injection,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
9,661,0,injection,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
10,628,0,injection,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
11,595,0,injection,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
12,562,0,injection,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
13,529,0,injection,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
14,496,0,injection,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
15,463,0,injection,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
16,430,0,injection,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
17,397,0,injection,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
18,364,0,injection,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
19,331,0,injection,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
20,298,0,injection,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
21,265,0,injection,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
22,232,0,injection,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
23,199,0,injection,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
24,166,0,injection,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
25,133,0,injection,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
26,100,0,injection,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
27,67,0,injection,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
28,34,0,injection,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
29,1,0,injection,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
