step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,1,injection,2.613778939664619,0.7998046875,2.109375,2.1953125,0.415771484375,0.412841796875,1.0791015625,0.34748427672944787,2727 4296 4573 608 4897 4307 3460 1101 1105 60,2727 4296 4573 4307 1101 60,2727 60 4307 1101 4296,10.8203 8.20312 2.17578 0.616211 0.137573
1,925,1,injection,2.613778939664619,1.052734375,1.6640625,1.224609375,0.2337646484375,0.2333984375,0.60986328125,0.1902803168798919,2727 4296 4573 608 4897 4307 3460 1101 1105 60,2727 4307 1101 60,2727 4307 60 1101 4296,7.43359 3.78711 0.836426 0.185913 0
2,892,1,injection,2.613778939664619,1.1962890625,1.408203125,1.3125,0.251708984375,0.2529296875,0.6611328125,0.20148809523803382,2727 4296 4573 608 4897 4307 3460 1101 1105 60,2727 4307 3460 1101 60,2727 4307 60 1101 3460,7.09766 5.85938 0.0992432 0.055603 0.00889587
3,859,1,injection,2.613778939664619,1.1279296875,1.48046875,2.365234375,0.464111328125,0.467041015625,1.220703125,0.36189924724945843,2727 4296 4573 608 4897 4307 3460 1101 1105 60,2727 4307 3460 1101,2727 4307 1101 3460 4296,18.6562 4.96484 0.0239716 0.0183105 0
4,826,0,injection,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
5,793,0,injection,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
6,760,0,injection,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
7,727,0,injection,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
8,694,0,injection,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
9,661,0,injection,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
10,628,0,injection,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
11,595,0,injection,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
12,562,0,injection,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
13,529,0,injection,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
14,496,0,injection,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
15,463,0,injection,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
16,430,0,injection,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
17,397,0,injection,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
18,364,0,injection,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
19,331,0,injection,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
20,298,0,injection,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
21,265,0,injection,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
22,232,0,injection,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
23,199,0,injection,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
24,166,0,injection,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
25,133,0,injection,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
26,100,0,injection,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
27,67,0,injection,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
28,34,0,injection,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
29,1,0,injection,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
