step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,0,injection,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
1,925,0,injection,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
2,892,0,injection,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
3,859,0,injection,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
4,826,0,injection,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
5,793,0,injection,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
6,760,0,injection,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
7,727,0,injection,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
8,694,0,injection,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
9,661,0,injection,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
10,628,0,injection,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
11,595,0,injection,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
12,562,0,injection,2.613778939664619,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
13,529,1,injection,2.613778939664619,1.3720703125,1.53515625,4.15234375,0.83203125,0.83642578125,2.1875,0.5233644859811832,2727 4296 4573 608 4897 4307 3460 1101 1105 60,2727 4307 3460 1101,2727 4307 3460 1101 4296,39.9375 1.18945 0.246216 0.127319 0
14,496,1,injection,2.613778939664619,1.2861328125,1.533203125,3.908203125,0.78173828125,0.7861328125,2.0546875,0.4934333958723017,2727 4296 4573 608 4897 4307 3460 1101 1105 60,2727 4307 3460 1101,2727 4307 3460 1101 4296,37.4688 1.13574 0.370117 0.0892334 0
