step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,0,injection,5.849209898625565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
1,925,0,injection,5.849209898625565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
2,892,0,injection,5.849209898625565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
3,859,0,injection,5.849209898625565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
4,826,1,injection,5.849209898625565,0.029754638671875,0.9765625,0.0240936279296875,0.00525665283203125,0.00537109375,0.03143310546875,0.011023116438352298,274 1590 3409 1950 3804 4175 886 4639 3485 1842,1590 3409 886 4639 3485 1842,3409 886 3485 1590 4639,0.10968 0.0719604 0.0311584 0.0139236 0.0106812
5,793,1,injection,5.849209898625565,0.032623291015625,0.9501953125,0.022735595703125,0.004962921142578125,0.00505828857421875,0.0295867919921875,0.010146307769587947,274 1590 3409 1950 3804 4175 886 4639 3485 1842,274 3409 886 4639 3485,886 3409 4639 3485 274,0.104736 0.0754395 0.0253296 0.0170135 0.00473785
6,760,1,injection,5.849209898625565,0.032135009765625,0.92578125,0.019683837890625,0.00417327880859375,0.00423431396484375,0.0247650146484375,0.008386036706346366,274 1590 3409 1950 3804 4175 886 4639 3485 1842,274 3409 3804 886 4639 3485 1842,886 3409 3485 4639 274,0.112427 0.0280914 0.0207977 0.0197906 0.0105972
7,727,1,injection,5.849209898625565,0.03485107421875,0.880859375,0.0193634033203125,0.00420379638671875,0.0042572021484375,0.02490234375,0.00837163493105431,274 1590 3409 1950 3804 4175 886 4639 3485 1842,274 3409 3804 886 4639 3485 1842,886 3485 1842 274 3409,0.112488 0.0202789 0.017868 0.0174103 0.011795
8,694,1,injection,5.849209898625565,0.0266876220703125,0.83642578125,0.01433563232421875,0.00307464599609375,0.00308990478515625,0.0180816650390625,0.006031148208467043,274 1590 3409 1950 3804 4175 886 4639 3485 1842,274 3804 886 4639 3485 1842,886 274 1842 3485 3804,0.0899658 0.0249329 0.0171661 0.00430679 0.00374222
9,661,1,injection,5.849209898625565,0.018310546875,0.8037109375,0.009429931640625,0.0020751953125,0.0020847320556640625,0.0121917724609375,0.004045487686323998,274 1590 3409 1950 3804 4175 886 4639 3485 1842,274 3409 3804 886 3485 1842,886 3409 1842 274 3485,0.0662231 0.00971985 0.00741577 0.00601959 0.00261116
10,628,1,injection,5.849209898625565,0.01477813720703125,0.77734375,0.00930023193359375,0.0020351409912109375,0.00203704833984375,0.0119171142578125,0.00393649193548257,274 1590 3409 1950 3804 4175 886 4639 3485 1842,274 3409 3804 886 1842,886 3409 274 1842 3804,0.047821 0.0237732 0.0158539 0.00357819 0.00196648
11,595,1,injection,5.849209898625565,0.01354217529296875,0.7529296875,0.0099334716796875,0.0021686553955078125,0.00217437744140625,0.01271820068359375,0.0041822214193949,274 1590 3409 1950 3804 4175 886 4639 3485 1842,274 3409 886 3485 1842,3409 886 274 1842 3485,0.0361633 0.0330811 0.0238495 0.00399399 0.00222778
12,562,1,injection,5.849209898625565,0.0105743408203125,0.73291015625,0.00787353515625,0.001720428466796875,0.0017213821411132812,0.01007080078125,0.0032947284345037145,274 1590 3409 1950 3804 4175 886 4639 3485 1842,274 3409 886 1842,886 274 3409 1842 1590,0.0262909 0.024704 0.0245972 0.00315094 0
13,529,0,injection,5.849209898625565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
14,496,0,injection,5.849209898625565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
15,463,0,injection,5.849209898625565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
16,430,0,injection,5.849209898625565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
17,397,0,injection,5.849209898625565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
18,364,0,injection,5.849209898625565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
19,331,0,injection,5.849209898625565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
20,298,0,injection,5.849209898625565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
21,265,0,injection,5.849209898625565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
22,232,0,injection,5.849209898625565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
23,199,0,injection,5.849209898625565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
24,166,0,injection,5.849209898625565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
25,133,0,injection,5.849209898625565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
26,100,0,injection,5.849209898625565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
27,67,0,injection,5.849209898625565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
28,34,0,injection,5.849209898625565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
29,1,0,injection,5.849209898625565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
