step_idx,timestep,active,mode,scale,mean_abs_c_base,mean_abs_w_time,mean_abs_c_final,mean_abs_recon_pre_spatial,mean_abs_recon_final,mean_abs_delta_x,delta_over_x,active_feature_ids_time,active_feature_ids_final,top_feature_ids_final,top_feature_scores_final
0,958,0,injection,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
1,925,0,injection,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
2,892,0,injection,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
3,859,0,injection,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
4,826,1,injection,8.444774007198342,0.344970703125,0.53369140625,0.1376953125,0.029815673828125,0.029571533203125,0.249755859375,0.05786199095021284,4322 4080 4145 1382 4023 6 3044 2495 2554 3063,4322 4080 4145 1382 6 3044 2495 3063,2495 4145 1382 4322 4080,0.68457 0.527344 0.0915527 0.0193787 0.0179138
5,793,1,injection,8.444774007198342,0.189453125,0.56201171875,0.09912109375,0.021514892578125,0.021331787109375,0.1800537109375,0.04057548415492043,4322 4080 4145 1382 4023 6 3044 2495 2554 3063,4322 4080 4145 1382 4023 6 3044 2495 3063,2495 4145 6 4322 4080,0.508301 0.239014 0.0634766 0.0519714 0.0480042
6,760,1,injection,8.444774007198342,0.1484375,0.5517578125,0.08087158203125,0.0177001953125,0.0174713134765625,0.1475830078125,0.03279622395832604,4322 4080 4145 1382 4023 6 3044 2495 2554 3063,4322 4080 4145 1382 4023 3044 2495,2495 4145 4023 1382 4080,0.487305 0.166382 0.0743408 0.0349121 0.0254822
7,727,1,injection,8.444774007198342,0.172119140625,0.548828125,0.1114501953125,0.024139404296875,0.0240478515625,0.2030029296875,0.044723537005153656,4322 4080 4145 1382 4023 6 3044 2495 2554 3063,4322 4080 4145 1382 4023 6 3044 2495,2495 4145 4023 1382 4322,0.691895 0.191528 0.0791016 0.0749512 0.0358887
8,694,1,injection,8.444774007198342,0.173095703125,0.56640625,0.1214599609375,0.026885986328125,0.0268707275390625,0.2269287109375,0.049525788576289274,4322 4080 4145 1382 4023 6 3044 2495 2554 3063,4322 4080 4145 1382 4023 6 3044 2495,2495 4145 1382 4023 4322,0.67334 0.183228 0.133301 0.0889893 0.0793457
9,661,1,injection,8.444774007198342,0.1763916015625,0.59375,0.1275634765625,0.027740478515625,0.0277557373046875,0.234375,0.0510204081632542,4322 4080 4145 1382 4023 6 3044 2495 2554 3063,4322 4080 4145 1382 4023 6 3044 2495,2495 4145 1382 4023 4322,0.659668 0.204224 0.19751 0.0862427 0.0679932
10,628,1,injection,8.444774007198342,0.178955078125,0.59814453125,0.1290283203125,0.02813720703125,0.027923583984375,0.23583984375,0.05103550295856884,4322 4080 4145 1382 4023 6 3044 2495 2554 3063,4322 4080 4145 1382 4023 6 3044 2495,2495 4145 1382 4322 4023,0.6875 0.235596 0.160522 0.0717773 0.0529175
11,595,1,injection,8.444774007198342,0.1934814453125,0.59033203125,0.1318359375,0.02880859375,0.0284881591796875,0.2406005859375,0.05167260906039159,4322 4080 4145 1382 4023 6 3044 2495 2554 3063,4322 4080 4145 1382 4023 3044 2495,2495 4145 1382 4023 4322,0.672363 0.223999 0.1427 0.104187 0.0870361
12,562,1,injection,8.444774007198342,0.202880859375,0.57861328125,0.1285400390625,0.0279388427734375,0.0276641845703125,0.233642578125,0.04988532110090678,4322 4080 4145 1382 4023 6 3044 2495 2554 3063,4322 4080 4145 1382 4023 6 3044 2495,2495 4145 4023 1382 4322,0.539551 0.23999 0.153931 0.136475 0.0966797
13,529,0,injection,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
14,496,0,injection,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
15,463,0,injection,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
16,430,0,injection,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
17,397,0,injection,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
18,364,0,injection,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
19,331,0,injection,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
20,298,0,injection,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
21,265,0,injection,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
22,232,0,injection,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
23,199,0,injection,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
24,166,0,injection,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
25,133,0,injection,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
26,100,0,injection,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
27,67,0,injection,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
28,34,0,injection,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
29,1,0,injection,8.444774007198342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
